"longitude","latitude"
133.105449,-11.791769
132.9167,-12.35
132.917859117,-12.465256069
132.934493876,-12.365291599
132.95,-12.4167
132.95,-12.3833
132.951187868,-12.381920849
132.951193948,-12.415261234
132.9655,-12.4228
132.997,-12.4097
132.997,-12.4097
133.0167,-12.3833
133.167854935,-12.381913793
132.78,-12.87
132.7833,-12.8667
132.7833,-12.8667
132.7833,-12.8667
132.784526739,-12.865253757
132.79053,-12.85701
132.79053,-12.85701
132.79144,-12.86586
132.79285,-12.86184
132.8,-12.8667
132.8,-12.6667
132.801197441,-12.865258585
132.816666666667,-12.8666666666667
132.82,-12.87
132.834521248,-12.831918769
132.87,-12.52
132.9,-12.8
132.90119675,-12.7485848
132.90233,-12.81156
132.9167,-12.75
132.9167,-12.75
132.9167,-12.75
132.9297,-12.4767
132.93,-12.78
132.930918758,-12.475249895
132.9333,-12.7833
132.9333,-12.7833
132.934341,-12.782044
132.95,-12.6
132.95,-12.6
132.95,-12.6
132.95,-12.6
132.95,-12.5333
132.95,-12.5333
132.95,-12.5333
132.95,-12.52
132.951192403,-12.598591146
132.951192403,-12.598591146
132.95119626,-12.53192025
132.95119626,-12.53192025
132.951196385,-12.481916448
132.9583,-12.4833
132.9667,-12.85
132.9667,-12.5833
132.9667,-12.5833
132.9667,-12.5417
132.9667,-12.5417
132.967674,-12.540379
132.967857818,-12.515254603
132.967859017,-12.581917204
132.967865273,-12.531920334
132.967896032,-12.581890372
132.97,-12.5417
132.975,-12.5167
132.975,-12.5167
132.9928,-12.5981
133.0322,-12.6053
133.0333,-12.9167
133.0333,-12.9167
133.03449096,-12.91528385
133.034518811,-12.915256951
133.05119146,-12.61525511
133.058333333,-12.625
133.059,-12.624
133.3167,-12.5333
133.317856844,-12.531917453
133.33,-12.75
133.3333,-12.75
133.3333,-12.75
133.3333,-12.75
133.3333,-12.75
133.334514939,-12.748587557
133.334514939,-12.748587557
133.35,-12.8
133.35,-12.6667
133.351190242,-12.798580533
133.351192126,-12.498587327
133.3833,-12.5667
133.384522335,-12.56525813
133.467860859,-12.565259361
133.5305,-12.6381
134.084510035,-12.731913283
134.1842,-12.5583
134.1842,-12.5583
134.1842,-12.5583
134.312,-12.611
134.534506515,-12.848577873
132.85196,-13.22248
132.9833,-13.1833
133.0833,-13.0667
133.084523033,-13.065253894
133.1,-13.1833
133.1,-13.1667
133.101189063,-13.165283876
132.4494,-14.3319
133.4167,-14.8667
