"longitude","latitude"
142.365,-10.856666667
132.144494113,-11.154196277
132.15,-11.15
132.867856987,-11.148594081
131.001203971,-12.165270288
131.16787804,-12.36526259
132.95,-12.4333
134.8167,-12.2833
134.884506255,-12.098578074
136.867827624,-12.231867254
136.920043751,-12.341338878
142.8189801635,-12.4050865427
130.9325,-12.4811
131.317876198,-12.64859539
131.717875364,-12.665265417
132.5333,-12.85
132.651198761,-12.815254057
132.8667,-12.65
132.8667,-12.65
132.87,-12.52
132.8833,-12.5167
133.25,-12.6
133.251187897,-12.598589038
141.85,-12.65
141.8592100172,-12.6569595735
141.8667,-12.5833
141.8667,-12.5833
141.8667,-12.5833
130.017888152,-13.1652651
130.777324614,-13.151928467
130.8167,-13.0167
130.834538353,-13.015262939
130.85,-13.0333
131.034542799,-13.131926851
131.15,-13.3667
131.15,-13.3667
131.184541855,-13.498591808
131.451206571,-13.748595321
131.467881922,-13.53192109
131.8167,-13.8167
131.934539752,-13.831922559
132.005183,-13.782045
134.17,-13.72
135.7928264,-13.5780207
131.584540208,-14.348591579
131.9167,-14.25
132.0333,-14.1833
132.051204445,-14.198590497
132.051208519,-14.098587959
132.1333,-14.3667
132.1333,-14.3667
132.15,-14.13
132.2667,-14.4667
132.2667,-14.4667
132.2667,-14.4667
132.267878582,-14.465258864
132.267878582,-14.465258864
132.29,-14.4714
133.751193977,-14.08190546
133.801196411,-14.198577239
133.8167,-14.0833
133.8167,-14.0833
133.8167,-14.0833
133.8167,-14.0667
133.8178577,-14.0819069
133.8178577,-14.0819069
133.8178577,-14.0819069
133.8178577,-14.0819069
133.8178577,-14.0819069
133.8178577,-14.0819069
133.8178577,-14.0819069
133.8178577,-14.0819069
133.8178577,-14.0819069
133.81785936,-14.13190798
133.85,-14.0333
133.851188572,-14.181908204
133.867858351,-14.048580113
133.9,-14.15
136.7,-14.2
125.83333333,-14.56666667
125.84805556,-14.56833333
125.85,-14.82
125.877162,-14.525947
126.81666667,-14.81666667
132.017879999,-14.498588899
132.1211,-14.6378
132.25,-14.6667
132.251209014,-14.498583892
132.267874307,-14.648581898
132.267878621,-14.481914836
132.3833,-14.5
132.4333,-14.5333
132.4667,-14.5833
132.4667,-14.5833
132.467874617,-14.581909818
132.4686,-14.5375
130.32848,-15.17739
130.475,-15.0778
130.47622279,-15.07637335
133.117316262,-15.066361709
133.173148471,-15.015812857
144.960394877,-15.3510383919
145.1827777778,-15.4386111111
128.2025,-15.5469
128.53,-15.49
128.53,-15.49
128.53,-15.49
128.65,-15.7667
128.6833,-15.6833
128.68333333,-15.68333333
128.684570285,-15.681928437
128.7,-15.65
128.7,-15.65
128.7,-15.65
128.7,-15.65
128.701247911,-15.648601274
128.7028,-15.6517
128.705,-15.655
128.705,-15.655
128.71166667,-15.63305556
128.71166667,-15.63305556
128.735,-15.762
128.735,-15.762
128.735,-15.762
128.735,-15.762
128.735,-15.762
128.735,-15.762
128.735,-15.7617
128.8,-15.55
129.701236965,-15.948596394
129.7333,-15.9333
130.1333,-15.7167
130.198174073,-15.889145874
130.42,-15.65
130.48,-15.65
130.484565284,-15.931925602
130.967899421,-15.598586386
131.067339113,-15.852475834
131.101226275,-15.581919354
131.1167,-15.6167
131.284553595,-15.565256842
133.173,-15.492
133.2,-15.5667
133.217879679,-15.581910786
133.2833,-15.6333
134.784525223,-15.948564977
135.35,-15.6167
135.35118122,-15.61523912
135.36052,-15.77228
135.57133,-15.87709
136.38564,-15.62998
136.46784609,-15.93188854
136.55,-15.6
136.55,-15.6
136.7418051,-15.6647693
136.7667,-15.6833
136.7667,-15.6833
136.861793212,-15.532923104
144.56,-15.6544444444
124.08333333,-16.36666667
124.78583333,-16.45111111
124.9833,-16.3833
124.9833,-16.3833
124.98333333,-16.38333333
124.98333333,-16.38333333
125.93333333,-16.36666667
126.4167,-16.4167
126.47138889,-16.00138889
126.47138889,-16.00138889
126.47138889,-16.00138889
126.47138889,-16.00138889
126.47138889,-16.00138889
126.47138889,-16.00138889
126.47138889,-16.00138889
127.2,-16.2833
127.2,-16.2833
127.9125,-16.1778
128.75833333,-16.09166667
128.8,-16.3
128.984575509,-16.098604293
129.011944444,-15.985277777
129.06666667,-16.01666667
130.0242,-16.2017
130.02444,-16.20178
130.384561947,-16.048595204
130.4208,-16.1136
130.45122782,-16.08191944
130.451236391,-16.115259903
130.517904196,-16.015265008
131,-16
131.017898624,-16.398586639
131.15,-16.25
131.2333,-16.3833
131.23455679,-16.38191266
134.66787105,-16.41523709
135.684514936,-16.348558735
136.0167,-16.45
136.0667,-16.45
136.0667,-16.2833
136.1833,-16.1
136.85,-16.35
137.1,-16.1833
137.1,-16.1833
137.101167547,-16.181881459
137.751166539,-16.265220979
145.1,-16.31944444
122.768,-16.66
124.91666667,-16.83333333
124.9167,-16.8333
125.45111111,-16.71666667
125.45111111,-16.71666667
128.5,-16.7
128.501251117,-16.748602874
130.7325,-16.4904
131.117897864,-16.481915187
131.667897544,-16.798584554
131.817895955,-16.615249725
135.484515732,-16.66522996
135.601185657,-16.698559805
135.851188608,-16.665232463
136,-16.5333
136.1833,-16.6
136.184511602,-16.598556509
136.98598,-16.70966
138.8167502411,-16.8977837381
143.2125808214,-16.7974006307
144.0967875948,-16.75761525
145.1727728919,-16.8164187644
145.7222,-16.8131
122.17,-17.31
122.18333333,-17.28333333
124.8,-17.4
124.97,-17.42
125.26666667,-17.08333333
125.32627704,-17.25414506
126.09972222,-17.36666667
126.6986,-17.0464
127.97694444,-17.43722222
128,-17.4167
128.1167,-17.1667
128.39666667,-17.35305556
128.451256097,-17.31527525
128.8167,-17.4333
128.8167,-17.4333
128.867925082,-17.398601127
128.87,-17.31
128.95,-17.35
130.95,-17.38
130.951236095,-17.381914207
131.1167,-17.3667
133.4239,-17.2831
133.5167,-17.15
133.534538532,-17.148573762
133.75,-17.3333
134.251206375,-17.465235574
135.751186378,-17.131892524
137.4333,-17.2
138.28388889,-17.38194444
139.46782103,-17.06520472
139.46782103,-17.06520472
144.553,-17.191
144.6127777778,-17.0569444444
145.5402902877,-17.1133200271
145.5839,-17.0017
145.587,-17.01
122.2053,-17.6361
122.22018491,-17.92083527
122.23,-17.97
122.23,-17.96
122.23,-17.96
122.23,-17.96
122.2333,-17.9667
122.2333,-17.9667
122.23333333,-17.96666667
122.47305556,-17.93666667
122.767960052,-17.665307212
124.8,-17.5
124.834608416,-17.498629085
124.9833,-17.9667
125.01666667,-17.96666667
125.28055556,-17.91944444
126.1086,-17.5253
126.16,-17.5439
126.2242,-17.5256
127.75,-17.5
127.75,-17.5
127.75,-17.5
127.856607,-17.637892
128.25,-17.55
128.25,-17.55
128.251254874,-17.54860721
128.8,-17.5167
128.8,-17.5167
128.8667,-17.8667
128.895,-17.855
129.151111111,-17.966666666
129.634584763,-17.831927103
130.69347,-17.59752
130.6986111111,-17.5547222222
130.69868,-17.55497
131.40689,-17.84698
131.5942,-17.7858
133.534541457,-17.54857596
134.2345,-17.9031
134.703055556,-17.674722222
134.7031,-17.6747
136.867854586,-17.915222755
137.7333,-17.8333
137.734508745,-17.83187727
138.0230555556,-17.5286111111
138.08055556,-17.57277778
138.1096388889,-17.5182799995
138.95,-17.93
139.5667,-17.7333
139.7,-17.58
139.7667,-17.95
139.7759110115,-17.9569450492
140.9167,-17.75
140.9258986508,-17.7569419529
141.5008918217,-17.4986076143
142.2831072243,-17.9583261472
144.41752787,-17.9152644122
145.1258531787,-17.9569288886
122.06666667,-18.44027778
124.03305556,-18.14972222
125.57972222,-18.29166667
125.57972222,-18.29166667
125.57972222,-18.29166667
125.5833,-18.3
125.5833,-18.2667
125.58333333,-18.26666667
125.58833333,-18.18166667
125.6,-18.3
125.6,-18.3
125.6525,-18.1317
126.05111111,-18.31805556
126.05111111,-18.31805556
126.05111111,-18.31805556
127.5,-18.19
127.54972222,-18.16666667
127.65638889,-18.22305556
127.65638889,-18.22305556
127.65638889,-18.22305556
127.6667,-18.2333
127.81805556,-18.42638889
127.81805556,-18.42638889
133.635,-18.0725
133.6669,-18.0719
133.6844,-18.08
133.831388889,-18.339166666
133.85,-18.45
135.617865627,-17.981887308
137.084515416,-18.081879529
139.88,-18.23
139.8833,-18.2167
139.8925775067,-18.2402773925
139.9175772853,-18.2486106267
140.8933,-18.0069
143.4175396679,-18.081933457
143.7946797277,-18.2995359077
144.2405562925,-18.0932374148
144.53694444,-18.22583333
144.5377777778,-18.2236111111
144.5378,-18.2236
144.5758603256,-18.2069295817
144.62666667,-18.3869444394
144.7325,-18.15111111
144.8258573942,-18.1902622355
144.9175231894,-18.2485950895
124.89,-18.7
125.17805556,-18.68666667
125.91666667,-18.88333333
125.91666667,-18.88333333
126.25,-18.9
130.134585368,-18.798597295
134.0333,-18.8
134.034544839,-18.781896051
134.5333,-18.85
134.567885505,-18.865229603
134.701208352,-18.498563756
136.46814449,-18.85687773
136.584518569,-18.715220057
136.584527711,-18.898550618
136.59230105,-18.85021927
136.593697853,-18.844379746
138.0092638928,-18.6069497455
138.1259293898,-18.5902826983
138.2925947227,-18.6569486899
138.3425943081,-18.6736151584
138.4925929958,-18.7069479208
138.5092593746,-18.6736145804
138.5114819748,-18.7777810823
138.53222222,-18.88527778
139.2592520019,-18.6569453613
143.272426,-18.5418895994
143.53,-18.5206
143.9247,-18.5492
143.94,-18.5494
144.0266666667,-18.5408333333
144.7591925362,-18.5069279925
144.8925256291,-18.8902596267
144.9758582827,-18.9735924239
145.2258539468,-18.5569264044
145.3333,-18.5167
145.509183791,-18.5069257318
129.984589556,-19.315263861
134.1667,-19.1333
134.167890466,-18.998566836
134.2,-19.45
134.217892213,-19.44856251
134.23435,-19.232871
135.417881734,-19.281885258
138.0784502381,-19.2318409471
138.7509252877,-19.0819464598
140.230833333,-19.401388889
144.235587996,-19.0777643429
145.09333333,-19.04611111
145.6246133621,-19.3541221735
146,-19
146.0583462464,-19.1896993931
146.2294,-19.2775
146.22944444,-19.2774999994
146.25,-18.9833
146.25,-18.98
146.2591764822,-18.9902550339
146.3258436734,-19.3735867955
