"longitude","latitude"
130.85,-11.85
130.851202339,-11.848595938
130.95,-11.9333
130.951204005,-11.931929005
130.9667,-11.9333
131,-11.92
131,-11.9167
131.001207268,-11.915263567
131,-12.3667
131,-12
131,-12
131.0012065,-12.3652656
131.017874587,-12.181896561
131.017879083,-12.215265059
131.028991092,-12.227764228
131.03453517,-12.24860093
131.08,-12.42
130.591215271,-12.503299678
125,-14.5
125,-14.5
125,-14.5
122.2,-17.4
122.1,-17.5
122.1,-17.5
122.1,-17.5
122.1,-17.5
122.1,-17.5
122.1,-17.5
122.1,-17.5
122.1,-17.5
122.1,-17.5
122.1,-17.5
122.1,-17.5
122.1,-17.5
122.1,-17.5
122.2,-17.5
122.2,-17.5
