"longitude","latitude"
130.634537076,-11.681928598
142.8334234528,-11.6198128202
142.834,-11.62
142.19505,-12.32005
142.25117724,-12.3396645296
142.9019763995,-12.3511263882
142.9167,-12.45
142.9167,-12.45
142.92,-12.45
142.9242554203,-12.4628519912
142.9247,-12.4617
142.9255874146,-12.4602924201
142.9287736929,-12.4519737687
143.2663962952,-12.4665234326
130.819722222,-12.725277777
130.81987,-12.72663
143.142529925,-12.7236240044
143.23638889,-12.7419444396
143.4175272534,-12.9152892213
142.9708888889,-13.2209166663
143.3425296455,-13.8402844979
143.35,-13.7333
143.3591959442,-13.7402849711
143.3667,-13.7333
143.3667,-13.7167
143.3667,-13.7167
143.3667,-13.7167
143.37586243,-13.7402849421
143.3758626137,-13.8402844389
143.4,-13.7
143.4,-13.7
143.4091953711,-13.7236183024
143.45,-13.68
143.4591947674,-13.6902850534
144.4425183284,-14.2686136549
145.325,-15.8083333328
145.3322222222,-15.8272222217
145.3667,-15.9667
145.3754613368,-15.9672295642
145.4175108121,-15.9152701582
145.2833,-16.3
145.2987989494,-16.3028071596
145.3167,-16.4333
145.3306,-16.4336
145.3313840604,-16.4322930032
145.332,-16.432
145.334399267,-16.26518229
145.3425125689,-16.273601999
145.4148010183,-16.189841031
145.4189801371,-16.1347448185
145.4248003181,-15.9892862529
145.435889245,-16.2433172796
145.4469,-16.1036
145.5,-16.6333
145.5003,-16.6658
145.5003,-16.6658
145.50062792,-16.6681176005
145.517743793,-16.631836439
145.5258447248,-16.6402665696
145.5333,-16.5167
145.6,-16.75
145.6013811564,-16.9051208569
145.6155941805,-16.7579077317
145.6333,-16.7833
145.64036111,-16.8538055595
145.6425104304,-16.7902656144
145.6833,-16.8167
145.4667,-17.2333
145.4667,-17.2333
145.8667,-17.35
145.8758425505,-17.3402626306
145.8925087831,-17.2569296091
145.8952865643,-17.2697073248
145.9167,-17.3333
145.9667,-17.3
145.967,-17.3
145.98912881,-17.4207858295
145.65,-17.7728
145.6504431211,-17.7721078775
145.6667,-17.5833
145.7450723829,-17.5947800676
145.75,-17.5833
145.9395150613,-17.714223528
145.9919,-17.8411
145.8153,-18.2044
145.8161846284,-18.203111042
145.816380282,-18.202897456
145.85,-18.4
145.85,-18.4
145.85,-18.0167
145.8591793284,-18.4069250644
145.8619732562,-18.0292043347
146.0425092227,-18.0069260924
146.10917598,-18.2902581164
150.5859825745,-22.7860797443
150.6091352559,-22.7235608154
150.7091344042,-22.8402267433
150.745,-22.6538888882
150.8091326761,-22.7568932957
150.8091326761,-22.7568932957
