"longitude","latitude"
142.5,-11.8167
145.2667,-15.8167
145.2667,-15.8167
145.2667,-15.8167
145.2667,-15.8167
145.2683757046,-15.8181894377
145,-16.2333
145.0066830006,-16.2333251984
145.0410359507,-16.2544922504
145.0456766559,-16.2581493908
145.0643218489,-16.2645553329
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.1091818014,-16.2236027789
145.2199283393,-16.435894866
145.2833,-16.3
145.2833,-16.3
145.4094,-16.1739
145.4094444444,-16.1738888884
145.25,-16.5
145.2508477632,-16.581934172
145.2591808024,-16.506934483
145.2667,-16.6
145.2667,-16.6
145.2667,-16.5167
145.2667,-16.5167
145.2667,-16.5167
145.27,-16.52
145.2747,-16.5639
145.27584732,-16.523601035
145.2776944444,-16.5936388884
145.2778,-16.5936
145.2833,-16.5833
145.2833,-16.5833
145.3091804432,-16.590267325
145.25,-17.3833
145.25,-17.3833
145.4167,-17.2667
145.4167,-17.2667
145.4167,-17.2667
145.4333,-17.3167
145.6333,-17.0167
145.7,-17.4
145.7,-17.4
145.7,-17.4
145.7,-17.4
145.7091780389,-17.4069294591
145.7757040575,-17.3798102973
145.5333,-17.7167
145.5667,-17.75
145.5667,-17.75
145.5667,-17.75
145.5667,-17.75
145.5667,-17.75
145.575847308,-17.7569283954
145.6333,-18.15
145.7650379881,-18.2070855898
145.7766519173,-18.2094192013
146.1833,-18.95
146.3667,-19.1333
