"longitude","latitude"
142.4425350219,-10.8236357589
142.1176,-11.3319
142.1258721782,-11.3402997
142.1261,-11.3403
142.4547222,-11.6438889
142.5925344577,-11.7569634492
142.592757708,-11.756880471
142.75,-11.85
142.77,-11.87
142.7758659963,-11.8736292341
142.8541667,-11.6330556
141.7253875077,-12.2394886277
141.7425439423,-12.2402952301
143.35,-12.82
143.35833333,-12.7916666696
143.3833,-12.6667
143.4,-12.65
143.4,-12.6
143.4,-12.6
143.4007184303,-12.6722799758
143.4091936161,-12.6569573189
143.3425296455,-13.8402844979
143.37586243,-13.7402849454
144.63,-14.55
144.634461177,-14.5525007259
144.6345,-14.5525
144.5089094555,-15.6486067813
144.5091872422,-15.6569400724
145.2758455216,-15.8069376543
145.1800146884,-16.3666575266
145.180014692,-16.3680464004
145.2508473263,-16.4152682483
145.3258466102,-16.4736011358
145.4381918036,-16.0771197792
145.4397331786,-16.0791582293
144.8591864881,-16.9069337665
144.859186581,-16.9402669684
144.9,-16.9
145.17935173,-16.81420913
145.1830713888,-16.8130444446
145.2556974,-16.59770201
145.2556974,-16.59770201
145.287173,-16.935618
145.3883459945,-16.5152674675
145.4175133992,-16.9152656402
145.5008446435,-16.4986005989
145.6575104702,-16.8685985648
145.657742712,-16.868500295
145.6758438727,-16.9735980593
145.709176812,-16.9735979744
145.8263975868,-16.9449866921
145.2508491296,-17.0819320223
145.688333333333,-17.295
145.689,-17.294
145.689,-17.294
145.689238755,-17.2936702304
145.7404092319,-17.3109068358
145.917508944,-17.4152622057
145.7925109798,-17.6069284033
