"longitude","latitude"
142.3676,-10.9153
142.3676,-10.9153
142.37,-10.97
142.37,-10.97
142.37,-10.97
142.37,-10.97
142.37,-10.97
142.3758691458,-10.923635219
142.4,-10.8833
142.4092020993,-10.8903020544
142.4167,-10.85
142.4167,-10.85
142.4167,-10.85
142.4167,-10.85
142.4175353697,-10.9153018964
142.4175353697,-10.9153018964
142.4175353697,-10.9153018964
142.417535373,-10.9153018997
142.417535373,-10.9153018997
142.442535072,-10.873635457
142.2852777778,-11.2913888889
142.359,-11.1731
142.359,-11.1731
142.3667,-11.15
142.3667,-10.9833
142.370371,-11.100927
142.37426,-11.085649
142.3833,-11.0333
142.4167,-11.35
142.42835,-11.102575
142.5262861111,-11.1002861111
142.7422,-11.0442
142.7422,-11.0442
142.7422,-11.0442
142.7422,-11.0442
142.7422,-11.0442
142.7591985857,-11.05696738
142.4175362819,-11.7486303744
142.4333,-11.5
142.45,-11.65
142.45,-11.65
142.5,-11.85
142.5,-11.8333
142.5,-11.8333
142.5,-11.8333
142.5,-11.83
142.5,-11.82
142.5,-11.8
142.5005555556,-11.8377777774
142.5092021004,-11.8402964135
142.5833,-11.75
142.5833,-11.75
142.5878,-11.7544
142.5878,-11.7544
142.5878,-11.7544
142.7264801023,-11.6548127545
142.805,-11.8719444444
142.8141666667,-11.7644444444
142.867,-11.92
142.8683333333,-11.9183333333
141.8092100136,-12.3069614527
141.8653205852,-12.3377945503
141.8925424154,-12.256961601
142.2177777778,-12.3191666667
142.22406979,-12.3064071396
142.2242,-12.3064
142.236017,-12.334383
142.2366666667,-12.3338888889
142.2366799096,-12.3367199378
142.7862021289,-11.9759221089
142.8417,-11.9875
142.92,-12.45
143.1275876846,-12.0148103724
141.7512390466,-12.9634104185
141.8333,-12.6667
141.8333,-12.6667
141.8333,-12.6667
141.901095103,-12.615215614
141.9092094485,-12.6236263367
141.923611111,-12.6891666666
141.9370727319,-12.6923179027
141.945,-12.6783
141.945,-12.6783
142.0025,-12.6449999996
143.0317,-12.6919
143.0317,-12.6919
143.0833,-12.75
143.0833,-12.75
143.0833,-12.75
143.0850887637,-12.4984190389
143.0925305119,-12.7569572293
143.095,-12.7417
143.095,-12.7417
143.095,-12.7417
143.1,-12.75
143.102,-12.757
143.1041667,-12.7583333
143.1041667,-12.7583333
143.1050889494,-12.7570288226
143.1091969997,-12.7569572049
143.1667,-12.75
143.1667,-12.75
143.1667,-12.7333
143.1925293879,-12.7236239319
143.2,-12.7333333333333
143.2,-12.7167
143.2,-12.7167
143.2,-12.7167
143.2,-12.7167
143.20405,-12.611
143.2091958753,-12.7236239078
143.221,-12.7383
143.2258623877,-12.7402904592
143.25,-12.75
143.2508621312,-12.7486237106
143.283333333333,-12.7333333333333
143.3,-12.75
143.3,-12.75
141.75,-13.07
141.75,-13.07
141.7592113893,-13.0736243145
141.8361,-13.3292
142.9364221552,-13.4213984245
143.05,-13.6
143.3758626137,-13.8402844389
143.4175286594,-13.7486181605
143.4667,-13.8
143.475861313,-13.723618187
143.4833,-13.75
145.90437551,-16.9413051895
145.9,-17.45
145.95,-17.3
145.9661,-17.3017
145.9661,-17.3017
145.966366595,-17.3028225093
145.9663888889,-17.3019444439
145.9664,-17.3019
145.9664,-17.3019
145.9758412739,-17.3069291729
145.97916667,-17.39444444
145.9792,-17.3944
145.9819,-17.3847
145.9819,-17.3839
145.9819,-17.3839
145.9819444444,-17.3838888884
145.9819444444,-17.3838888884
145.9819444444,-17.3838888884
145.9831,-17.3819
145.9831,-17.3819
