"longitude","latitude"
132.09689,-11.38829
134.602032426,-12.315176693
131.891083333,-12.714055555
132.8333,-12.85
132.8333,-12.85
132.857,-12.8386
132.857,-12.8386
132.8917,-12.5572
132.892,-12.5572
132.892891774,-12.555788836
132.992019193,-12.59636132
130.721,-13.1883
130.744,-13.2517
130.744810079,-13.250294117
132.416,-13.4353
132.7083,-13.4
132.817,-13.2356
132.818,-13.2036
132.8208,-13.2036
132.821,-13.2036
132.821,-13.2036
132.821996262,-13.202185498
132.2807,-14.2206
132.417871073,-14.31525324
132.4542,-14.3281
125.751,-14.8861
125.75138889,-14.88611111
126.2,-14.9
126.2,-14.9
126.2,-14.9
126.201,-14.8842
126.201,-14.8842
126.20138889,-14.88416667
126.20138889,-14.88416667
126.2014,-14.8842
143.504,-14.7658
143.539,-14.8744
143.539,-14.8744
143.5397517979,-14.8730568947
126.81666667,-15.03333333
126.8167,-15.0333
135.334518342,-15.865233259
125.97,-16.15
125.4833,-16.5833
125.48333333,-16.58333333
