"longitude","latitude"
132.95,-11.38
132.6424,-11.4956
132.7175,-11.5423
132.93452126,-11.78192449
133,-11.75
133.301190436,-12.298586716
133.334514385,-12.465255466
133.9333,-12.1667
134.04347,-12.21943
134.05,-12.27
134.05,-12.25
134.051176884,-12.265254222
134.051181335,-12.248580767
134.184509392,-12.38191249
134.2355,-12.0656
134.2356,-12.0656
134.251179815,-12.031916553
134.45,-12.2167
134.451175099,-12.215254972
135.76741,-12.05053
130.5842,-12.685
130.585376464,-12.683596581
130.624106252,-12.717267213
130.772222222,-12.741111111
130.9833,-12.5667
130.9875,-12.575
130.988,-12.575
130.988710894,-12.573593986
131,-12.7
131.001212549,-12.698594352
131.051212351,-12.615265189
131.484533662,-12.548590842
131.6667,-12.7333
131.667878279,-12.731918416
131.67,-12.73
133.167864333,-12.965251181
134.534506515,-12.848577873
134.567847121,-12.881911295
132.9333,-13.1167
132.934520665,-13.115258497
142.9961432239,-13.1169554562
142.9989209814,-13.1200109925
143,-13.4
143.0075,-13.3264999996
143.0075002459,-13.3265007441
143.0333,-13.4
143.0425321036,-13.4069538775
143.19,-13.1850833329
143.05,-13.75
143.1,-13.7
143.1,-13.7
143.101085309,-13.748536428
143.1091983443,-13.7569516575
132.4925,-14.2725
132.63538,-14.03974
134.3942,-14.1267
134.4444,-14.1267
134.6269444444,-14.2486111106
134.62717,-14.24878
143.5825,-14.085
135.11424,-14.87654
143.5286407511,-14.8466681515
143.5650833333,-14.7505666667
128.1312,-15.0694
128.14008,-15.07945
128.140083333,-15.079333333
128.1588,-15.1066
128.158861111,-15.106583333
128.158861111,-15.106583333
135.53833,-15.27333
135.636663207,-15.188322335
135.691652498,-15.296275056
142.171666667,-15.463055556
142.17166667,-15.46305556
142.841566613,-15.1737398659
142.841666667,-15.173611111
143.8667,-15.1833
143.8676,-15.1819
143.8676,-15.1819
143.867760171,-15.18185332
143.87,-15.18
143.8758599109,-15.1902772758
144.017748962,-15.048519736
144.63,-15.3
144.6333,-15.3
144.6333,-15.3
144.6333,-15.3
144.634402238,-15.298522084
144.642518258,-15.3069414242
144.651072086,-15.365190218
144.6591848843,-15.3736077374
145.18,-15.47
145.1833,-15.4667
145.1833,-15.4667
145.1833,-15.4667
145.184399972,-15.465181591
145.1916666667,-15.4583333328
145.2063888889,-15.4691666667
134.534520791,-15.71523918
135.2708,-15.7758
135.284520782,-15.898564212
135.4336,-15.6089
135.43386,-15.60906
136.6667,-15.7
136.667841858,-15.698557423
136.784504817,-15.681884609
144.1667,-15.5
144.3808,-15.5747
144.3809166667,-15.5745833333
144.4805763785,-15.6247180644
144.48222222,-15.6236111095
144.482222222,-15.623611111
144.5,-15.65
144.5,-15.6
144.5,-15.6
144.5,-15.5
144.501082126,-15.648513509
144.5083333333,-15.6583333328
144.5091869122,-15.6569397424
144.575,-15.6083333328
144.651082908,-15.74851789
145.0172,-15.7467
145.0180150033,-15.7452718596
136.1167,-16.1167
145.0946550232,-16.5361380577
138.2581447024,-16.9755629724
142.8486111111,-17.8744444438
142.1644444444,-18.2602777778
142.2861628441,-17.986937167
142.5844,-18.6328
142.5853284778,-18.6313788436
142.1258922028,-19.4902671298
134.0667,-27.6667
