"longitude","latitude"
132.834520956,-11.74859206
132.8667,-11.85
132.867858007,-11.848591787
131.1,-12.4333
131.101203187,-12.431922372
131.2167,-12.3667
131.217876325,-12.365266158
131.25,-12.33
131.28,-12.3
131.28,-12.3
131.2833,-12.3
131.467871109,-12.348592882
131.934529923,-12.448593381
132.5454,-12.405
132.8167,-12.45
132.817895927,-12.448588534
132.95,-12.3833333333333
132.95,-12.3667
132.968,-12.43
132.968,-12.43
133.0167,-12.25
133.017862409,-12.248587496
133.017863255,-12.381918407
133.0667,-12.3333
133.067861679,-12.331916737
133.1822,-12.2425
133.6667,-12.25
133.67,-12.25
135.5667,-12.0333
135.5667,-12.0333
135.567833075,-12.031909275
135.567833075,-12.031909275
131.0833,-12.5167
131.0833,-12.5167
131.1167,-12.85
131.1194,-12.8583
131.134537017,-12.848592768
131.1575,-12.5831
131.1667,-12.95
131.167881943,-12.831926492
131.217875468,-12.898597095
131.251206128,-12.66526148
131.251206128,-12.66526148
131.2833,-12.5667
131.2833,-12.5667
131.2833,-12.5667
131.2833,-12.5667
131.284534587,-12.56526079
131.2939,-12.5833
131.317879558,-12.665267091
131.3333,-12.5
131.35,-12.5833
131.351203459,-12.581924773
131.351203459,-12.581924773
131.384536593,-12.731921871
131.667873341,-12.581927266
131.684536369,-12.61526733
131.7167,-12.5667
131.7167,-12.5667
131.7167,-12.5667
132.2167,-12.85
132.219,-12.571
132.219,-12.571
132.219,-12.571
132.219,-12.571
132.4,-12.9333
132.401199545,-12.948589123
132.417866686,-12.581919323
132.417894548,-12.581892488
132.467868147,-12.89858815
132.5075,-12.8908
132.5075,-12.8908
132.5075,-12.8908
132.517868023,-12.898588783
132.5333,-12.9167
132.5333,-12.9167
132.5667,-12.95
132.5667,-12.95
132.5667,-12.9417
132.5667,-12.9417
132.567869386,-12.931920189
132.567898807,-12.940287164
132.5833,-12.65
132.5833,-12.65
132.5833,-12.65
132.584522657,-12.648586257
132.65,-12.7667
132.65,-12.7667
132.65,-12.7667
132.667869237,-12.748590232
132.7,-12.83
132.7419,-12.8469
132.742,-12.8469
132.75,-12.75
132.7511986,-12.7652617
132.751198603,-12.748589383
132.7583,-12.7667
132.7583,-12.7667
132.799,-12.864
132.799,-12.864
132.799,-12.864
132.8061,-12.8539
132.8167,-12.8667
132.834522039,-12.948584762
132.840312724,-12.870843282
132.8667,-12.5833
132.8667,-12.5833
132.867864772,-12.58191647
132.867864772,-12.58191647
132.8833,-12.6667
132.8833,-12.6667
132.8833,-12.6667
132.8833,-12.6667
132.8833,-12.6667
132.8833,-12.55
132.8833,-12.5
132.8833,-12.5
132.88452284,-12.66525502
132.884523731,-12.548583454
132.884523731,-12.548583454
132.884527037,-12.581913141
132.9,-12.6667
132.901190605,-12.665260545
132.915,-12.681
132.915,-12.6806
132.915,-12.6806
132.9167,-12.6667
132.9167,-12.55
132.917858614,-12.665255986
132.917858614,-12.665255986
132.917862727,-12.548591216
132.918994002,-12.672784028
132.92,-12.68
134.967844868,-12.481911135
135.384504126,-12.665243064
135.9019,-12.5239
135.903101974,-12.522464525
130.284544163,-13.015270605
130.4167,-13.2
130.417888146,-13.198596103
130.767689,-13.357048
130.8,-13.15
130.801215822,-13.148598545
131.067880477,-13.248593597
131.117881302,-13.248590004
131.117881302,-13.248590004
131.1333,-13.35
131.1333,-13.35
131.1333,-13.2667
131.1333,-13.2667
131.2333,-13.1
131.2333,-13.1
131.23453613,-13.16526478
131.4167,-13
132.2797,-13.23
132.309,-13.055
132.309,-13.055
132.309,-13.055
132.309,-13.055
142,-13.1
142.9961432261,-13.1169554529
130.451216186,-13.765263417
130.4667,-13.65
130.4667,-13.65
130.667890197,-13.748597807
142.32888889,-13.48472222
142.3333,-13.65
142.3333,-13.65
142.3333,-13.65
142.553175,-13.88385
126.0833,-14.4167
126.0833,-14.4167
126.584579028,-14.448617731
126.9233,-14.0256
126.9233,-14.0256
130.1833,-14.3333
130.18455105,-14.33192884
131.07855,-14.15418
132.3,-14.4167
132.3,-14.4167
132.4667,-14.3
132.4667,-14.3
132.4667,-14.3
132.46763,-14.31531
132.6698,-14.3065
132.7271,-14.0552
134.1861,-14.1881
134.1863794,-14.1883118
134.1914,-14.1578
136.5013,-14.184
143.55027778,-13.99277778
143.6755555556,-14.4463888884
143.70361111,-14.26944444
143.7219444444,-14.4027777773
143.7422222222,-14.3797222217
144.4167,-14.3
144.4167,-14.3
144.425,-14.3083333325
125.64166667,-14.82305556
125.642919102,-14.821683021
126.2,-14.9167
126.2,-14.9167
126.25,-14.9
126.3333,-14.8333
126.33333333,-14.83333333
126.9,-14.7
127.08333333,-14.78333333
130.8,-14.7333
130.801218638,-14.731923208
132.635,-14.6401
132.635,-14.6401
132.635,-14.6401
132.635,-14.6401
132.884530921,-14.531912258
141.6167,-14.8833
141.6167,-14.8833
142.7167,-14.5667
142.8,-14.9
142.8333,-14.9
142.834431472,-14.898527643
142.8425372203,-14.9069470842
143.2591988741,-14.6736139504
143.2956,-14.9167
143.509,-14.779
143.509,-14.779
143.509,-14.779
143.509,-14.779
143.5167,-14.8167
143.5167,-14.8167
143.5167,-14.7667
143.5167,-14.7667
143.5194444444,-14.8261111111
143.5258628458,-14.7736129429
143.5258629537,-14.8236127091
143.65,-14.72
143.65,-14.7167
143.6591946095,-14.7236129088
143.6833,-14.7167
144.0908333333,-14.78
144.4194444444,-14.8847222217
144.67,-14.58
144.67,-14.58
144.67,-14.58
144.67,-14.58
144.6758496767,-14.5902782304
126.15,-15.1333
126.15,-15.13
126.161,-15.195
126.2,-15.2
126.2,-15.2
126.71666667,-15.26666667
126.73,-15.05
126.7333,-15.05
126.91666667,-15.03333333
126.9167,-15.0333
127.2,-15.3
127.2,-15.2833
129.731511968,-15.350814194
130.05688,-15.00241
130.30296,-14.99575
130.388333333,-15.116666667
130.4736,-15.0697
130.475115889,-15.066935301
130.4833,-15.35
130.484556048,-15.348591177
131.5667,-15.3667
131.8569,-15.1704
132.33444,-15.41882
141.63,-15.45
141.6333,-15.45
141.642551218,-15.4569474747
142.17444444,-15.46166667
143.5667,-15.0333
143.83,-15.16
143.9,-15.2167
143.9,-15.2167
143.917755851,-15.215193698
144.2333,-15.4667
144.2333,-15.4667
144.2425231453,-15.4736081765
144.25,-14.9833
144.25,-14.9833
144.25,-14.9833
144.25,-14.98
144.25,-14.98
144.2591885325,-14.9902770793
144.28,-15.18
144.28,-15.18
144.28,-15.18
144.28,-15.18
144.2925219354,-15.190276056
144.2925219354,-15.190276056
144.3702777778,-15.1780555556
144.38444444,-15.19888889
145.0833,-15.4167
145.0833,-15.4167
145.1333,-15
145.1333,-15
145.1333,-15
145.1425119082,-15.0069418615
145.15,-15.42
145.1541666667,-15.4258333328
145.17,-15.43
145.2508448976,-15.4152729362
125.1833,-15.5917
125.1833,-15.5917
125.1833,-15.5917
125.18333333,-15.59166667
126.36666667,-15.63333333
126.3667,-15.6333
126.3667,-15.6333
127.0833,-15.9667
127.0833,-15.9667
127.0833,-15.9667
127.0833,-15.9667
127.45,-15.97
127.52663889,-15.88477778
128.2,-15.5667
128.251667,-15.588056
128.26,-15.55
128.26,-15.55
128.26,-15.55
128.26,-15.55
128.2833,-15.5833
128.28333333,-15.58333333
128.28333333,-15.58333333
128.53,-15.49
128.53,-15.49
128.735,-15.7794
128.73972222,-15.78027778
128.73972222,-15.78027778
128.743,-15.7826
128.743,-15.7826
129.53980353,-15.6664582
130.35,-15.5833
130.35,-15.5833
134.5667,-15.8667
134.5667,-15.8667
134.567867497,-15.865241244
135.4,-15.5
135.4,-15.5
135.4,-15.5
135.401180591,-15.498566804
136.38,-15.65
136.3833,-15.65
136.3833,-15.65
136.384505392,-15.648556798
142.19027778,-15.48888889
142.7,-15.5
142.7,-15.5
142.7,-15.4833
142.7,-15.4833
142.7092066799,-15.4902782115
144.85,-15.85
145.1258469699,-15.6902718794
124.684598402,-16.098625362
124.7,-16.1
124.83,-16.45
124.8333,-16.45
125.04509167,-16.41102222
125.8333,-16
125.9867,-16.1525
126.1667,-16.3333
126.1667,-16.3333
126.7,-16.4667
127.0833,-16.2667
127.18688889,-16.40708333
127.492714,-16.092334
127.91666667,-16.03333333
127.9333,-16.05
127.934528,-15.981806
128.24,-16.2936
128.24125416,-16.29217919
133.717879482,-16.29857373
133.725,-16.3
135.55415,-16.44514
136.9167,-16.25
142.6386,-16.1728
142.63865321,-16.1727129495
122.7333,-16.9667
122.73333333,-16.96666667
123.7,-16.6167
123.70138889,-16.61666667
123.7083,-16.6167
123.7583,-16.6167
124,-16.75
125.45111111,-16.71666667
125.46666667,-16.71666667
125.488888888889,-16.5877777777778
125.778,-16.9275
125.778,-16.9275
125.778,-16.9275
125.8,-16.9167
125.807,-16.925
125.80793985,-16.9236187
125.9167,-16.6333
126.1167,-16.5167
126.71844,-16.96661
130.201235476,-16.948593725
130.536445626,-16.610321827
137.4882,-16.5783
141.7763552699,-16.839281234
141.8167,-16.5333
141.8167,-16.5333
141.817793005,-16.531853428
141.82,-16.53
141.8258855123,-16.5402764156
142.70416667,-16.53722222
144.2772476908,-16.5508256146
144.8667,-16.8667
144.8667,-16.8667
144.8676,-16.8653
144.8676,-16.8653
144.867749926,-16.865183141
144.8758528743,-16.8736005322
144.876,-16.874
144.9833,-16.9167
145.3333,-16.6333
145.3333,-16.6333
145.4175129455,-16.7485996935
145.6833,-16.85
145.7105653316,-16.8430429883
124.53805556,-17.36055556
125.15,-17.27
125.4594,-17.1503
125.45944444,-17.15027778
125.47,-17.16
125.47,-17.16
126.4,-17.2
127.351268039,-17.36527721
128.3667,-17.3083
128.3667,-17.3083
138.0653,-17.1961
138.0653,-17.1961
138.0662027802,-17.19472976
138.07222222,-17.17888889
138.25,-17.27
138.25,-17.27
138.25,-17.2667
138.25,-17.2667
138.2667,-17.3333
138.28,-17.42
139.0842482421,-17.0819491791
141.2167,-17.1667
141.2167,-17.1333
141.2508936432,-17.2486090771
141.3125,-17.1147222222
144.1167,-17.0333
144.5,-17.0333
144.5,-17.0333
144.5,-17.03
144.5091908656,-17.0402674731
145.0333,-17.2
145.0333,-17.2
145.0425185629,-17.2069320574
145.2,-17.1417
145.2,-17.1417
145.209183111,-17.140265225
145.2925158103,-17.2569311895
145.3,-17.2667
145.3591812279,-17.090265042
145.395,-17.43
145.4,-17.43
145.4167,-17.1167
145.4175,-17.1153
145.4175,-17.1153
145.4258472123,-17.1235980613
145.4667,-17.3
145.4667,-17.3
145.4667,-17.3
