"longitude","latitude"
132.163134201,-11.39970404
132.6424,-11.4956
132.5454,-12.405
132.601195179,-12.281920618
133.1167,-12.4667
133.4333,-12.3833
133.434517103,-12.381917813
133.5,-12.3
133.884508966,-12.065258749
133.957060154,-12.16157361
130.96469,-12.47943
130.9833,-12.85
130.984542984,-12.848594978
130.99185,-12.51648
131.001205234,-12.715296359
131.048055556,-12.640277777
131.1,-12.78
131.101204702,-12.781922664
131.584532406,-12.831925958
131.584532406,-12.831925958
131.767875917,-12.665264536
131.9139,-12.8325
132.701193878,-12.898584291
132.834525876,-12.848582849
132.85,-12.85
132.85,-12.65
132.85,-12.65
132.851196007,-12.848584319
132.88,-12.67
132.88452284,-12.66525502
132.9167,-12.75
132.92,-12.75
133.2261,-12.6311
133.4189,-12.59
133.91501,-12.63634
134.5333,-12.85
134.534506515,-12.848577873
135.2833,-12.9167
135.284505371,-12.915245436
142.14960428,-12.69038411
142.3,-12.75
142.309205485,-12.7569583881
130.565833333,-13.029166666
131.217881285,-13.081921404
131.22,-13.08
132.15119677,-13.03191968
132.1633,-13.0503
132.43,-13.32
132.4333,-13.3167
132.454722222222,-13.0619444444444
132.459502139,-13.048590113
132.4667,-13.0167
141.7137600064,-13.3437286093
130.744,-13.935
130.7444,-13.9333
130.74452,-13.93481
131.43,-13.77
131.434539046,-13.76525816
131.6667,-13.8167
131.8333,-13.8333
131.833333333333,-13.8333333333333
131.884536816,-13.831920247
143.0913888889,-13.7477777778
126.63333333,-14.38333333
126.72083333,-14.12611111
126.721,-14.1261
130.347884755,-14.371933966
130.6669,-14.3092
130.668174773,-14.307764249
130.72749,-14.35037
130.79,-14.08
130.7903,-14.0783
130.896,-14.242
130.981,-13.979
130.9814,-13.9786
130.98148,-13.97871
132.3851,-14.3169
132.417871073,-14.31525324
132.417871073,-14.31525324
132.417871073,-14.31525324
132.4508,-14.2327
132.47,-14.33
132.4903,-14.3294
132.63217,-14.03781
134.2397,-14.1786
134.239722222,-14.178611111
134.63,-14.25
134.63055,-14.25005
125.234589881,-14.598617897
125.234589881,-14.598617897
125.6222,-14.7778
125.62222222,-14.77777778
125.73333333,-14.68333333
125.73805556,-14.88472222
125.8,-14.8
125.817930618,-14.831952294
125.83,-14.83
125.83333333,-14.83333333
125.834587018,-14.83194621
126.2,-14.9
126.20125349,-14.89861922
126.81666667,-14.81666667
129.9783,-14.4886
129.979566386,-14.487202441
130.1019,-14.4828
130.103164812,-14.481375367
130.5,-14.5833
130.800937361,-14.751925329
130.801218638,-14.731923208
130.801218638,-14.731923208
131.035943101,-14.789138326
132.634535353,-14.565253935
133.1105,-14.8363
133.234,-14.7597
133.23468,-14.75994
142.9017030639,-14.8227806687
143.5091964695,-14.8236127433
143.581388888889,-14.9686111111111
143.657222222222,-14.7247222222222
126.15,-15.13
126.2,-15.1
126.2,-14.98
126.201256107,-15.248617265
126.20583333,-15.22222222
126.603827,-15.320114
126.66666667,-15.03333333
126.71666667,-15.26666667
126.73,-15.05
126.817926089,-14.981939505
129.66111,-15.41263
130.4739,-15.0683
130.475115889,-15.066935301
130.7114,-15.3785
130.984551533,-15.021933479
135.19564,-15.19369
135.35775,-15.38624
143.7925273865,-15.1402773507
143.799,-15.1364
144.1667,-15.4167
144.217751612,-15.448518458
144.22,-15.45
144.8,-15.3
144.82,-15.3
144.8258495122,-15.3069410342
125.3,-15.8
125.334596167,-15.798625799
125.6,-15.6
125.6,-15.5667
126.221,-15.5678
126.22111111,-15.56777778
126.221111111111,-15.5677777777778
126.33,-15.55
127.352,-15.872
127.984580471,-15.748607283
128.14166667,-15.89305556
128.41666667,-15.91666667
128.6475,-15.7194444444444
128.6833,-15.6833
128.68333333,-15.68333333
128.71666667,-15.96666667
128.95,-15.94
129.1,-15.8167
129.101237577,-15.815272885
129.101245866,-15.831925498
129.58,-15.93
129.58333333,-15.93333333
129.5845712,-15.9319311
129.71461,-15.5667
134.534520791,-15.71523918
134.567867497,-15.865241244
134.567867497,-15.865241244
144.4591876908,-15.6069404172
125.55,-16.45
126.75,-16.05
126.87694444,-16.43305556
126.89297222,-16.33686111
127.24133333,-16.34577778
127.60472222,-16.24138889
128.53333333,-16.28333333
128.53333333,-16.28333333
128.73333333,-16.11666667
128.734571424,-16.115272876
128.75,-16.08
128.75833333,-16.09166667
128.984575136,-15.981929664
130.1908,-16.2211
135.35,-16.25
135.629,-16.167
135.6292,-16.1675
135.75,-16.33
135.751185394,-16.331889004
136.08,-16.27
136.084512121,-16.265233515
144.72,-16.25
122.7225,-16.9353
122.723,-16.9353
122.76666667,-16.96666667
122.767963342,-16.965312258
122.77,-16.97
122.8,-16.6
123.96166667,-16.68833333
123.98461305,-16.74862887
124.13,-16.92
124.21472222,-16.85805556
124.21472222,-16.85805556
124.21795339,-16.81530403
124.93,-16.83
124.93333333,-16.83333333
125.807,-16.925
125.8333,-16.8833
125.884597758,-16.515290553
125.9,-16.6
126.12555556,-16.53888889
126.126,-16.5388
126.13333333,-16.51666667
126.71666667,-16.48333333
127.18831,-16.52325
128.3892,-16.5256
128.3904215,-16.524123
128.5,-16.7
128.501251117,-16.748602874
131.734554754,-16.498587921
132.05,-16.68
132.05,-16.68
132.051219276,-16.681914322
135.501191977,-16.698564075
136.2156,-16.725
145.3258478446,-16.933321349
145.4175133959,-16.9152656369
122.80683333,-17.06138889
123.92,-17.28
123.951285415,-16.981963261
124.1,-17.1
124.751280629,-17.398625257
125.1,-17.1
125.117945171,-17.131958196
125.17864,-17.10972
125.4,-17.2
126.83,-17.28
127.049942,-17.277338
127.68333333,-17.36055556
128.39666667,-17.35305556
128.433,-17.2403
128.4333,-17.2403
128.43333333,-17.24027778
130.38136,-17.39928
137.767835683,-17.165220236
141.0925625598,-17.4402756516
127.967930194,-17.481935647
130.47,-17.54
133.951212806,-17.865242136
137.63450715,-17.83187995
138.2003701112,-17.7636171358
138.3572222222,-17.8116666667
138.4427777778,-17.5977777778
140.03,-17.95
141.001140838,-17.731857513
141.004722222222,-17.8286111111111
141.0092310669,-17.7402750766
141.0647862489,-17.800830299
141.1255555556,-17.6555555556
141.126,-17.656
141.1397855297,-17.8191633563
141.2,-17.9
141.2425625303,-17.9069405841
143.8503109825,-17.5683228312
143.8755887907,-17.6699890647
126.76794987,-18.43194226
133.684578,-18.080041
136.751185422,-18.248546366
138.2308,-18.4558
138.2308333333,-18.4558333333
138.231,-18.4558
138.2491666667,-18.4647222222
142.21972222,-18.25166667
143.4111111111,-18.0338888889
144.6128042488,-18.1783184596
145.9036221658,-18.0652595905
145.9375,-18.1761
145.9376330071,-18.1761207851
