"longitude","latitude"
132.766666667,-11.616666666
132.7667,-11.6167
132.767674,-11.615381
132.6697,-12.1494
133.3074,-12.3052
133.3333,-12.4667
133.3333,-12.3333
133.334514385,-12.465255466
133.33451532,-12.33191287
133.6667,-12.25
133.67,-12.25
131.01544,-12.62965
132.4167,-12.6
132.417866686,-12.581919323
132.501196571,-12.748585064
132.6333,-12.875
132.65,-12.83
132.651191492,-12.831916144
132.658,-12.8333
132.701198626,-12.881921715
132.7083,-12.8833
132.716666667,-12.666666666
132.7167,-12.6667
132.717676,-12.665379
132.75,-12.8008
132.751198186,-12.798588211
132.801195447,-12.665256983
132.8083,-12.675
132.8167,-12.65
132.817893755,-12.648585846
132.8333,-12.85
132.8333,-12.85
132.8333,-12.7083
132.8833,-12.5667
132.9167,-12.6833
134.4,-12.5
134.417876589,-12.498583375
130.6667,-13.1167
130.667881199,-13.115267672
132.4167,-13.4333
132.417679,-13.432044
132.417903267,-13.431888075
132.634530486,-13.298583886
132.8,-13.1
133.1,-13.1667
130.558299715,-13.633308021
130.9253,-13.5033
131.42,-13.58
131.5167,-13.6667
131.53,-13.65
131.555,-13.633
131.5833,-13.6333
132.0333,-14.2
132.034536563,-14.1819208
132.051203743,-14.248587039
132.065419483,-14.187171899
132.1814,-14.1942
132.25,-14.2333
133.8386,-14.6792
132.833333333333,-21.7
