"longitude","latitude"
142.3582166667,-10.9672833329
142.3667,-10.85
142.375,-10.845
142.3764,-10.8456
142.3764,-10.8453
142.3764,-10.8453
142.3764722222,-10.8452222219
142.3925355435,-10.8236358045
132.21487,-11.22162
132.5378,-11.4116
142.08420642,-11.7486307735
142.5,-11.8667
142.5092021423,-11.8736295591
142.5833,-11.9167
142.5842014062,-11.9152958992
134.81508,-12.29805
141.7147381184,-12.289530551
141.7925435188,-12.3069614758
141.8,-12.3
141.8,-12.3
142.25,-12.33722222
142.25,-12.12
142.25,-12.12
142.25,-12.12
142.251092416,-12.115216535
142.259205088,-12.1236284922
142.462,-12.243
142.4622,-12.2431
132.57736,-12.56924
133.8217,-12.5028
142.1592067989,-12.5902928098
142.176666667,-12.7208333326
142.222,-12.658
142.231,-12.6519
142.233,-12.655
142.233,-12.655
142.6,-12.8
142.6258688934,-12.8069576527
142.7,-12.72
142.7,-12.72
142.7,-12.7
142.7,-12.7
142.7092012155,-12.7236246369
143.117754166,-12.748543176
143.12,-12.75
143.3417,-12.7867
143.3422,-12.7836
143.3431,-12.7819
143.3431778561,-12.7819900634
143.4,-12.6
143.42,-12.6
141.7676,-12.9819
141.7676,-12.9819
141.7758780781,-12.9902913637
142.75,-13.02
142.7508682839,-13.2486218334
142.7592011561,-13.0236229813
142.7667,-13.0333
142.8,-13.1
142.8,-13.1
142.9986,-13.1222
143.00444444,-13.1272222196
132.464,-13.526
132.5142,-13.5003
132.51786758,-13.51525372
132.52,-13.52
132.5752,-13.5711
143.25,-13.8
143.25,-13.8
143.459195259,-13.9569503667
130.44736,-14.26294
132.32253,-14.20305
132.4247,-14.32
132.50675,-14.29087
132.54444,-14.27725
132.5624,-14.2785
132.5721,-14.2651
134.206,-14.267
134.20657,-14.26695
143.2833,-14.2167
143.488,-14.337
143.488,-14.337
143.49761667,-14.39086667
143.498,-14.391
144.2425203467,-14.1569479313
125.75,-14.8
125.75,-14.58
125.8,-14.8
125.84722222,-14.81944444
125.85,-14.8167
130.334555002,-14.565263635
143.52557,-14.83975
143.526,-14.84
143.526,-14.84
143.526,-14.84
143.637,-14.634
143.637,-14.581
143.637,-14.581
143.653,-14.581
143.653,-14.581
144.15666667,-14.83722222
144.2094444444,-14.9502777778
144.24027778,-14.96888889
144.5002777778,-14.5725
144.5003,-14.5725
144.6,-14.58
144.8,-14.7
134.745562787,-15.140781483
134.7496,-15.1382
134.7653,-15.2499
134.97552,-15.3422
143.1847222222,-15.3052777778
143.664938,-15.1117729995
143.94944444,-15.24916667
144.80055556,-15.24416667
144.801,-15.244
144.87,-15.28
144.9110013894,-15.2707228664
