"longitude","latitude"
142.2,-10.5
142.2167,-10.5833
142.25,-10.67
142.25,-10.67
139.1914,-16.6756
139.25,-16.6667
145.9736,-16.7583
145.9736,-16.7583
145.98,-16.75
145.98,-16.75
146.6083,-19.1583
146.775,-19.1917
146.8258369648,-19.1902525526
146.8304138889,-19.1761583333
146.8306,-19.175
146.8306,-19.175
146.8306,-19.175
146.8306,-19.175
146.8306,-19.175
146.5008419979,-19.4985858027
148.9424808819,-20.2735751215
148.8,-20.5
115.11313889,-21.63277778
114.48194444,-22.04944444
114.50055556,-22.01805556
114.51666667,-21.98333333
150.3558025055,-22.0535639196
152.9174505887,-25.7485432702
152.98333333,-25.81666667
152.98333333,-25.81666667
152.9924498883,-25.8235427745
153.1135187348,-27.0854337974
153.1757873761,-27.0735394047
153.425,-27.417
153.425,-27.417
153.425,-27.417
153.425,-27.417
153.4424520024,-27.4068709319
153.38333333,-27.48333333
153.39166667,-27.48333333
153.4091197496,-27.5068709203
153.4091197496,-27.5068709203
153.4165024322,-27.8109443363
153.428008938,-27.7729400047
153.433,-27.725
153.433,-27.725
153.4357767351,-27.7688120082
153.4591225863,-28.1068697812
