"longitude","latitude"
142.3705666667,-10.8567499997
131.126968022,-12.872022613
142.7167,-12.7833
142.7176,-12.7819
143.25,-13.9167
141.6916666667,-14.8916666662
141.7125,-14.8958
134.406,-15.645
136.25,-16.1
133.271140043,-16.630298839
141.98108333,-16.82091667
141.9811,-16.8208
144.3,-17
144.3,-17
144.7308333333,-17.36
143.2516470049,-17.7096937682
142.3666686097,-18.2402801392
143.762222222,-18.313611111
143.762222222,-18.313611111
143.7622222222,-18.3136111111
143.58816667,-18.57198056
144.44003483,-19.1712307494
146.7667,-19.25
145.4933571776,-20.3188643678
145.7258543558,-20.3069191415
147.11882823,-20.6159116294
138.8926009485,-21.4402770099
146.6897362368,-21.4621902359
147.5591689792,-21.2569098506
147.9758299076,-21.1402420603
139.17409634,-21.86075212
146.7569579192,-21.5310786924
141.4414,-23.9778
141.4423099206,-23.9763758014
