"longitude","latitude"
142.37,-11.15
142.37,-11.15
142.373,-11.143
142.3732166667,-11.14355
142.3758693801,-11.156967167
142.5,-11.82
142.5,-11.82
142.5,-11.82
142.5,-11.82
142.5,-11.8167
142.5008,-11.8456
142.501,-11.8456
142.501,-11.84
131.216666666667,-12.35
131.2167,-12.3667
131.2167,-12.35
131.217873631,-12.348593088
131.217876325,-12.365266158
131.217876325,-12.365266158
131.21787913,-12.38193017
131.22,-12.35
131.22,-12.35
131.2333,-12.3667
131.2333,-12.3667
131.2333,-12.3667
131.234505525,-12.365292716
132.684527155,-12.281915384
141.9007694444,-12.3078277778
142.0167,-12.2167
142.025874321,-12.2236282636
136.051163173,-12.631898886
142.72135,-12.5586222218
142.1092083407,-13.2236230074
145.3458,-16.2583
145.9472,-17.2744
145.9472,-17.2744
145.9472,-17.2744
145.9472,-17.2744
145.9472,-17.2744
145.9758416563,-17.4402619415
145.98642615,-17.4106585695
145.9175109396,-18.0819261487
