"longitude","latitude"
133.0542,-11.8261
131.0333,-12.2
132.95,-12.4
134.1,-12.3
134.101176093,-12.348582849
131.8833,-12.8833
132.191988702,-12.789724349
132.53,-12.67
132.5333,-12.9
132.567864956,-12.915259016
132.68,-12.85
132.6833,-12.8583
132.6833,-12.85
132.684529833,-12.848585417
132.7,-12.9
132.7,-12.88
132.701193972,-12.865259039
132.701198626,-12.881921715
132.704978993,-12.864271123
132.798379557,-12.82079244
132.8167,-12.8167
132.8333,-12.85
132.8333,-12.85
132.8333,-12.85
132.8667,-12.65
132.88,-12.67
132.9167,-12.75
132.9167,-12.6833
132.922695954,-12.708836275
132.922695954,-12.708836275
135.03,-12.85
130.7044,-13.0902
130.767885952,-13.098593005
130.794547585,-13.121936239
130.952606944,-13.298593888
131,-13
131.00795,-13.0172
131.0167,-13.1667
131.0333,-13.2167
131.0333,-13.1667
131.067881402,-13.181926101
131.121495017,-13.341639852
131.3667,-13.1
131.884535618,-13.398593087
132.067869615,-12.998591875
132.267904724,-13.215288521
132.28,-13.47
132.4333,-13.4333
132.4333,-13.4333
132.4333,-13.4333
132.434345,-13.415378
132.434534324,-13.431913531
132.45,-13.3333
132.467869067,-13.381920161
132.47,-13.47
132.6833,-12.9833
132.6833,-12.9833
132.684526393,-12.981920844
132.684526393,-12.981920844
132.7333,-13.4167
132.73449766,-13.4235866
132.734529651,-13.415255689
132.7667,-13.2333
132.8,-13.1
134.084511289,-13.048579939
130.70121174,-13.48192836
130.75,-13.6
130.75,-13.6
130.751218759,-13.598596906
130.751218759,-13.598596906
130.863151661,-13.495257572
130.901216451,-13.531927617
131.5,-13.5333
131.5167,-13.5333
131.517882729,-13.531919566
131.567882043,-13.481921984
131.584539285,-13.498590474
131.6333,-13.6333
131.670659905,-13.96109081
131.6814,-13.8556
131.69747,-13.96184
131.967874617,-13.881915406
132.2833,-13.55
132.33,-13.65
132.430927935,-13.507754683
132.4667,-13.4833
132.467055564,-13.52250533
132.501199972,-13.49859078
132.648591199,-13.65348349
132.967868861,-13.765255638
126,-14
126,-14
126.0667,-14.05
126.07694444,-14.06111111
126.078203291,-14.059723674
126.36666667,-14.20833333
126.36666667,-14.20833333
126.3667,-14.2083
126.3667,-14.2083
126.3667,-14.2
126.4125,-14.0542
126.4417,-14.075
126.4861,-14.1944
126.6,-14.3
127,-14
130.437333621,-14.193036729
130.7561,-14.2664
130.7562,-14.2664
130.76225,-14.04721
130.7769,-13.9803
130.777,-13.98
130.7771,-13.9804
130.8,-14.3667
130.801223008,-14.365258396
