"longitude","latitude"
132.806490528,-11.703588802
132.940585797,-11.672987116
131.2167,-12.3667
131.217876325,-12.365266158
131.631203748,-12.438590791
131.867868897,-12.281923479
132.651195127,-12.415257799
132.75,-12.25
132.867866859,-12.465254476
132.87,-12.47
132.87,-12.47
132.9022,-12.3692
132.951187868,-12.381920849
132.967864688,-12.415260231
132.9917,-12.3667
132.9917,-12.3667
133.017863255,-12.381918407
133.02,-12.38
134.81899,-12.27696
134.819,-12.2769
135.01373,-12.47435
135.051169554,-12.448575674
130.517884059,-12.931928603
130.55,-12.92
130.55,-12.92
130.55,-12.9167
130.551216919,-12.915271239
130.58,-12.9
130.584544931,-12.898601063
131.301203272,-12.565262727
131.317871771,-12.565263626
131.667873341,-12.581927266
132.2135,-12.5183
132.217870095,-12.531920952
132.22,-12.58
132.3994,-12.5936
132.634527676,-12.748592146
132.66786109,-12.71525627
132.867859226,-12.481919179
132.867864772,-12.58191647
132.87,-12.58
132.87,-12.48
132.87,-12.48
132.88,-12.55
132.88,-12.55
132.884523731,-12.548583454
130.417888146,-13.198596103
130.42,-13.2
130.42,-13.2
129.7841,-13.937
130.35,-13.6667
130.351216381,-13.665263359
130.45,-13.77
130.451216186,-13.765263417
131.067885279,-13.481922873
130.76135,-14.26471
144.2,-14.8833
144.2091888745,-14.8902776637
144.4283833333,-14.8591166662
130.44443,-15.06771
128.737,-15.787
128.74972222,-15.80416667
145.32668,-16.63582
145.3267408195,-16.635895948
145.5425132308,-17.3735967092
145.5450772099,-17.3751688487
145.55,-17.38
145.55,-17.38
145.5833,-17.1667
145.6167,-17.1667
145.6167,-17.15
145.6167,-17.15
145.6287777778,-17.1607499995
145.6289,-17.1608
145.6291831,-17.1604803795
145.6333,-17.1667
145.643030934,-17.246780335
145.6430309342,-17.2467803359
145.9805280345,-17.4166207033
145.981,-17.417
146.2425090662,-18.706922797
146.73,-19.32
146.7425051088,-19.3235856576
146.89166667,-19.5916666694
147.05,-19.5
147.05,-19.5
147.0591685389,-19.5069173295
147.1242,-19.5486
147.2602793586,-20.1130256571
147.261,-20.113
149.25,-21.25
149.2591471665,-21.2569038385
149.2591471665,-21.2569038385
149.2758136152,-21.2569037806
150.4174743002,-23.4152261804
150.58,-23.47
150.58434552,-23.46513994
150.5924721837,-23.4735586627
152.7333,-25.4667
152.5924640858,-27.3235416961
152.9167,-27.4333
152.9174598424,-27.4152066966
152.925793298,-27.4568732594
152.37,-27.52
152.37,-27.52
152.3758017813,-27.5235424301
152.5257996833,-27.5402083594
152.6712176322,-27.7131912036
152.9174618261,-27.7485395345
153.142459339,-27.8902049293
153.2261382518,-27.6991700372
153.2757912892,-27.990204153
152.85,-29.58
153,-30.07
152.989,-30.9806
