"longitude","latitude"
130.54825,-11.8178
131.0514,-12.4611
131.066575,-12.443437
131.08566,-12.4609
130.80915,-12.70334
130.81026,-12.70102
130.811299,-12.700659
130.919264739,-12.729755526
130.97998524,-12.58435635
130.9833,-12.7
130.988242,-12.507882
131.05213,-12.612326
131.0529,-12.6149
131.106852,-12.508159
131.10738021,-12.50817707
131.108,-12.517
131.11757,-12.52513
131.1176,-12.5251
131.129,-12.5233
131.6,-12.87
131.6,-12.87
132.824341,-12.667879
132.8472178,-12.67198
132.8472178,-12.67198
132.88452,-12.66526
132.88452,-12.66526
132.902867363,-12.799414804
132.9038,-12.8107
132.911194417,-12.803583924
132.912863352,-12.801084778
132.969531597,-12.850809915
132.97788924,-12.8618823
132.978,-12.863
133.05119416,-12.63191242
133.1333,-12.6833
133.134517985,-12.681912928
130.65761,-13.13796
130.79297,-13.11406
130.84055,-13.08149
130.8496,-13.0696
132.7083,-13.4
132.934495916,-13.140282458
132.95,-13.0333
132.1833,-13.6167
132.1833,-13.6167
125.634593691,-14.831949655
125.839,-14.82
125.839,-14.82
126.2025,-14.9045
126.2025,-14.9045
126.2025,-14.9045
126.2025,-14.9045
126.2025,-14.9045
126.2507006,-14.8960785
126.5,-14.77
126.5,-14.77
126.5,-14.77
125.45,-16.72
