"longitude","latitude"
132.151190138,-11.148596052
132.15119692,-11.13192943
132.1833,-11.1333
132.1833,-11.1333
132.184521035,-11.131927622
132.1892,-11.1678
132.501191517,-11.331927542
132.551192001,-11.0985912
132.875353642,-11.163596214
132.97,-11.38
132.9197,-11.7703
132.9197,-11.7703
133.4125,-11.7597
133.413683549,-11.758311409
132.239923604,-12.175958028
132.25,-12.25
134.301176195,-11.998579196
134.867842734,-12.048579589
134.9,-12.1
134.9,-12.1
134.9178405,-12.1152476
134.9178405,-12.1152476
134.99046,-12.21124
134.9926,-12.2148
135.067836668,-12.281908212
135.0972785,-12.2485754
135.834494488,-12.198577482
136.7167,-12.1833
136.7167,-12.1833
136.730358784,-12.173568125
136.7808,-12.1611
136.784487879,-12.165246899
136.784487879,-12.165246899
136.78583,-12.18278
136.817821065,-12.448572363
136.867823517,-12.248575816
136.8808,-12.4111
136.88925748,-12.24966707
136.92226248,-12.3594001
136.9736,-12.3417
136.974761341,-12.340233859
134.817843344,-12.698582379
135.217844651,-12.631909929
135.217844651,-12.631909929
136.761718606,-12.527737581
136.7639,-12.5322
136.7639,-12.5322
136.084496351,-13.460242203
136.165,-13.078
136.166,-13.077
135.767838856,-13.78190202
135.784503077,-13.56524431
135.867844301,-13.698571409
136.7136,-13.7156
136.8668,-13.8929
126.11264083,-14.08024539
126.1458,-14.0833
126.1958,-14.0861
126.196,-14.086
133.401196386,-14.315251462
136.5,-14
125.7167,-14.5833
125.75,-14.58
125.75,-14.5667
125.75516667,-14.58516667
125.75516667,-14.58516667
125.76297813,-14.58623915
125.763,-14.586
125.763,-14.586
125.7667,-14.8833
125.7667,-14.7
125.7667,-14.6
125.79236747,-14.55580304
125.8,-14.7
125.80138889,-14.61138889
125.8333,-14.5667
125.83333333,-14.56666667
125.834585635,-14.865291085
125.839,-14.874
125.9307,-14.8585
124.95,-15.05
124.95,-15.05
125,-15
125.06666667,-15.28333333
125.06666667,-15.28333333
125.06666667,-15.28333333
125.0667,-15.2833
125.0667,-15.2833
126.73333333,-15.13333333
135.734510071,-15.148566597
124.5,-15.5
124.501268126,-15.481953176
136.38450524,-15.63189002
136.6833,-15.7333
136.7667,-15.6833
136.7667,-15.6833
136.884496424,-15.515226558
122.35,-17.08
145.0167,-31.4167
