"longitude","latitude"
142.2,-10.55
142.225,-10.5749999997
142.25,-10.5833
130.784534977,-11.831930451
130.851202339,-11.848595938
133.398125902,-11.527200322
133.417851553,-11.631914704
132.11786951,-12.29859314
134.001178167,-12.165253895
134.051179857,-12.181913813
134.967846924,-12.465244879
136.03374,-12.13368
136.565597182,-12.084679666
136.801148817,-12.115242803
142,-12.25
142,-12.25
142,-12.25
142.0092078739,-12.2569614421
142.1667,-12.3917
142.175873021,-12.4069604165
130.591215271,-12.503299678
130.605909663,-12.496098141
131.067876425,-12.815263207
131.234538706,-12.798592494
131.25,-12.6167
131.284534587,-12.56526079
131.301203272,-12.565262727
131.316666666667,-12.65
131.3167,-12.65
131.3167,-12.65
131.317876198,-12.64859539
131.317876198,-12.64859539
131.31787878,-12.54859173
131.3667,-12.65
131.367878433,-12.648598204
131.367878433,-12.648598204
132.4833,-12.9
132.4833,-12.6667
132.4833,-12.6667
132.4833,-12.6667
132.484500833,-12.898586089
132.48452846,-12.89858635
132.50119238,-12.66525494
132.501196571,-12.748585064
132.505,-12.8894
132.505,-12.8894
132.505,-12.889
132.506083333,-12.660833333
132.5417,-12.8833
132.551193351,-12.715260897
132.551193351,-12.715260897
132.634527676,-12.748592146
134.25,-12.7167
134.92481,-12.54085
135,-12.5
135,-12.5
135.2,-12.5167
142.4167,-12.5833
142.4167,-12.5833
143.4,-12.6
143.4,-12.6
143.4,-12.6
143.4,-12.6
143.4,-12.6
143.4,-12.6
143.4091935219,-12.5902910271
143.4091935462,-12.6069576007
143.4167,-12.6
143.4167,-12.6
143.4167,-12.6
143.4167,-12.6
143.4167,-12.6
143.4167,-12.6
143.4167,-12.6
143.4167,-12.5833
143.4167,-12.5833
143.4167,-12.5833
143.4167,-12.5833
143.4167,-12.5833
143.4167,-12.5833
143.4167,-12.5833
143.4167,-12.5833
143.4167,-12.5833
143.4167,-12.5833
143.4175267532,-12.5819577287
143.4258600084,-12.5902910038
143.4258600084,-12.5902910038
130.534547977,-13.165263338
130.6667,-13.1667
132.255750196,-13.10294814
135.87842,-13.25958
136.084496351,-13.460242203
141.6758799495,-13.4736225371
141.7425457178,-13.3569563076
141.750879069,-13.4152893495
142.1667,-13.4167
142.1667,-13.4167
142.1667,-13.4167
142.1667,-13.4167
142.1667,-13.4167
142.1667,-13.4167
142.1758746589,-13.4236219161
142.1758746589,-13.4236219161
142.1866154788,-13.4606956128
142.638,-13.3692777796
130.451216186,-13.765263417
130.634547333,-13.598594614
130.751218378,-13.748598425
130.751218378,-13.748598425
131.18059,-13.92594
131.201210382,-13.93192146
131.201210382,-13.93192146
131.20121195,-13.78192201
131.2167,-13.9167
131.584541675,-13.748588175
131.8592,-13.8594
134.367858547,-13.781908344
135.684504131,-13.581903929
135.786718604,-13.58690072
135.788114345,-13.58412058
135.792830094,-13.579132826
142.623845,-13.743416
142.6744444444,-13.6566666667
127.4833,-14.0667
127.4833,-14.0667
127.4833,-14.0667
127.49027778,-14.07777778
131.2167,-14.1167
131.2167,-14.0833
131.2167,-14.0833
131.2167,-14
131.2167,-14
131.55,-14.3667
131.55121423,-14.36525869
131.5833,-14.3333
132.301208489,-14.048587079
134.101189343,-14.048574891
134.101189343,-14.048574891
134.4747,-14.0339
134.47496,-14.03389
135.584506697,-14.231895419
135.71784862,-14.28189999
135.71784862,-14.28189999
128.65,-14.81
129.834525881,-14.8152947
131.584541453,-14.748583578
131.720940331,-14.660811865
131.720946149,-14.660531789
131.9667,-14.8667
132.1333,-14.5833
132.1333,-14.5833
132.1333,-14.5833
132.1333,-14.5833
132.1333,-14.5833
132.1333,-14.5833
132.15,-14.5667
132.184542429,-14.565253092
133.284534932,-14.915250642
133.3167,-14.9667
133.3333,-14.9333
133.634524127,-14.831907791
133.75,-14.9167
133.75,-14.9167
133.751192466,-14.915245033
134,-14.8333
134.55,-14.7167
141.5833,-14.5
141.5833,-14.5
141.5833,-14.5
141.5925495327,-14.5069514169
128.90318244,-15.42248799
129.00643027,-15.40067416
129.073737498,-15.398037924
129.16791133,-15.41527283
129.99242,-15.40959
130.283333333333,-15.3833333333333
130.284562643,-15.381921099
141.75,-15.4667
143.6667,-15.1167
143.6680555556,-15.0338888884
128.25777778,-15.58833333
128.33,-15.55
128.3333,-15.55
128.33444444,-15.64555556
128.334572341,-15.548605971
128.53305556,-15.48305556
128.6833,-15.7833
128.6833,-15.7833
128.691513902,-15.786654242
128.69611111,-15.79111111
128.7,-15.8
128.7,-15.65
128.70138889,-15.80305556
128.7167,-15.7667
128.735,-15.762
128.75588037,-15.56235142
129.051244103,-15.748598285
129.067915993,-15.831929453
129.08,-15.75
129.0833,-15.75
129.0833,-15.75
129.084569703,-15.748596943
130,-15.6833
130.33455816,-15.66525984
130.417901642,-15.665260202
135.401187704,-15.598564169
136.6167,-15.7333
136.719539174,-15.761298819
136.7667,-15.6833
136.8,-15.7333
136.812107834,-15.736935217
136.8667,-15.5833
142.10222222,-15.58138889
129.697222222,-16.264166666
136.367845481,-16.08189239
137.751166539,-16.265220979
137.751166539,-16.265220979
137.8833,-16.45
137.884498042,-16.448549603
130.400833333,-16.610138888
138.2288888889,-16.7219444444
141.51807781,-16.5409597395
141.0842292328,-17.4152757469
141.178986,-17.295236
141.2508941687,-17.4152752573
141.7628,-17.1717
139.76472222,-17.57583333
140.7,-17.9167
140.8925659402,-17.8402751703
141.0842303169,-17.7486081595
141.1336,-17.8536
141.1336,-17.8536
141.1345079161,-17.8522188387
141.1667,-17.4833
141.1841869389,-17.6202356806
141.5008918217,-17.4986076143
140.5667,-18.0167
140.5667,-18
140.5759031528,-18.0236090301
140.5759031528,-18.0236090301
141.08638889,-17.99027778
141.1832037724,-18.2225626618
140.7,-18.9167
140.7092383571,-18.9236065685
142.684458585,-19.365181963
