"longitude","latitude"
142.2,-11.6
142.2333,-11.6
142.2333,-11.6
142.2425379388,-11.6069647139
142.17744,-12.36122
142.6333,-12.3833
142.6333,-12.3833
142.6342,-12.3819
142.6425347637,-12.390293193
141.9758753985,-12.6069596543
141.7667,-13.3667
141.7667,-13.3667
141.7676,-13.3653
141.7758787358,-13.3736228381
141.8833,-13.25
141.8833,-13.25
141.8925439913,-13.2569565328
143.6755555556,-14.4463888884
143.69194444,-14.375
141.7,-14.9
141.7,-14.9
143.5167,-14.7667
143.5167,-14.7667
143.5167,-14.7667
143.5167,-14.7667
143.525,-14.76
143.525,-14.76
143.525,-14.76
143.525,-14.76
143.5258628458,-14.7736129429
143.5333,-14.7833
143.6167,-14.7333
143.6167,-14.7333
143.6167,-14.7333
143.6167,-14.7333
143.6167,-14.7333
143.6258616778,-14.7402795638
143.32611111,-15.10472222
143.7333,-15.2167
143.7333,-15.2167
143.7342,-15.2153
143.7425281281,-15.2236104093
143.83,-15.16
143.83,-15.16
143.8333,-15.1667
143.8333,-15.1667
143.8333,-15.1667
143.8333,-15.1667
143.8333,-15.1667
143.8333,-15.1667
143.8333,-15.1667
143.8333,-15.1667
143.8333,-15.1667
143.834413059,-15.165197367
143.8347769608,-15.1586382872
143.8425269089,-15.1736104239
