"longitude","latitude"
130.651204819,-11.398605456
130.664,-11.424
130.667877518,-11.415271691
132.29,-11.36
132.417864078,-11.281923467
132.534515953,-11.081928155
132.534519793,-11.11526224
132.567858375,-11.148597416
132.567862652,-11.065264937
142.4092023137,-11.1069674286
142.6167,-11.25
142.62,-11.25
142.6258668659,-11.256966317
142.6258669194,-11.3069660248
142.6425334287,-11.3236325757
130.2022,-11.5794
130.3094,-11.6458
130.534538234,-11.515275101
130.6333,-11.5833
130.634540257,-11.581926304
130.717872176,-11.548601772
130.734535302,-11.765266045
130.87,-11.77
132.934514702,-11.548587967
132.967857295,-11.931917759
133.067861135,-11.548593925
142.58,-11.75
142.58,-11.75
142.58,-11.75
142.5925344544,-11.7569634525
142.7050679225,-11.6932485861
131,-12.1833333333333
131.047011157,-12.148592607
131.05,-12.15
131.051205392,-12.181930907
132.9167,-12.4167
132.917862164,-12.415260231
133.167862902,-12.331919943
133.267862366,-12.415255811
134.9833,-12.3
134.984503536,-12.298582656
136.38,-12.42
136.3833,-12.4167
136.3833,-12.4
136.384486982,-12.415238704
136.384486982,-12.415238704
136.451154023,-11.998573974
136.55,-12.35
136.551159666,-12.348569867
136.7167,-12.3667
136.717820893,-12.365241844
136.7667,-12.1833
136.784484396,-12.315242417
136.82976232,-12.38718142
136.917822278,-12.315242391
141.9667,-12.2667
142.1667,-12.3833
142.1758729969,-12.3902938382
142.5333,-12.0167
142.5333,-12.0167
142.542535318,-12.0236286779
142.542535318,-12.0236286779
142.667761162,-12.165219224
142.75,-12.25
142.75,-12.25
142.75,-12.25
142.7508667527,-12.248627158
142.8667,-12.2167
142.9833,-12.1667
142.9842,-12.1653
142.9842,-12.1653
142.9925307486,-12.1736272607
143.0167,-12.2167
143.0167,-12.15
143.025863704,-12.1569603119
143.0258637934,-12.2236269356
130.501213894,-12.915265058
130.634537956,-12.615266959
130.801214631,-12.948592547
131.262311895,-12.509702845
132.417866686,-12.581919323
132.8667,-12.4833
132.9,-12.8333
132.9,-12.75
132.9,-12.75
132.9,-12.7333
132.90119841,-12.8319176
132.9167,-12.8333
132.9167,-12.8333
132.9167,-12.75
132.92,-12.83
132.95,-12.67
132.951189835,-12.748588365
133.1667,-12.5833
133.167864183,-12.581914943
133.351192126,-12.498587327
133.43452002,-12.59858648
133.734513955,-12.765251866
133.908544,-12.640683
135.1667,-12.5167
135.167842713,-12.515247416
135.184504461,-12.531911668
136.401157732,-12.765244985
141.8425434973,-12.6402930167
142.08,-12.67
142.0833,-12.6667
142.0833,-12.6667
142.0833,-12.6667
142.0833,-12.6667
142.0925409541,-12.6736258086
142.271111111,-12.6522222216
142.3010982,-12.7485445
142.3083,-12.7517
142.309205485,-12.7569583881
142.7833,-12.65
142.7833,-12.65
142.7925335634,-12.6569582054
143.2333,-12.7333
143.2333,-12.7333
143.242528875,-12.740290435
143.242528875,-12.740290435
143.25,-12.7333
143.25,-12.73
143.25,-12.72
143.25,-12.7167
143.25,-12.7167
143.251078351,-12.731844567
143.253,-12.7406
143.2533,-12.7406
143.25333333,-12.7405555596
143.2591953371,-12.7236238355
143.2591953622,-12.7402904108
143.2591953622,-12.7402904108
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7667
143.2961,-12.7056
143.2970891357,-12.7041085557
143.3,-12.75
143.3333,-12.8333
143.3333,-12.8333
143.3333,-12.8333
143.3333,-12.8333
143.3333,-12.8333
143.3333,-12.8333
143.3425279486,-12.8402897419
130.167889948,-13.081929392
130.4167,-13.1167
130.417888702,-13.115264831
130.484544266,-13.115268906
130.5833,-13.1667
130.5833,-13.1667
130.5833,-13.1667
130.5833,-13.1667
130.5833,-13.1667
130.584544283,-13.33192586
130.6671,-13.1112
130.667325186,-13.111085099
130.691611111,-13.208555555
130.69996,-13.20023
130.701213271,-13.198596752
130.71042,-13.0619
130.734546396,-13.031922738
130.767887551,-13.331925405
130.801212571,-13.115264426
131.084538306,-13.348597803
131.1167,-13.35
131.12,-13.35
131.1333,-13.3333
131.134538054,-13.398597511
131.134538054,-13.398597511
131.134540774,-13.348597068
131.134540774,-13.348597068
131.134540774,-13.348597068
131.134544122,-13.231922714
131.134544122,-13.231922714
131.4167,-13.1667
131.4167,-13.1667
131.4167,-13.1667
131.4167,-13.1667
132.4097,-13.42
132.417875292,-13.43191489
132.42,-13.43
132.7833,-12.9833
132.784527146,-13.298589295
132.8353,-13.2753
132.8353,-13.2753
132.838055556,-13.275277777
132.866666666667,-13.25
132.867869572,-13.048582912
132.966666666667,-13.0333333333333
132.967862041,-13.031918281
132.9967,-13.1
133.034521211,-13.048583262
143.2425298362,-13.3402872274
130.234553483,-13.898594553
130.234553483,-13.898594553
130.9833,-13.75
131.15,-13.67
131.201215816,-13.598595274
131.201215816,-13.598595274
132.266666666667,-13.5666666666667
132.2667,-13.5667
132.267875124,-13.565259037
132.43452768,-13.48191772
132.43452768,-13.48191772
132.4667,-13.4833
132.579583333,-13.497611111
132.9,-13.9
133.1167,-13.7833
133.117869652,-13.781911548
134.501185983,-13.498579772
143.3333,-13.75
143.3333,-13.75
143.3333,-13.75
143.3333,-13.7333
143.3333,-13.6667
143.3333,-13.6667
143.3333,-13.6667
143.3333,-13.6667
143.3425293376,-13.6736186728
143.3425294584,-13.7402850001
143.3425296455,-13.8402844979
143.3425297042,-13.8736176604
143.348,-13.7392
143.34805556,-13.7391666696
143.3481,-13.7392
143.3667,-13.75
143.3667,-13.75
143.3667,-13.75
143.3667,-13.75
143.37586243,-13.7402849454
143.3758626137,-13.8402844389
143.4167,-13.6667
143.4167,-13.6667
143.4167,-13.6667
143.4167,-13.6667
143.4258617665,-13.6736185295
143.4258619783,-13.7902846007
129.5167,-14.2333
130.067897012,-14.281928846
130.20122439,-14.18192565
