"longitude","latitude"
130.7167,-11.4167
130.7167,-11.4167
132.143692325,-11.362497153
132.15,-11.15
132.151190138,-11.148596052
132.1667,-11.1667
132.1667,-11.1667
132.1667,-11.1667
132.1667,-11.1667
132.1667,-11.1667
132.1667,-11.1667
132.1833,-11.2167
132.201188651,-11.231897683
132.567858375,-11.148597416
130.13781,-11.7716
130.18835,-11.54026
130.5,-11.5
130.701206267,-11.531930909
132.9,-11.5333
131.0833,-12.4167
131.0833,-12.4167
131.5,-12.3833
131.50119956,-12.38192691
132.967864688,-12.415260231
133.267860104,-12.331913513
133.3333,-12.3333
133.3333,-12.3333
134.267849421,-12.21525339
134.267849421,-12.21525339
134.301176195,-11.998579196
134.351177904,-12.348578549
134.9,-12.2333
134.9,-12.2333
130.75,-12.5
130.9167,-12.75
130.9167,-12.75
130.9167,-12.75
130.9167,-12.75
130.9167,-12.75
130.917881346,-12.748594765
130.92,-12.75
131,-12.7167
131.034537086,-12.548594724
131.05,-12.75
132.3667,-12.5
132.3667,-12.5
132.367868994,-12.498587966
132.37,-12.5
132.4333,-12.8833
132.5583333,-12.725
132.651191843,-12.765258397
132.6667,-12.8333
132.6667,-12.8333
132.6667,-12.8333
132.6667,-12.8333
132.6667,-12.8333
132.8167,-12.8
132.834522039,-12.948584762
132.8833,-12.55
132.9,-12.5333
132.90119179,-12.59859183
134.4178453,-12.7485807
134.91959,-12.54362
130.4167,-13.1167
130.4167,-13.1167
130.4167,-13.1167
130.451215843,-13.09859932
130.634544669,-13.29859765
130.65,-13.15
130.6667,-13.1167
130.6667,-13.1167
130.684549262,-13.265270019
130.817878694,-13.131922714
131,-13.0333
131.12355,-13.01174
142.9167,-13.1
142.9258661816,-13.1069556191
130.71788998,-13.66526264
130.71788998,-13.66526264
130.71788998,-13.66526264
131.034542001,-13.73191853
131.034542001,-13.73191853
131.684548032,-13.965251279
131.728,-13.954
132.25,-13.5667
132.25,-13.5667
132.25119963,-13.56525652
132.2667,-13.5667
132.267875124,-13.565259037
132.43452768,-13.48191772
142.4667,-13.5167
142.4667,-13.5167
142.4758716801,-13.5236209143
126.36666667,-14.20833333
126.36666667,-14.20833333
126.36666667,-14.20833333
126.3667,-14.2083
126.3667,-14.2083
126.3667,-14.2083
126.3667,-14.2083
126.6,-14.3
126.6125,-14.2844
126.6167,-14.3
126.617921904,-14.281940437
126.62,-14.3
126.6333,-14.2833
126.65,-14.45
126.68333333,-14.33333333
126.68361111,-14.31305556
126.684859442,-14.311676301
130.18455105,-14.33192884
130.1999,-14.1776
130.200133343,-14.177482289
131.6167,-14
131.6167,-14
132.2667,-14.4667
132.4167,-14.3333
132.4167,-14.3333
127,-14.6667
129.9025,-14.6544
132.5981,-14.6128
133.0833,-14.5833
126.71666667,-15.26666667
126.81666667,-15.03333333
128.6333,-15.1167
128.98457355,-15.38192973
128.98457355,-15.38192973
129,-15.4167
129,-15.4167
129,-15.4167
129,-15.4167
129,-15.4167
129,-15.4167
129.344570161,-15.467487022
130.11667,-15.1
127.6422,-15.7811
127.6422,-15.7811
127.6422,-15.7811
127.64222222,-15.78111111
128.5167,-15.8833
128.7,-15.65
128.75,-15.5
128.75,-15.5
128.75,-15.5
128.80615047,-15.54200532
129.034568271,-15.781934141
129.034570046,-15.681927078
129.067906907,-15.748602771
129.084574172,-15.781929488
133.13,-15.49
126.167934541,-16.331946189
127.98333333,-16.01666667
124.5,-16.7
125.45,-16.72
126.38471,-16.93743
144.0925279739,-16.706936558
