"longitude","latitude"
142.2458,-10.6481
142.3942,-10.8886
142.4175353697,-10.9153018964
142.4667,-10.7833
142.4667,-10.7833
142.47,-10.78
142.4758679757,-10.7903025974
132.1425,-11.1567
132.367860659,-11.298595825
132.534515953,-11.081928155
142.9258636796,-11.2402994453
130.4833,-11.5
130.484535822,-11.498601083
130.53248,-11.51926
130.534538234,-11.515275101
130.536206633,-11.515275336
130.536206633,-11.515275336
130.551203789,-11.515268081
130.551203789,-11.515268081
130.551203789,-11.515268081
131.25120763,-11.73189305
131.084535088,-12.365263367
132.35,-12.2167
132.6697,-12.1494
132.934521738,-12.365255659
132.9667,-12.4167
133,-12.4
134.451176817,-12.165248231
134.884502165,-12.065253717
134.884502682,-12.465249227
136.034488778,-12.098574446
136.417825212,-12.248575313
136.8989,-12.2752
142.925,-12.4597
142.925,-12.4597
130.9833,-12.7
131.001212549,-12.698594352
131.317876198,-12.64859539
131.602,-12.858
131.6044,-12.8611
131.701201678,-12.898594913
132.4897,-12.6747
132.584522483,-12.581921649
132.634527676,-12.748592146
133.001193628,-12.498585338
133.001193628,-12.498585338
133.501183091,-12.498586873
134.817843344,-12.698582379
141.8333,-12.6667
141.8333,-12.6667
141.8333,-12.6667
141.8333,-12.65
141.8344880343,-12.6464041088
141.846666667,-12.6408333326
141.907777778,-12.5713888886
143.3091947982,-12.7236237633
143.3333,-12.8
143.3333,-12.8
143.3333,-12.8
143.4333,-12.6
143.4333,-12.6
143.4333,-12.6
143.45,-12.6167
143.45,-12.6167
143.45,-12.6167
143.45,-12.6167
131.001212129,-12.99859402
131.001212129,-12.99859402
143.1078043938,-13.1798025692
130.084550544,-13.748599682
130.267889183,-13.965265678
130.601221015,-13.665266295
131.201215816,-13.598595274
131.251211567,-13.515260827
131.6667,-13.5333
143.1167,-13.6667
143.1167,-13.6667
143.25,-13.9
143.25,-13.9
143.25,-13.9
143.25,-13.9
143.3833,-13.8667
126.2,-14.4
126.7,-14.4
126.7,-14.4
126.7,-14.4
143.3230857282,-14.0100059041
144.4620020565,-14.2580572607
125.7,-14.9
125.7,-14.9
125.7,-14.9
125.8,-14.9
125.8,-14.9
125.3,-15.1
125.3,-15.1
144.81897222,-15.4837777795
144.9830555556,-15.6444444444
145.06,-15.6180555556
145.2319444444,-15.7986111111
145.2325,-15.7978
145.25,-15.4833
145.2653,-15.4886
145.29566667,-15.6499722195
125,-16.3
130.1369,-16.4403
145.0425156681,-16.1313811314
145.5675716028,-16.6533952652
145.5833,-16.6833
145.5833,-16.6833
145.5833,-16.6833
145.5833,-16.6833
145.6333,-16.85
145.6333,-16.8333
145.6333,-16.8333
145.6333,-16.8333
145.6689,-16.8633
