"longitude","latitude"
142.2167,-10.5667
142.2225,-10.5428
142.2225,-10.5428
142.2226,-10.5427777775
142.2236,-10.5764
142.225,-10.5749999997
142.225,-10.5749999997
142.2258703853,-10.5736374665
142.2264,-10.5764
131.43,-11.3
132.867856987,-11.148594081
130.751210248,-11.815270428
132.667856998,-11.865259724
131.034535328,-12.431925638
131.301205162,-12.04859413
132.151199591,-12.315265051
132.9667,-12.4167
134.558677547,-12.233299057
134.66784182,-12.33191274
134.81446,-12.26682
130.551216919,-12.915271239
130.984542984,-12.848594978
131.2333,-12.5333
131.234534144,-12.531921324
131.284534587,-12.56526079
131.3845357,-12.7985964
131.467876599,-12.681924805
131.5,-12.7
131.501203713,-12.698589904
131.501208784,-12.581919994
131.734530715,-12.631923512
132.48308702,-12.67340538
132.4833,-12.6667
132.484528781,-12.665260471
132.651191843,-12.765258397
132.6583,-12.7667
132.6583,-12.7667
132.6583,-12.7667
132.659495315,-12.765286961
136.608940773,-12.968299516
136.6136,-12.9719
141.851103531,-12.631881221
141.8592099916,-12.640292992
142.2758723472,-12.6569589581
143.36,-12.7944
143.3608776819,-12.793206636
130.0167,-13.1833
130.0167,-13.1167
130.017885026,-13.115266825
130.017892429,-13.181928124
130.3156,-13.3444
130.319316168,-13.343035857
130.451216781,-13.46526501
130.751217659,-13.148591724
132.1646,-13.0473
132.333333333333,-13.3166666666667
141.6258804655,-13.4736226241
141.750879069,-13.4152893495
142.1092083407,-13.2236230074
142.1989,-13.4461
142.459204387,-13.0569566127
142.6667,-13.05
142.6667,-13.05
142.6667,-13.05
130.68,-13.75
130.70121174,-13.48192836
130.717890323,-13.798598852
130.767882596,-13.615263446
131.4167,-13.7667
141.5044444444,-13.8699999996
142.60333333,-13.62472222
143.5172222222,-13.9952777778
143.6758597804,-14.0736160548
128.58305556,-14.91944444
128.58305556,-14.91944444
128.5925,-14.9136
131.5833,-14.75
141.5833,-14.5
141.5833,-14.5
141.5833,-14.5
141.5925495327,-14.5069514169
141.6167,-14.9
144.2111111111,-14.9130555556
128.8833,-15.4083
128.8833,-15.4083
128.88333333,-15.40833333
129.5753,-15.3475
141.95,-15.37
141.9592143664,-15.3736137346
144.3258547093,-15.1069430485
144.35,-15.28
144.4175206638,-15.2486088478
144.6,-15.25
144.6,-15.25
144.61611111,-15.30388889
144.8591824289,-15.2902743777
144.02177778,-15.6113333295
144.4333,-15.55
144.4569166667,-15.5794166667
144.4591876119,-15.5736072374
144.575,-15.6416666662
124.0833,-16.35
124.97,-16.35
143.80097026,-16.4330452995
143.9667,-16.3833
143.9667,-16.3833
143.9667,-16.3833
143.9667,-16.3833
144.33927196,-15.98297603
144.68995125,-15.981249
144.69,-15.9814
144.7925185091,-16.1236039768
144.1256,-16.679983
144.2667,-16.7333
144.2667,-16.7333
144.2667,-16.7333
144.8496579813,-16.5987684261
144.89242344,-16.8562521795
144.8925,-16.8564
145.002,-16.4990555595
145.2,-16.7
145.2,-16.7
145.2,-16.7
145.2091819124,-16.7069337293
145.742509575,-16.9069315151
137.284507644,-17.015219172
145.7508432928,-17.0819307305
145.75,-17.95
145.75,-17.95
145.75,-17.95
145.75,-17.95
145.7591790932,-17.9569270897
144.4444729027,-18.1949855687
144.65,-18.25
146.1667,-18.6333
146.1667,-18.6333
146.17,-18.63
146.05277778,-19.81638889
147.3998817569,-19.5893228272
148.54775,-20.30108333
149.1420858929,-21.1231200474
138.784512225,-23.915228887
