"longitude","latitude"
132.75,-11.65
132.817674,-12.21538
133.80018,-12.204
134.05,-12.22
134.051180611,-12.215288019
134.384510908,-12.265255642
136.141,-12.045
130.93451307,-12.48189987
131.05,-12.62
132.884491827,-12.515289622
132.884491827,-12.515289622
132.884491827,-12.515289622
132.917895745,-12.531890141
133.03434,-12.715378
133.3,-12.6
133.384522335,-12.56525813
133.4,-12.6
134.308124207,-12.622194968
135.717838701,-12.648574996
135.917834658,-12.498571096
130.734548445,-13.187481314
132.417679,-13.432044
132.65,-13.45
132.934494738,-13.081883641
126.65,-14.45
131.97596,-14.06704
132.0629,-14.1822
126.5056,-14.8072
129.990944955,-14.822485428
130.310941768,-14.580547296
130.801225659,-14.748588257
128.1604,-15.108
129.334843979,-15.448037339
129.591949421,-15.247325501
130.1,-15.3
130.167903087,-15.081923328
135.35,-15.33
129.267912861,-15.781925601
130.467898133,-15.631923527
131.076505023,-15.606089436
131.1367,-15.5767
131.1686,-15.8481
124.2309,-16.3709
130.58333333,-16.03333333
130.76400628,-16.0324782
130.793277778,-16.029555555
125.392939661,-17.162510787
125.4,-17.2
125.5,-17.3
128.45,-17.32
137.067849718,-17.298554354
139.46782103,-17.06520472
137.201178836,-17.748549376
137.42088,-17.8433
138.3742,-17.4833
127.75,-18.2
140.5884049226,-18.5597188627
