"longitude","latitude"
131.317875135,-11.448602421
132.362864597,-11.360268321
132.4,-11.3
132.405593147,-11.26919424
130.5833,-11.5833
130.584540234,-11.565271788
130.584542339,-11.581933235
130.6333,-11.6667
130.634540355,-11.665267604
132.73451722,-11.9652614
132.901186064,-11.948590903
133.05,-11.8667
133.067672,-11.870102
133.067858477,-11.831922843
133.1667,-11.7
133.1667,-11.7
133.167859429,-11.69858965
133.2,-11.7833
133.2,-11.72
133.2,-11.7
133.2,-11.7
132.701192673,-12.331919015
132.9,-12.1833333333333
132.967864688,-12.415260231
132.967864688,-12.415260231
133.351190867,-12.23191756
133.9,-12.1667
133.9011781,-12.165254
133.9011781,-12.165254
135.0847,-12.3875
135.08478,-12.38758
130.5,-12.9167
130.501213894,-12.915265058
130.684544909,-12.598594885
130.8167,-12.8667
130.81788206,-12.86526739
130.9,-12.7
130.9,-12.7
130.95,-12.5833
130.970187,-12.582326
130.9833,-12.7
131.017875026,-12.531928202
131.0283,-12.6169
131.0284,-12.617
131.05,-12.5333
131.051204043,-12.531928834
131.084536553,-12.515269122
131.084536553,-12.515269122
132.35,-12.7667
132.367865732,-12.73192382
132.3833,-12.7333
132.67,-12.75
132.8,-12.85
132.8,-12.85
132.8,-12.85
132.834521036,-12.865255869
132.834521036,-12.865255869
132.834522039,-12.948584762
132.834522361,-12.581919866
132.85,-12.87
132.85,-12.87
132.851192268,-12.865257515
132.8667,-12.8333
132.867859484,-12.831920303
132.9,-12.9
132.9,-12.75
132.9,-12.7333333333333
132.9,-12.7
132.9,-12.5
132.901196545,-12.898585302
132.901196545,-12.898585302
132.9167,-12.75
132.92,-12.72
132.9239,-12.8
132.992396,-12.576768
133.4333,-12.6333
133.434519926,-12.631916356
134.484508768,-12.831909703
134.55,-12.6
135.60117117,-12.71524415
130.1667,-13.1667
130.167886928,-13.165268285
130.167886928,-13.165268285
130.55,-13.07
130.55,-13.07
130.55,-13.07
130.6831,-13.1656
130.7,-13.1667
130.701213503,-13.165270158
130.7167,-13.2
130.7408,-13.2169
130.83,-13.05
130.834544249,-13.048596714
130.840936979,-13.112488906
130.848986695,-13.069155619
131.001212129,-12.99859402
131.001212129,-12.99859402
131.0167,-13.0167
131.0167,-13.0167
131.02,-13.02
131.1,-13.2333
131.117881302,-13.248590004
131.117881302,-13.248590004
131.451207234,-13.265264856
132.234528879,-13.215254757
132.4167,-13.4167
132.4167,-13.4167
132.4333,-13.45
132.53,-13.33
132.5333,-13.3333
132.5333,-13.3333
132.53333333,-13.33333333
132.534532179,-13.331920929
132.54866,-13.30141
132.634530528,-13.265260914
132.651196434,-13.44858413
132.783333333333,-13.3
132.83,-13.27
132.8333,-13.2667
132.834342,-13.265378
132.834526471,-13.265259327
132.86786258,-13.29858813
132.9333,-13.1167
132.94154,-13.11002
134.201183905,-13.148579728
130.467889023,-13.515265985
130.70121174,-13.48192836
130.767,-13.973
130.7672,-13.9733
130.76746,-13.97334
130.817884452,-13.615264573
131.201215816,-13.598595274
131.6333,-13.7167
131.634535203,-13.715257732
131.634535203,-13.715257732
131.6833,-13.95
131.683333333,-13.966666666
131.697777778,-13.965555555
131.6978,-13.9656
131.8167,-13.8167
132.2167,-13.5
132.2167,-13.5
132.25,-13.5667
132.25119963,-13.56525652
132.25119963,-13.56525652
132.251201652,-13.581913252
132.2667,-13.5667
132.26768,-13.582044
132.26786908,-13.58191589
132.267875124,-13.565259037
132.27,-13.58
132.3,-13.5667
132.3833,-13.7333
132.384536773,-13.731917572
132.43452768,-13.48191772
133.070647009,-13.731080067
134.4,-13.7
126.36666667,-14.20833333
126.3667,-14.2083
126.72305556,-14.12472222
126.724309325,-14.123342549
130.3467,-14.3733
130.347884755,-14.371933966
130.6156,-14.1706
130.61562,-14.17065
130.61562,-14.17065
130.6756,-14.3042
130.67574,-14.30444
130.72275,-14.35023
130.749166667,-14.011944444
130.74917044,-14.01196517
130.78705,-14.05437
130.895,-14.242
130.895277778,-14.242222222
130.8953,-14.2422
130.8956,-14.2423
130.917891102,-14.448595797
132.1667,-14.2167
132.1667,-14.1667
132.17,-14.17
132.1833,-14.1833
132.1833,-14.1833
132.184535024,-14.181916035
132.184535024,-14.181916035
132.184535358,-14.181888943
132.188146445,-14.181082349
132.451203409,-14.165254156
132.467873719,-14.298582122
132.5186,-14.1154
132.884501971,-14.248581877
125.4583,-14.5917
125.45844444,-14.59188889
125.48475,-14.69886
125.64166667,-14.82222222
125.6429183,-14.820852
125.76666667,-14.86666667
125.76666667,-14.86666667
125.7667,-14.8667
125.83333333,-14.78333333
126.2,-14.9
126.22194444,-14.80527778
126.25,-14.9
126.26,-14.91
126.83055556,-14.82638889
126.8306,-14.8264
126.8306,-14.8264
126.91666667,-14.81666667
127.15805556,-14.69666667
129.85589,-14.60188
129.9969,-14.5894
129.998168113,-14.588032438
129.998993049,-14.587757701
130.0178,-14.7911
130.0178,-14.7911
130.019004624,-14.789710123
130.019004624,-14.789710123
130.1819,-14.6475
130.183175138,-14.646098838
130.665375,-14.874037
130.8,-14.7333
130.801218638,-14.731923208
124.58333333,-15.41666667
125.16666667,-15.06666667
125.185,-15.075
125.201268101,-15.081954222
126.15,-15.13
126.73,-15.05
126.7333,-15.05
126.81666667,-15.03333333
127.1,-15.1
129.332349002,-15.449984842
129.343741887,-15.468329092
129.40048,-15.45876
129.751236844,-15.265263845
130.388333333,-15.116666667
130.9833,-15.0233
130.984551533,-15.021933479
125.01638889,-15.78305556
125.18333333,-15.58333333
125.3,-15.8
125.3,-15.6
125.3333,-15.8
125.6,-15.6
125.601266972,-15.565290492
128.451246368,-15.798601934
128.5,-15.8
128.5167,-15.85
128.53972222,-15.84972222
128.6608,-15.6619
128.66083333,-15.66194444
128.705,-15.655
128.705,-15.655
128.71666667,-15.96666667
128.7167,-15.65
128.717911919,-15.96527382
128.72,-15.97
128.7333,-15.7667
129.08,-15.76
129.265955202,-15.531657783
129.351233663,-15.598601605
124.7,-16.1
124.76666667,-16.03333333
125.43333333,-16.16666667
125.8833,-16.2667
125.88333333,-16.26666667
125.9833,-16.15
127.78472222,-16.44638889
127.9125,-16.1778
128.78333333,-16.06666667
137.555,-16.4639
137.5552,-16.4641
125.45111111,-16.71666667
125.45111111,-16.71666667
125.492222,-16.651667
125.84,-16.79
125.9,-16.6
125.9167,-16.65
125.9167,-16.6333
125.93333333,-16.66666667
129.401241147,-16.881931073
129.5833,-16.5
129.610204,-16.521773
129.6667,-16.5
129.6667,-16.5
145.4122,-16.6406
125.2611,-17.0861
125.2611,-17.0861
125.261111,-17.086111
125.261111,-17.086111
125.705,-17.0594
126.02136,-17.57462
