"longitude","latitude"
142.1819,-10.6792
142.2,-10.55
142.225,-10.58
142.25,-10.75
142.25,-10.5833
142.3333,-10.5
142.3333,-10.5
142.3925355468,-10.8236358045
132.144494113,-11.154196277
132.15,-11.17
132.15,-11.17
132.15119692,-11.13192943
132.367857071,-11.281926427
132.567858375,-11.148597416
130.534539556,-11.498604158
132.801193284,-11.581923092
133.384512039,-11.648589728
133.401179387,-11.631922125
133.417851553,-11.631914704
132.93,-12.42
133.084518994,-12.331916742
133.217860945,-12.198589537
133.2333,-12.2333
133.317856772,-12.298590319
133.32,-12.3
130.9,-12.7
130.984513199,-12.481891898
131.020913658,-12.742992079
131.234534144,-12.531921324
131.584537852,-12.881922398
131.6,-12.87
131.65,-12.6833
131.70120431,-12.64859637
132.35,-12.55
132.37,-12.57
132.45,-12.7
132.920594241,-12.627482691
133.7333,-12.7667
133.734513955,-12.765251866
134.167849692,-12.748581393
135.801165323,-12.781906447
141.88921,-12.64196
141.8925429545,-12.6236263612
141.8925429545,-12.6236263612
142.875,-12.6333
142.8758659851,-12.6402915085
142.876,-12.632
130.692870174,-13.079707754
131.2333,-13.1
131.233333333333,-13.1
131.234541532,-13.098594414
132.3333,-13.3167
132.42,-13.33
132.45,-13.1
132.45,-13.0333
132.45,-13.0333
132.451201846,-13.098586756
132.451201846,-13.098586756
132.77,-13.1314
132.77,-13.1314
132.77,-13.13
141.75,-13.3667
130.71788998,-13.66526264
130.71788998,-13.66526264
130.751218378,-13.748598425
131.834541148,-13.831916636
132.25119963,-13.56525652
132.251200268,-13.915260664
132.2833,-13.55
132.601204645,-13.581914316
132.61786694,-13.56525954
141.5008817977,-13.4986227262
142.7688888889,-13.6088888889
142.768888889,-13.608888889
143.05,-13.6
143.209197972,-13.956950818
143.2167,-13.9167
143.3758626137,-13.8402844389
127.5,-14.1
127.5333,-14.1
129.517924835,-14.231898682
129.609531943,-14.04299492
130.95122137,-14.28192284
132.01435,-14.465378
132.2167,-14.4333
132.217873511,-14.398583959
132.25,-14.4667
132.2667,-14.4667
132.267682,-14.465378
132.27,-14.47
132.4,-14.0333
132.4167,-14.25
132.4167,-14.25
132.417871073,-14.31525324
132.417871073,-14.31525324
132.417875004,-14.331911204
132.42,-14.25
132.434537908,-14.315253215
132.7167,-14.0167
133.75,-14.175
133.75,-14.175
133.75,-14.17
134.084519717,-14.048575622
134.2775,-14.0792
134.2776,-14.0792
143.3,-14.05
144.1925210963,-14.2569475096
144.3333,-14.3333
144.3333,-14.3333
144.3333,-14.3333
144.3333,-14.3333
144.3425195868,-14.3402801387
125.76666667,-14.86666667
125.7667,-14.8667
126.22694444,-14.90138889
126.91666667,-14.81666667
127.08333333,-14.78333333
130.3139,-14.5867
130.315118584,-14.585251438
130.651225455,-14.548591126
130.8833,-14.6833
130.884548719,-14.681925917
131.8667,-14.9
132.001214011,-14.498584219
132.084537264,-14.581917775
132.1,-14.65
132.17,-14.57
132.25,-14.4833
132.251208272,-14.665257806
132.251209014,-14.498583892
132.2667,-14.9333
132.334534147,-14.48191271
132.4167,-14.55
132.4667,-14.5833
132.467874617,-14.581909818
132.47,-14.58
132.472600301,-14.577471236
132.5,-14.5833
132.5,-14.5833
132.501203061,-14.581916538
132.8372,-14.515
132.917874128,-14.781908153
132.934536429,-14.515252614
132.934536429,-14.515252614
132.9667,-14.8333
132.967679,-14.832042
132.967873768,-14.83190935
133.084531325,-14.581908876
133.134529796,-14.915251775
133.284534932,-14.915250642
141.6167,-14.9014
141.7258820697,-14.7736166871
144.4311,-14.8750499995
124.58333333,-15.41666667
125.06666667,-15.28333333
125.65,-15.47
125.65,-15.47
126.1667,-15.15
126.17,-15.15
126.73,-15.05
126.745,-15.134
126.81666667,-15.03333333
126.896,-15.035
126.91666667,-15.03333333
126.9167,-15.0333
127,-15
127.1,-15.1333
127.1,-15.1
127.1,-15.1
127.1,-15.1
127.834544328,-15.165306888
132.17,-15.42
132.25,-15.07
132.267684,-15.046488
133.0833,-15.1
133.173148471,-15.015812857
141.7092160708,-14.9902824999
142.17277778,-15.46388889
143.8747825354,-15.1897132166
144.4258543034,-15.4236080066
145.01666667,-15.03333333
145.05,-15.2667
145.0591801104,-15.2736073707
145.1667,-15.3333
145.1667,-15.3333
145.25,-15.47
145.2508448976,-15.4152729362
145.2563888889,-15.4591666662
145.2569,-15.4644
124.5,-15.5
125.3,-15.8
126.34972222,-15.51638889
128.0833,-15.4833
128.1,-15.6
128.12166667,-15.48638889
128.1866667,-15.9124999995
128.1867,-15.9125
128.37916667,-15.87166667
128.65,-15.61
128.671873,-15.605663
128.7333,-15.7833
128.7333,-15.7833
128.73333333,-15.76666667
128.73333333,-15.73333333
128.734570475,-15.73193472
128.735,-15.762
128.77333333,-15.76138889
130.309722222,-15.813888888
130.417901642,-15.665260202
130.467898133,-15.631923527
131.85,-15.9
132.251216716,-15.615253964
132.267685,-15.588154
133.434,-15.948
134.68451973,-15.89856644
135.459722222,-15.629166666
144.4175214345,-15.5819406248
144.5,-15.5333
144.575,-15.6083333328
144.9433333,-15.6163889
144.94333333,-15.61638889
145.0841809197,-15.7486050293
145.2167,-15.8333
145.2247350613,-15.8327709836
145.2333,-15.8
145.2333,-15.8
145.2333,-15.8
145.2333,-15.8
145.2425125724,-15.8069377324
145.2444,-15.4983
145.25,-15.8
145.25,-15.75
145.25,-15.4833
145.2591790072,-15.7902711075
145.2758454024,-15.7569378954
145.2758454024,-15.7569378954
145.2758454024,-15.7569378954
123.5875,-16.1475
123.655786,-16.12929
123.75,-16.1333
123.78,-16.12
125,-16
125.69407145,-16.06519196
126.582444,-16.102306
127.2,-16.2833
128.2,-16
128.32,-16.05
131.101230095,-16.248584856
133.383333333333,-16.3166666666667
133.501206188,-15.998573043
136.0667,-16.2667
136.067855709,-16.265227786
136.1667,-16.45
136.301178392,-16.065225986
136.334510205,-16.081886079
142.63577429,-16.1728706595
142.6358,-16.1728
144.7333,-16.25
144.7333,-16.25
144.7333,-16.25
144.7333,-16.25
144.7333,-16.25
144.7333,-16.25
145,-16.42
145,-16.4167
145,-16.4167
145,-16.4167
145,-16.4167
145,-16
145.0091831327,-16.4236021271
123.96166667,-16.68833333
125.0667,-16.8
125.2,-16.75
125.3529,-16.4861
125.45111111,-16.71666667
125.7786,-16.926
125.807,-16.925
126.25416667,-16.88555556
126.35,-16.5167
126.8,-16.5
128.5,-16.7
128.5,-16.7
132.517917816,-16.773578982
133,-16.9333
133.380941902,-16.63523564
133.4167,-16.6833
134.317870251,-16.515235809
135.4167,-16.7167
135.417863208,-16.715228268
135.83452148,-16.74855799
144.0091951042,-16.6569366388
145.2167,-16.5667
145.2167,-16.5667
145.7508428333,-16.9152647908
125.033333333333,-17.15
125.163,-17.125
125.16666667,-17.13333333
125.18,-17.12
128.75,-17.0167
132.30862,-17.08383
133.434542792,-17.415239403
133.534544065,-17.431904189
135.784524788,-17.148559804
135.79840845,-17.15466978
137.26,-17.22
137.951168112,-16.981879684
138.3458,-17.4195
138.3467564277,-17.4180617818
141.178986,-17.295236
142.21305556,-17.27194444
142.355,-17.0917
144.92638889,-17.26777778
145.0056459256,-17.221422354
145.0057959234,-17.2212223544
145.084184868,-17.2485984439
145.084184868,-17.2485984439
145.2508491296,-17.0819320256
145.2508491296,-17.0819320256
145.2508491296,-17.0819320256
145.2508491296,-17.0819320256
145.2508496037,-17.248598001
145.2925,-17.1106
145.3,-17.1833
145.3091820924,-17.1902647547
145.3167,-17.0333
145.3464,-17.0681
145.3591812279,-17.090265042
145.365,-17.1262
145.4175138589,-17.0819315923
145.4333,-17
145.4333,-17
145.4333,-17
145.4333,-17
145.4333,-17
145.4333,-17
145.4333,-17
145.4333,-17
145.5841785799,-17.0819311606
145.5841785799,-17.0819311606
122.159861,-17.510742
122.2333,-17.9667
122.23333333,-17.96666667
122.234626183,-17.965315321
123.15944444,-17.65305556
123.947735,-17.615127
