"longitude","latitude"
131.03179,-11.3891
132.34208,-11.27266
132.52991,-11.40498
131.05,-12.45
131.05,-12.45
131.053424983,-12.455534164
131.0556,-12.4583
131.056,-12.4583
131.056765091,-12.456927678
131.084537087,-12.415268445
132.75,-12.0167
134.91763,-12.36884
134.91884,-12.36884
135.0839,-12.3875
135.08391,-12.38758
135.679876,-12.36343
136.784458192,-12.16523794
130.9,-12.7
130.967874208,-12.481929607
131.05,-12.5833
131.051212351,-12.615265189
131.057477284,-12.611888033
131.067874193,-12.498596793
131.067877389,-12.615263152
131.07,-12.62
131.088777778,-12.611722222
131.1124,-12.5123
131.684535025,-12.731921595
131.7711,-12.5897
132,-12.6667
135.467842847,-12.898578511
135.5,-12.9
133,-13.57
133.001194393,-13.565253781
132.4362,-14.2378
132.6279,-14.0403
132.681,-14.26
