"longitude","latitude"
132.161197261,-11.409423306
134.217849117,-12.048580942
142.8275911699,-12.394253251
131.134353,-13.232047
131.07623,-14.15065
134.61197,-14.19085
128.7333,-15.3667
134.533702049,-15.314370075
128.679444,-15.786389
128.7236,-15.7861
128.723611,-15.786111
128.73333333,-15.76666667
129.65469,-15.74079
130.034566678,-15.848591073
130.198174073,-15.889145874
135.42671,-15.79044
128.8333,-16.0333
130.0742,-16.7139
130.0742,-16.7139
131.201234715,-16.731917652
137.424166667,-16.725833333
138.2602777778,-16.9377777778
124.33,-17.25
130.40901,-17.35054
130.60364,-17.46227
133.401216405,-17.398574155
137.157777778,-17.354722222
141.1811728323,-17.4655530963
126.11068,-17.50836
134.703055556,-17.687222222
138.592589036,-17.8902823065
138.63,-17.88
139.0842510288,-17.9152806776
140.88583333,-17.78277778
141.0238888889,-17.7780555556
141.0239,-17.7781
141.0842303169,-17.7486081595
141.1092304181,-17.856941127
141.4700603648,-17.9716619314
144.9175221295,-17.9152629741
145.1,-17.6833333333333
127.8425,-18.4213
133.9558,-18.3003
140.5592366567,-18.0236090826
140.8333,-18.1667
140.8425675962,-18.1736078215
142.1455555556,-18.3180555556
142.21972222,-18.25111111
142.2197222222,-18.2516666667
142.5558333333,-18.4544444444
142.5994444444,-18.3411111111
143.2677777778,-18.2788888889
143.3236111111,-18.2869444444
143.325,-18.2877777778
144.04805556,-18.19777778
144.0552777778,-18.0411111111
144.548888889,-18.222777778
144.5498094617,-18.2214481127
144.5511111111,-18.2227777778
144.5994711196,-18.1930406672
144.6325,-18.25083333
144.6522222222,-18.1377777778
144.653,-18.217
144.6533333333,-18.2172222222
144.7236111111,-18.1516666667
144.73694444,-18.44
144.7508579116,-18.0819295112
144.7622472076,-18.2491511027
144.7638888889,-18.1475
137.5528,-18.8244
138.3425943081,-18.6736151584
138.3425943719,-18.6902818006
138.85799138,-18.8718874
139.5180555556,-18.6941666667
140.1592427497,-18.5902757806
140.2705555556,-18.6077777778
142.5247222222,-18.8858333333
142.56138889,-18.88194444
143.482222222,-18.67
143.4831554614,-18.6686723997
143.55916667,-18.6075
143.8869444444,-18.5411111111
140.4609048,-19.2823017894
146.9258363754,-19.373584901
140.2322777778,-19.522055555
140.2322778,-19.5220555994
140.67564367,-19.4873298994
141.3391015153,-19.6410502929
145.4609378141,-19.6986638887
146.1591805828,-19.8069192121
146.9175044753,-19.7485835917
119.19,-20.36
119.20388889,-20.31944444
133.401666667,-20.304166667
140.33487516,-20.4474855294
142.91527778,-20.31555556
144.3413888889,-20.1580555556
144.34138889,-20.15805556
116.946594,-20.766285
116.946594,-20.766285
117.61422582,-20.94360944
118.586444,-20.709889
133.4914,-20.7286
133.5408,-20.8981
139.3759257025,-20.6402755759
139.4175924413,-20.7486086412
139.4425920762,-20.7236085638
139.44971795,-20.87735586
139.959253651,-20.7569397948
140.001388889,-20.801944444
140.00138889,-20.8019444394
140.5092477532,-20.7069376706
143.0842194049,-20.5819279903
144.38611111,-20.69083333
145.0841970915,-20.7485868949
145.3175,-20.54416667
118.9167,-21.4167
120.3947,-21.2295
120.4817,-21.3478
120.49166667,-21.22722222
120.88166667,-21.11055556
139.9175896784,-21.24860616
140,-21.35
144.5528104231,-21.3673907723
147.7424999354,-21.2402425787
148.0363888889,-21.0752777772
115.87277778,-21.57472222
121.08722222,-21.54888889
127.69766667,-21.95705556
127.73872222,-21.87583333
144.96277778,-21.48527778
145.0258688686,-21.7735847578
148.2424948065,-21.5402398635
115.6197,-22.0925
115.61978,-22.09275
122.0833,-22.3333
139.9175954459,-22.4152721311
145.1998644402,-22.1442673535
148.725825092,-22.2902358685
117.12996862,-22.86784936
133.35,-22.6333
139.0781666667,-22.9143333326
140.02,-22.95
140.0259305183,-22.9569381714
140.0259305183,-22.9569381714
143.0675621214,-22.5824803968
147.384177565,-22.7135733439
148.6091627923,-22.9235679582
115.04275217,-23.04175882
138.2186666667,-23.0223333326
143.9175548697,-23.0819205613
149.3424872468,-23.0902312957
143.5092307433,-23.9235882738
148.1758379472,-23.5235683189
134.05,-24
148.46694444,-24.4126111093
150.5167,-24.4
148.3425094661,-24.8902317286
148.4175077176,-24.7485649549
148.2508450497,-25.0818985192
151.0758083424,-25.3902186968
149.11611111,-26.3752777792
152.0833,-27.8167
143.6167,-29.1667
149.85,-29.47
143.892,-29.55
150.83,-29.65
149.45,-30.22
