"longitude","latitude"
142.2486,-10.5944
142.2486111111,-10.5944444444
142.25,-10.5972
142.25,-10.5972
142.25,-10.5833
142.25,-10.5833
142.2508701331,-10.5819707279
142.2667,-10.6
142.2667,-10.5833
142.268984,-10.582597
142.2758698808,-10.5903039926
142.28,-10.62
142.28,-10.59
142.28,-10.59
142.2833,-10.6167
142.2931,-10.5936
142.293166667,-10.593666667
142.3,-10.6
142.3,-10.5833
142.3,-10.58
142.3092028677,-10.590303961
142.7597,-12.4156
142.7606474142,-12.414253242
142.607,-12.711
142.607,-12.711
142.60722222,-12.71083333
143.27,-12.77
142.08,-13.03
142.1092083407,-13.2236230074
142.75,-13.17
142.783333333333,-13.1833333333333
142.783333333333,-13.1833333333333
142.8333,-13.2333
142.85,-13.3
142.85,-13.3
142.8592005582,-13.3069546885
142.8656,-13.2044
142.8656,-13.2044
142.9,-13.3
142.9,-13.3
142.9,-13.3
142.9175328965,-13.0819557629
142.9175334579,-13.4152873759
142.98527778,-13.13333333
142.9994765279,-13.1208443195
143.0263888889,-13.185
143.2452777778,-13.4333333333
143.245277778,-13.433333333
143.2453,-13.4333
142.551,-13.572
142.551388889,-13.571666667
142.55138889,-13.57166667
142.76083333,-13.61305556
143.18,-13.95
143.1994444444,-13.9380555556
143.3169444444,-14.3041666667
143.3802777778,-14.0938888889
144.00333333,-14.70833333
144.8167,-14.6167
144.8258480483,-14.6236111046
143.6333,-15
143.6522,-15.0181
143.6633,-15.0258
143.6633,-15.025
145.1869567833,-15.4336063161
145.187185722,-15.433511261
145.1936,-15.4625
145.1936111111,-15.4625
145.23,-15.47
145.25,-15.47
145.25,-15.4667
145.2508448976,-15.4152729362
145.2591782677,-15.473605966
144.5083,-15.6425
144.5083,-15.6425
144.7667,-15.9167
144.7667,-15.9167
144.7667,-15.9167
144.7676,-15.9153
144.7676,-15.9153
144.77,-15.92
144.77,-15.92
144.775851534,-15.9236049178
144.775851534,-15.9236049178
144.8564060188,-15.859438357
144.8886,-15.8311
144.8886,-15.8311
144.8886,-15.8311
144.88861111,-15.8311111095
144.9544,-15.7853
144.9867,-15.7683
144.9867,-15.7683
144.9878,-15.7692
144.9878,-15.7692
145,-15.75
145,-15.75
145,-15.75
145,-15.75
145,-15.75
145,-15.75
145,-15.75
145.0091814656,-15.7569381579
145.09277778,-15.69583333
145.1431,-15.6969
145.1431,-15.6969
145.2,-15.4833
145.2091788808,-15.490272659
145.215,-15.6552777773
145.22,-15.5
145.2203940063,-15.6470054722
145.23,-15.68
145.2333,-15.75
145.28,-15.6
145.305,-15.5961111106
144.25,-16.25
144.72,-16.27
144.7258528993,-16.2402702845
144.7258528993,-16.2402702845
145.2425132223,-16.0736031516
145.1667,-16.5
145.1667,-16.5
145.1667,-16.5
145.25,-16.9667
145.33,-16.77
145.3667,-16.8333
145.3925135268,-16.8569326186
145.4,-16.8333
145.6667,-16.75
145.6667,-16.75
145.675843284,-16.7569323456
144.92,-17.35
145.2167,-17.3667
145.25,-17.3833
145.25,-17.3333
145.25,-17.3333
145.2667,-17.3822
145.2667,-17.3822
145.267,-17.3822
145.3167,-17.3833
145.35,-17.0667
145.4167,-17.3333
145.4167,-17.3333
145.4167,-17.3333
145.4167,-17.3333
145.4167,-17.3333
145.4167,-17.3333
145.4167,-17.25
145.4167,-17.25
145.4167,-17.25
145.4167,-17.25
145.4167,-17.25
145.4167,-17.25
145.4167,-17
145.417743024,-17.248508132
145.42,-17
145.4258475912,-17.2569308365
145.4258475912,-17.2569308365
145.4258475912,-17.2569308365
145.4258478311,-17.340263825
145.43,-17.15
145.4333,-17.15
145.4416666667,-17.1416666662
145.45,-17.18
145.4667,-17.2
145.4667,-17.2
145.4667,-17.2
145.4667,-17.2
145.4667,-17.2
145.4667,-17.2
145.4667,-17.2
145.4667,-17.2
145.4667,-17
145.48,-17.27
145.5,-17.0833
145.5,-17.0833
145.5,-17.0833
145.5,-17.0833
145.5,-17.0833
145.5,-16.9833
145.5091794797,-17.0902646526
145.5216666667,-16.9838888884
145.5333,-16.9833
145.5758456961,-17.206930651
145.58,-17
145.5833,-17
145.584401283,-16.998502602
145.5925116071,-17.0069314613
145.6167,-17.1333
145.7925094929,-17.0902639205
144.8833,-17.9167
144.992520875,-17.7902632315
145.1,-17.6833333333333
145.25,-17.6667
145.25,-17.6667
143.90083333,-18.455
144.6125,-18.17833333
144.7508579116,-18.0819295112
144.8423352635,-18.0354773246
145.241666667,-18.3416666664
145.3286111111,-18.2722222222
146.0381,-18.2912
146.0456268306,-18.2911656127
143.8583,-18.5814
143.8592030932,-18.5902638231
143.8833,-18.7667
143.8833,-18.7667
144.5841953693,-18.7485943892
144.5841953693,-18.7485943892
144.75,-18.6833
144.75,-18.6833
144.8333,-18.6833
144.8333,-18.6833
145.08,-18.67
145.0841895787,-18.7485928385
145.0841895787,-18.7485928385
145.0841895787,-18.7485928385
145.0841901502,-18.915258943
145.1,-18.6667
