"longitude","latitude"
142.2167,-10.555
132.57878,-11.31422
132.903970504,-11.410258696
142.3572,-11.1408
142.3572,-11.1408
142.3572,-11.1408
142.37,-11.13
130.2989,-11.6153
130.85889,-11.83306
132.817862459,-11.631918216
132.867860256,-11.765264563
132.93,-11.77
132.93,-11.77
132.93,-11.55
132.934514702,-11.548587967
142.5294,-11.9558
142.5294,-11.9558
142.5294,-11.9558
142.8681456902,-11.9187000849
131.001209313,-12.181927583
131.05,-12.45
131.05,-12.45
131.0845339,-12.1652685
131.084537087,-12.415268445
131.867866374,-12.248592515
132.61786241,-12.3319176
133.29646,-12.29383
134.234511604,-12.081912742
134.82086,-12.27866
134.91884,-12.36884
135.1234,-12.3999
142.17804,-12.36104
142.17861111,-12.36194444
142.63036111,-12.4507777796
142.7239811298,-12.4289754409
142.8139802144,-12.4061976539
142.8556464898,-12.4253641708
142.984411408,-12.331877703
131.051207184,-12.548594322
131.051207184,-12.548594322
131.084536553,-12.515269122
131.084536553,-12.515269122
131.084539655,-12.581929833
131.09952,-12.52604
131.0997,-12.5258
131.101209165,-12.598600015
131.117881817,-12.598594953
131.167880483,-12.598591745
131.1686,-12.5817
131.201203256,-12.548598502
131.21787615,-12.53192383
131.2364,-12.5692
131.467874834,-12.531920836
131.8106,-12.6449
131.8189,-12.6426
131.967868095,-12.648593276
132.213214558,-12.784529866
132.25,-12.77
132.912713316,-12.803650193
133.31786259,-12.68191674
135.29327,-12.9107
135.4628,-12.8703
135.4628,-12.8703
135.584496565,-12.498578237
135.634500781,-12.631904371
135.903101974,-12.522464525
136.4,-12.77
136.401157732,-12.765244985
141.96328288,-12.53316464
142.309205485,-12.7569583881
142.3592049055,-12.7236251538
142.3961111111,-12.7291111111
142.9005,-12.9517222218
142.9005,-12.9517222218
143.0125,-12.8664
143.012595,-12.866578
130.528055556,-13.063055555
134.8558,-13.0617
134.85601,-13.06168
134.85601,-13.0616
136.23157,-13.05805
142.513849,-13.025252
142.524413,-13.0126719996
142.915588531,-13.1189000196
135.784499317,-13.698569439
142.5713888889,-13.5866666663
143.10793278,-13.82995
126.7211,-14.3
126.72111111,-14.12805556
129.919722222,-14.363333333
134.0261,-14.2389
134.02631,-14.23911
134.12436,-14.24697
134.1283,-14.2378
134.128333333,-14.237777778
143.3239196544,-14.3147266336
143.6755555556,-14.4463888889
143.6755555556,-14.4463888889
144.45194444,-14.33777778
125.80138889,-14.61138889
125.8419,-14.8211
125.84194444,-14.82111111
125.85,-14.82
125.9,-14.9667
126.1708,-14.8817
126.172,-14.8802
126.20138889,-14.88416667
126.2025,-14.9045
126.2125,-14.9133
126.25,-14.9
126.960883,-14.751033
134.0167,-14.5167
134.717666,-14.615927
141.981,-14.783
141.9813611111,-14.78275
142.0644444444,-14.7808333333
142.54831667,-14.90528056
143.2586111111,-14.5108611111
143.4333,-14.5833
143.5008625403,-14.4986142968
143.513,-14.8125
143.5591961764,-14.940278765
143.5841958471,-14.9152788289
143.6558,-14.7236
143.6558,-14.7236
143.6558,-14.7236
143.72166667,-14.5025
143.7319,-14.7089
143.7319,-14.7089
143.8719444444,-14.6280555556
143.88,-14.6231
144.0627777778,-14.7580555556
144.1,-14.9167
144.44638889,-14.56833333
144.6089408352,-14.7860807061
144.6886273542,-14.6108336544
125.795,-15.123
125.9,-15
126,-15
126,-15
126.2,-15.2
127.2,-15.3
134.73398,-15.0325
142.0272222222,-15.4238888889
142.1744444444,-15.4616666667
143.005277778,-15.094166666
143.00533056,-15.0942749995
143.11805556,-15.14166667
143.1394166667,-15.3272777778
143.2541666667,-15.148
143.607,-14.985
143.9125262438,-15.2208322765
144.1222464951,-15.3797199815
144.17777778,-15.18194444
144.618055556,-15.298888888
144.61805556,-15.29888889
125.83277778,-15.48666667
126.3256,-15.5367
126.32681544,-15.53524567
128.70159536,-15.54600172
134.601197468,-15.815240017
136.701174848,-15.6985535
143.01805556,-15.59975
127.9768,-16.0115
128.023222,-16.004167
125.3,-16.5
125.36972222,-16.59416667
134.284531001,-16.631902668
143.2880555556,-16.6419444444
143.687792,-16.5831389995
143.688,-16.583
144.43,-17.28
141.9175554416,-17.9152718292
153.08,-28.87
153.42,-28.82
153.1667,-30.0167
153.17,-30.02
152.963,-30.857
152,-31
152.831,-30.9861
151.98,-32.58
