"longitude","latitude"
142.4,-10.8833
142.4027777778,-10.8863888885
142.409202096,-10.8903020577
142.4833,-10.7833
142.4833,-10.7833
142.4905555556,-10.778333333
142.6389183904,-11.6746500254
142.7258662612,-11.6569638674
142.80314609,-11.7209234247
142.8425316507,-11.6205750598
142.1592065765,-12.440293597
142.9258651847,-12.4569591047
143.0855854229,-12.2589044387
143.0894742633,-12.2522378022
142.7925335634,-12.6569582054
143.2091959255,-12.756957059
143.2374446691,-12.7333456139
143.25,-12.7333
143.25,-12.7333
143.25,-12.7333
143.2508621312,-12.7486237106
143.2591950196,-12.5069583675
143.2667,-12.4833
143.2758614831,-12.490291771
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7167
143.2833,-12.7167
143.2833,-12.7167
143.2833,-12.7167
143.2833,-12.7167
143.2833,-12.7167
143.2833,-12.7167
143.2833,-12.7167
143.2833,-12.7167
143.2925283113,-12.7236237874
143.4013004803,-12.6361321221
142.7592014583,-13.2069553666
143.2508637996,-13.7486184511
143.3091964256,-13.7069518939
