"longitude","latitude"
132.3167,-11.1167
132.95083333,-12.43361111
133.310953738,-12.465723791
133.3188,-12.4612
133.3278,-12.4643
133.33277778,-12.46444444
133.3328,-12.4644
133.3328,-12.4644
133.3328,-12.4644
133.333,-12.465
134.3239,-12.2481
134.32638889,-12.24416667
134.3264,-12.2442
134.3264,-12.2442
134.3264,-12.2442
134.3847,-12.4094
134.9089,-12.3628
134.909,-12.363
134.909,-12.363
130.981555556,-12.713638889
133.351192126,-12.498587327
135.452,-12.891
135.4522,-12.8906
135.4522,-12.8906
135.4522,-12.8906
135.45222222,-12.89055556
135.453212,-12.889263
136.367829578,-13.273566109
135.917843181,-13.681899967
135.9306,-13.6833
136.55,-13.88
136.6945,-13.8832
132,-14.15
136.5011,-14.1839
136.5013,-14.184
136.51248,-14.14097
136.7,-14.2
134.7433,-14.7599
134.73398,-15.0325
135.232313666,-15.064598042
145.5333,-16.9167
