"longitude","latitude"
142.2455927123,-10.9116909695
142.2786111111,-10.9199999996
142.4092020516,-10.8403023557
142.412777778,-10.8566666667
142.4833,-10.7833
142.4905555556,-10.778333333
142.4905555556,-10.778333333
141.8333,-12.65
141.8333,-12.65
141.8333,-12.65
141.8333,-12.65
141.8347008243,-12.6465450668
141.842543523,-12.6569595983
141.846666667,-12.6408333326
141.8592099152,-12.5902932477
141.9175426321,-12.5819598718
143.2935515496,-12.7283472793
143.1077777778,-13.1797222218
143.1077777778,-13.1797222218
143.10780439,-13.1798025696
143.13405966,-13.1647466796
143.15005417,-13.2168641796
143.1833,-13.9667
143.1833,-13.9667
143.1833,-13.9667
143.1833,-13.9667
143.1925315173,-13.9736174326
143.2333,-13.8833
143.242530819,-13.8902844222
143.2494,-13.8742
143.2494,-13.8742
143.2925302464,-13.8736177494
143.4925277681,-13.706951577
143.3167,-14.0167
143.3167,-14.0167
144.25666667,-14.4466666695
144.5972232256,-14.5126909807
144.99394444,-15.9821944395
145.141388889,-16.457777777
145.1414,-16.4578
145.14141667,-16.4578888895
145.1667,-16.7
145.1667,-16.7
145.1667,-16.7
145.1758489644,-16.7069338127
145.18238889,-16.5305277795
145.1828,-16.53
145.1833,-16.6833
145.1833,-16.6833
145.1928,-16.505
145.1928055556,-16.5049999995
145.2167,-17.3
145.2167,-17.3
145.2167,-17.3
145.2258500621,-17.306931162
145.3333,-17.1667
146.7925046148,-19.3569187134
