"longitude","latitude"
132.851191112,-11.398588686
132.9,-11.4
132.917855494,-11.53192015
132.934514403,-11.598586976
133.217671,-11.71538
133.21785834,-11.71525732
133.3217,-11.7739
133.322851892,-11.772481611
131.0167,-12.1667
131.084537087,-12.415268445
131.105645547,-12.44915845
131.317877016,-12.215268973
132.334527085,-12.331923985
132.35,-12.3833
132.351196857,-12.381919363
132.41666667,-12.11666667
132.584523445,-12.23192355
133.267860104,-12.331913513
133.3,-12.3
133.3333,-12.3333
133.5,-12.3
133.5,-12.25
133.501183727,-12.248588017
133.6667,-12.25
133.67,-12.25
133.67,-12.25
133.6833,-12.1167
133.917852245,-12.148583607
130.7278,-12.4997
130.7278,-12.4997
130.751210044,-12.581923245
130.751210044,-12.581923245
130.751210044,-12.581923245
130.984540606,-12.481924955
131.06666667,-12.63333333
131.067881577,-12.565267221
131.067882475,-12.631928376
131.07,-12.63
131.07,-12.63
131.07,-12.63
131.08,-12.73
131.084536553,-12.515269122
131.084539223,-12.631925201
131.084542332,-12.615269111
131.1,-12.78
131.1,-12.78
131.117879526,-12.765269254
131.117879526,-12.765269254
131.17,-12.83
131.2,-12.6
131.251208348,-12.631925612
131.8333,-12.8333
132.396471199,-12.681090403
132.4,-12.7333
132.4,-12.73
132.4,-12.7
132.401199026,-12.731919022
132.401201582,-12.965257347
132.417866686,-12.581919323
132.534531276,-12.915253627
132.6333,-12.8833
132.667861355,-12.848591421
132.66786491,-12.94858305
132.717676,-12.665379
132.717863075,-12.665259845
132.76666667,-12.73333333
132.7667,-12.7333
132.767860068,-12.731913507
132.775,-12.7333
132.775,-12.7333
132.8,-12.7
132.801195447,-12.665256983
132.83,-12.67
132.8333,-12.85
132.8333,-12.6667
132.8333,-12.6169
132.8333,-12.6169
132.83333333,-12.66666667
132.834525876,-12.848582849
132.85,-12.87
132.85,-12.67
132.85,-12.67
132.85,-12.6667
132.85,-12.58
132.8667,-12.65
132.8667,-12.65
132.867864859,-12.648583961
132.88,-12.67
132.88,-12.67
132.8833,-12.6667
132.88452284,-12.66525502
132.892744346,-12.657087292
132.9167,-12.6833
132.917858734,-12.531916966
132.917860918,-12.74859005
132.934522272,-12.731920066
133.351192326,-12.815258205
133.75,-12.67
133.83,-12.85
132.26787406,-13.41525566
132.27,-13.42
132.4,-13.2
132.4,-13.2
132.401198223,-13.19858329
132.4083,-13.2083
132.4083333,-13.2083333
132.5,-13
134.251180955,-13.24857903
131.6231,-13.8606
131.66666667,-13.96666667
131.6667,-13.9667
131.67,-13.97
131.6739,-13.9628
131.6739,-13.9628
131.697222222,-13.961944444
131.728,-13.954
132.21787584,-13.5985881
132.25,-13.57
132.25,-13.57
132.25,-13.57
132.25,-13.57
132.25,-13.5667
132.25,-13.5667
132.25119963,-13.56525652
132.25119963,-13.56525652
132.272877245,-13.554148882
132.2728775,-13.5541005
132.2833,-13.5333
132.296555556,-13.545666666
132.317870719,-13.531917326
132.32,-13.53
132.32,-13.53
132.32,-13.53
132.334534386,-13.548590678
132.567867495,-13.781912662
133.001194393,-13.565253781
131.617879861,-13.998585458
132.31022,-14.04238
132.467873719,-14.298582122
132.7164,-14.0546
131.334542155,-14.498592814
