"longitude","latitude"
142.25,-10.5833
142.2869,-10.6042
142.3092028677,-10.590303961
132.144297579,-11.131921537
132.15119692,-11.13192943
132.33452601,-11.14859071
132.519250267,-11.20137569
132.951188064,-11.398589342
132.96762,-11.38197
130.0314,-11.7592
130.034545542,-11.765275212
133.167859605,-11.765262898
142.6758669706,-11.8069630681
132.867858565,-12.065258727
132.934517008,-12.098586885
132.958975734,-12.411370436
133.3167,-12.3
133.317856772,-12.298590319
133.317860964,-12.315259272
135.001176984,-12.398581555
136.751154742,-12.165243279
136.77945831,-12.18046788
136.7844797,-12.18190616
136.7844797,-12.18190616
136.873386409,-12.413294907
136.9167,-12.3
136.928057315,-12.30356664
136.92893321,-12.28467751
142.6367777778,-12.4539166663
142.813055556,-12.4075
142.8139802144,-12.4061976539
142.8707054198,-12.434304622
143.0758634186,-12.3402928814
130.98454103,-12.63192904
131.001206912,-12.481928309
131.001206912,-12.481928309
131.0253,-12.6894
131.134537017,-12.848592768
131.13453907,-12.79859051
131.251208348,-12.631925612
132.651191843,-12.765258397
132.6583,-12.7667
132.817859465,-12.715259814
132.8667,-12.6333
132.8833,-12.8333
132.8833,-12.6583
132.884522165,-12.648590284
132.9,-12.7
132.9,-12.7
132.917863882,-12.481921358
132.963134559,-12.484110856
132.9667,-12.4833
132.967860863,-12.481914185
132.9833,-12.6167
132.984519276,-12.615257196
136.5675,-12.7589
136.568660016,-12.75746014
136.791158685,-12.510242436
142.7,-12.7
142.7,-12.7
142.7092011901,-12.706958059
143.4175267532,-12.5819577287
130.6667,-13.2
130.8167,-13.0167
130.817884567,-13.165265538
131.684538919,-13.09859175
131.8,-13.3
131.8,-13.3
132.417875292,-13.43191489
132.451199356,-13.048589737
132.4583,-13.05
132.46,-13.05
132.5833,-13.45
132.584500923,-13.448584937
132.6833,-12.9833
132.684526393,-12.981920844
132.8667,-13.3167
132.867864395,-13.315252002
135.151170063,-13.065247167
136.139776428,-13.443570699
141.7758780781,-12.9902913637
130.70121174,-13.48192836
131.184544684,-13.848595329
131.367886055,-13.781918728
131.417879418,-13.531921639
131.751209124,-13.58191578
132.084537928,-13.831921954
132.201204531,-13.531921361
132.934527771,-13.531915681
136.5458,-13.8663
126.66666667,-14.41666667
130.451221837,-13.981921169
130.684548501,-14.248592585
130.83479,-14.06183
131.66787924,-14.03191488
131.68454351,-14.44858496
132.034536563,-14.1819208
132.15,-14.1667
132.151203942,-14.165255386
132.167881016,-14.18191836
132.1833,-14.1833
132.384533367,-14.39858237
132.4054,-14.3498
132.417871073,-14.31525324
132.417871073,-14.31525324
132.501207915,-14.33191835
132.667876066,-14.415256096
133.734526819,-14.198577584
133.751195067,-14.18190517
133.784521079,-14.065252142
134.084516756,-14.081909258
134.5061,-14.2747
134.506111111,-14.274722222
135.717845058,-14.24856544
143.45,-14.0833
143.4591955135,-14.0902830349
125.80138889,-14.61138889
125.80138889,-14.61138889
131.884542239,-14.898583926
131.9194,-14.8361
131.92066234,-14.83469205
132.084543754,-14.698582548
132.0889,-14.7136
132.090097161,-14.712199103
132.175100925,-14.539136457
132.217876061,-14.548581542
132.472600301,-14.577471236
132.501209713,-14.531913689
133.084531325,-14.581908876
133.167875741,-14.915250085
133.201205028,-14.948582113
133.2333,-14.5333
133.233333333,-14.533333333
134.617856189,-14.798574675
134.651184316,-14.73190342
134.880537477,-14.951697597
143.201096992,-14.865200767
127.08333333,-15.28333333
127.3333,-15.4333
127.45,-15.3833
127.45,-15.3833
128.601238717,-15.198606104
130.3064,-15.4442
130.612257,-15.113249
130.650833333,-15.403333333
131.551223303,-15.331920918
131.801211272,-14.981916505
133.075,-15.0581
133.07554,-15.05833
133.251206343,-15.415244312
133.317897919,-15.215279612
133.367900378,-15.048574154
133.517873489,-15.39857415
141.7,-15
141.7,-15
141.7,-14.9833
141.70110766,-14.98186271
141.7092157375,-14.9902828332
143.9258594702,-15.2402766083
144.91842071,-15.15221407
145.1667,-15.4333
145.2333,-15.1167
145.2333,-15.1167
145.23333333,-15.11666667
145.2425110166,-15.1236077365
145.3333,-15.2333
126.3333,-15.8333
128.6833,-15.7
128.7,-15.65
128.7,-15.65
128.7,-15.65
128.717913475,-15.715270241
128.7333,-15.7833
128.7333,-15.7667
129.034570046,-15.681927078
