"longitude","latitude"
132.901186064,-11.948590903
133.067672,-11.925102
133.15,-11.8667
133.267860104,-12.331913513
133.267860104,-12.331913513
133.31666667,-12.31666667
133.3167,-12.3167
133.3167,-12.3167
133.3167,-12.3167
133.317860964,-12.315259272
133.317860964,-12.315259272
133.317860964,-12.315259272
133.33,-12.2
133.3333,-12.3333
133.3333,-12.3333
133.33451532,-12.33191287
133.401188107,-12.231914644
134.267849421,-12.21525339
132.65,-12.77
132.88333333,-12.66666667
132.884521387,-12.631916491
132.88452284,-12.66525502
132.899334133,-12.639064674
132.9,-12.75
132.9,-12.7
132.90296337,-12.64541942
132.9031,-12.7936
132.906349655,-12.793658632
133.360356534,-12.776925029
133.384519429,-12.781910225
133.447018451,-12.644419253
133.8461,-12.7261
133.95265,-12.76291
132.4,-13.4
132.401198012,-13.431914955
132.4369,-13.3169
132.4369,-13.3169
132.4369,-13.3169
132.467869067,-13.381920161
132.517868238,-13.298582584
133.0167,-13.05
133.0167,-13.05
130.55,-13.48
132.4,-13.77
132.521778467,-13.49865957
132.551198173,-13.481917946
132.560921931,-13.49441764
132.560921931,-13.49441764
132.560921931,-13.49441764
132.560921931,-13.49441764
132.56093067,-13.49437688
132.56093067,-13.49437688
132.56093067,-13.49437688
132.56093067,-13.49437688
132.56093067,-13.49437688
132.567868808,-13.49858701
132.567868808,-13.49858701
132.5731528,-13.4982657
132.5731528,-13.4982657
132.57315286,-13.49830393
132.57315286,-13.49830393
132.579583333,-13.497611111
132.6,-13.5
132.6,-13.5
132.701203075,-13.565255101
133.4419,-13.55
