"longitude","latitude"
142.3667,-10.7167
142.3833,-10.8833
142.4,-10.9
142.4175353697,-10.9153018964
142.45,-10.9333
142.45,-10.7833
142.451083966,-10.781859619
142.4592014832,-10.7903026124
142.3667,-11.05
142.367753714,-11.048557835
142.37,-11.05
142.37,-11.05
142.37,-11.05
142.3758697638,-11.5069651321
142.50188,-11.8311
142.69,-11.77
142.69,-11.765
142.7506,-11.6106
142.7506464776,-11.6106462912
141.7833,-12.3
141.7925435221,-12.3069614725
141.8,-12.3
141.8,-12.3
142.62,-12.45
142.6425348592,-12.4569594975
142.7639801374,-11.9850887555
142.7639801418,-11.9850887566
142.764,-11.985
142.822777778,-12.404722222
142.8237023323,-12.4034198768
142.824,-12.403
142.8333,-12.1333
142.8333,-12.1333
142.83333333,-12.13333333
142.8425323005,-12.1402943087
143.2167,-12.4167
141.6258795422,-12.9402918475
141.8333,-12.6667
141.8333,-12.6667
141.8333,-12.65
141.85,-12.67
141.85,-12.67
141.8508,-12.65
141.86666667,-12.65833333
141.8667,-12.6583
141.868888889,-12.6502777776
141.8744,-12.6375
141.8753209252,-12.6361263227
141.8758765115,-12.6569595488
141.8763888889,-12.6366666663
141.883333333,-12.683333333
141.8925430346,-12.6736261057
141.9,-12.6667
141.909209522,-12.6736260809
141.9092095253,-12.6736260809
141.923611111,-12.6891666666
141.938888889,-12.663611111
141.95,-12.6667
142,-12.6833
142.0092085134,-12.6902925134
142.231,-12.6519
142.2311,-12.6522
142.2317061329,-12.6505701674
142.6092023256,-12.7569579411
143.02,-12.92
143.02,-12.92
143.0425309971,-12.7236241496
143.0841972552,-12.7486239533
143.0992,-12.5019
143.1000300561,-12.5005697299
143.27,-12.5
143.3,-12.75
143.3,-12.75
141.6181020921,-13.0900133535
141.6181020943,-13.0900133524
141.7167,-13.35
141.7333,-13.35
141.750879069,-13.4152893495
141.7592122416,-13.3736228665
142.867762103,-13.215212872
142.94611111,-13.42666667
142.946111111,-13.4266666667
142.946111111,-13.4266666667
142.946111111,-13.4266666667
142.95,-13.1139
142.95,-13.1
143.02555556,-13.17083333
143.0255556,-13.1708333
142.85,-13.6833
142.85,-13.68
142.85,-13.68
142.851093565,-13.681870639
142.8592012391,-13.6902860943
143.02,-13.57
143.02,-13.57
143.0258661798,-13.7236189702
143.3425294888,-13.7569515822
143.4667,-13.8
143.4667,-13.75
142.9092013311,-14.0236177074
143.3425301841,-14.123616419
143.3683,-14.4039
143.3833,-14.2
143.4175292845,-14.0819498193
143.4802777778,-14.0705555556
143.6775,-14.2438889
143.6775,-14.2438888889
141.6167,-14.9
141.7508821306,-14.9152827152
143.4833,-14.7833
143.5,-14.8333
143.6566666667,-14.5852777778
143.6566666667,-14.5852777778
143.72,-14.72
143.7258605429,-14.7236127747
143.84,-14.6372
143.1858333333,-15.1569444444
143.186,-15.157
143.3,-15.1333
143.3,-15.13
143.3091993563,-15.1402783887
143.61719621,-15.4340151195
143.6841666667,-15.0425
143.75,-15.1667
143.75,-15.1667
143.75,-15.1667
143.8667,-15.1833
143.8667,-15.1833
143.8689155402,-15.186943636
143.93,-14.98
143.9383,-15.2428
143.9667,-15.2667
143.9667,-15.2667
143.967585,-15.265349
143.97,-15.27
143.97,-15.27
143.9758589912,-15.2736096772
144.009191992,-15.2902761952
144.0591914737,-15.3069426769
144.27,-15.2
144.5425193882,-15.3069416374
144.6447222,-15.3005556
144.6447222222,-15.3005555556
144.8,-15.3
144.801075392,-15.298515842
144.8091830349,-15.3069410696
144.8352777778,-15.3075
144.8353,-15.3075
144.8353,-15.3075
144.9152777778,-15.1133333333
144.9153,-15.1133
144.9153310309,-15.1133401209
142.7,-15.55
142.7,-15.5
142.7,-15.5
142.7,-15.5
142.701099024,-15.548531437
144.1667,-15.5
144.25,-15.5833
144.2725,-15.8853
144.2725,-15.8853
144.272602805,-15.8851759842
144.4591876119,-15.5736072374
144.4667,-15.5667
144.4667,-15.5667
144.4667,-15.5667
144.467581,-15.565347
144.47,-15.57
144.47,-15.57
144.5258535657,-15.5902736791
144.575,-15.6083333328
144.6667,-15.6667
133.3667,-16.4333
143.4486,-16.5419
143.4486,-16.5419
143.44861111,-16.54194444
142.84861111,-17.8744444394
142.7617,-18.0203
142.7617774334,-18.020269208
