"longitude","latitude"
130.5478,-11.8211
130.617913128,-11.809695492
130.85,-11.85
130.851202339,-11.848595938
130.851202339,-11.848595938
130.854508253,-11.850300767
130.967910833,-11.931923616
131.217871432,-11.765268226
132.9167,-11.7667
131.867866374,-12.248592515
132.239942276,-12.174151499
132.55949266,-12.09079083
135.226168216,-12.194412663
136.301161228,-12.431907064
136.3103,-12.3617
136.3103,-12.3617
136.311436716,-12.360244581
136.638055556,-12.231388889
136.6381,-12.2314
136.7167,-12.1833
136.730358784,-12.173568125
132.4667,-14.3167
128.71041377,-15.65662008
128.7168296,-15.8329064
128.7168296,-15.8329064
122.23,-17.96
124.8125,-17.4875
135.97,-22.82
135.984354,-22.832033
