"longitude","latitude"
142.159444444,-10.569444444
142.160373,-10.568152
142.2092038767,-10.556970915
142.21815,-10.532875
142.2233,-10.5417
142.3218,-10.9587666663
142.4663888889,-10.7341666664
142.467750059,-10.731891323
131.0333,-11.4569
142.5258686761,-11.9069626846
131.017877596,-12.165266475
142.1888,-12.32883
143.1258629763,-12.406959108
131,-12.7
131,-12.7
131.001212549,-12.698594352
131.001212549,-12.698594352
132.5,-12.65
133.251186335,-12.748582838
133.351192126,-12.498587327
142.5908611111,-12.5528611107
142.72,-12.75
142.72,-12.75
142.7258677564,-12.7569577684
143.0194,-12.8411
130.567884648,-13.048596455
130.57,-13.05
132.436036558,-13.313498861
132.451203164,-13.331919092
132.484530579,-13.048590806
132.49194,-13.39041
142.6467023944,-13.050623017
142.7776388889,-13.1457222218
142.9989209814,-13.1200109925
143.0019764968,-13.1188998835
143.15222222,-13.21777778
129.917896931,-13.74859832
130.0833,-13.5667
130.08436,-13.565383
130.084550544,-13.748599682
130.084553795,-13.565271272
132.517872919,-13.548582667
143.175864873,-13.8902845417
143.1780013265,-13.893956137
143.1833,-13.9667
143.1833,-13.9667
143.21,-13.9619444444
143.2118611111,-13.847472219
143.2167,-13.9333
143.2167,-13.9333
143.2167,-13.9333
126.1556,-14.025
126.156,-14.025
126.157,-14.024
126.2,-14
126.5667,-14.2833
126.6,-14.3
125.75,-14.58
125.755,-14.585
125.756,-14.584
125.78,-14.55
125.78,-14.55
125.7833,-14.55
125.7833,-14.55
125.8,-14.9
125.8,-14.9
125.8,-14.6333
125.8,-14.6
125.8167,-14.9
125.8333,-14.8667
125.8333,-14.8667
125.83333333,-14.86666667
125.834385,-14.865393
125.834585635,-14.865291085
125.83888889,-14.87361111
143.39611111,-14.79527778
143.4520718115,-14.6224181821
124.9625,-15.0753
124.9625,-15.0753
124.9636,-15.074
125.65,-15.47
125.65,-15.47
125.8069,-15.1014
125.807996,-15.100115
143.5258633564,-15.0069451944
144,-15
144,-15
144.8095277775,-15.2433611106
144.9445944,-15.2717111
144.9445944369,-15.2717113367
144.9447,-15.2717
144.945,-15.272
145.008333333,-15.3083333325
145.185,-15.448333333
145.2482,-15.466816667
145.2483,-15.4669
125.834593097,-15.865286277
125.83888889,-15.87361111
144.767579,-15.915345
144.7676,-15.9153
144.7676,-15.9153
144.767751917,-15.915186
144.775851534,-15.9236049178
144.8,-15.8333
144.8,-15.8
144.8091842839,-15.8402718894
144.867577,-15.832011
144.8676,-15.8319
144.8676,-15.8319
144.867747537,-15.831845829
144.8758501904,-15.8402717378
144.8858500965,-15.8486050099
145.197,-15.505
145.7333,-16.8833
145.8833,-17.35
146.0325,-18.6425
146.0333,-18.6333
146.7822,-19.3442
146.7822,-19.3442
146.78222222,-19.3441666694
