"longitude","latitude"
142.2167,-10.5833
142.2167,-10.5833
142.24,-10.603055556
132.195356206,-11.35276771
132.519245568,-11.201926842
142.066,-11.764
142.0664444444,-11.7638333333
131.251762559,-12.134983749
135.989770515,-12.141072053
142.1676,-12.0653
142.64777778,-12.1181111096
142.6478,-12.1181
130.989833333,-12.482083333
131.06649,-12.59818
131.2422,-12.5939
132.751194927,-12.865259068
132.793417338,-12.822756991
132.831854611,-12.674672183
132.832759627,-12.676486961
132.871840124,-12.625290701
132.891000298,-12.645324972
132.9167,-12.8833
132.9292,-12.7928
141.9995299511,-12.6530252243
130.692870174,-13.079707754
132.451202367,-13.123585201
132.654680531,-13.4320545
136.368659258,-13.184118274
143.0078648207,-13.3259465723
130.867881329,-13.497753031
131.1847,-13.8572
131.83435,-13.815379
132.235736,-13.8151
132.3932,-13.5034
132.3933,-13.5033
132.601204645,-13.581914316
132.643889076,-13.568506358
132.951192119,-13.481914864
136.55,-13.88
143.06833333,-13.75138889
132.43758,-14.27131
132.44571,-14.28184
134.1778,-14.3564
134.420555556,-14.047777777
134.5058,-14.2744
134.50606,-14.27469
144.4,-14.3
144.4,-14.3
144.45,-14.2466666662
144.4583648794,-14.2594458671
125.85,-14.83
132.472600301,-14.577471236
143.5214,-14.8297
144.05,-14.75
144.2294444444,-14.9425
133.173148471,-15.015812857
144.9029066442,-15.0989304704
129.859565252,-16.318321875
130.291,-16.115
130.495434269,-16.191693333
144.9446388889,-16.4452777773
144.2045232111,-16.916170425
144.85,-16.87
144.85,-16.87
144.85,-16.87
144.85,-16.85
124.99166667,-17.29722222
144.6676,-17.3319
144.6676,-17.3319
144.784,-17.39
144.78416667,-17.38972222
144.86666667,-17.36083333
144.87,-17.38
144.96039313,-17.2794568995
145.1984104949,-17.2108940893
145.198586337,-17.210691338
145.2841,-17.2153
145.2841,-17.2153
145.387910682,-17.1692983184
145.5,-17.1
126.10437,-17.50805
138.1541666667,-17.5130555556
138.1822222222,-17.5730555556
138.321666667,-17.707777777
138.3226454193,-17.7064683694
143.8114,-17.5928
142.23277778,-18.1824999994
142.65,-18.3769444444
143.31361111,-18.28416667
143.6733333333,-18.2797222216
144.52916667,-18.23555556
144.64194444,-18.22444444
144.64194444,-18.22444444
144.641944444,-18.224444444
144.6419444444,-18.2244444444
138.4968111111,-18.6887694438
143.48166667,-18.81388889
143.8805555556,-18.5444444444
143.5336111111,-19.0302777772
143.54138889,-19.0225
143.5425,-19.0211111094
144.118611111,-19.0305555554
144.1186111111,-19.030555555
144.119,-19.0305
144.119,-19.0305
145.92188333,-19.197
145.9219,-19.1969
146.2294,-19.2994
146.7258384717,-19.2735858911
146.7356,-19.3314
120.695,-19.834
143.6426545449,-20.0799776776
144.0025409471,-20.2427587288
145.50611111,-20.3211111094
144.6069823721,-21.1966431657
145.455,-21.6866666667
117.82,-22.61
130.8611,-22.8161
148.0091694085,-22.6735709548
148.1591681062,-22.8102366912
131.703055556,-23.211388889
132.3667,-23.675
148.0657337922,-24.0812027949
152.0766304203,-25.9385465141
