"longitude","latitude"
142.0679592862,-11.7595502843
143.0117,-13.1203
138.1180555556,-17.2011111111
145.2258504511,-17.4402639554
145.256,-17.386
145.3425156144,-17.3902638432
145.3667,-17.4
145.3758486079,-17.4069303522
144.86222222,-17.96805556
145.3878136796,-17.4833539311
145.5841815441,-18.0819271007
144.8925256291,-18.8902596267
146.0833,-19.1167
146.0925122741,-19.1235884067
146.10888889,-19.14805556
146.4333,-19.25
146.4886198667,-19.4824747867
147.8561,-19.8806
144.8044223759,-19.979659975
144.8533650271,-20.3924775351
144.8605873386,-20.4363662845
146.9128,-20.1338083294
147.2841,-20.3153
147.2925019708,-20.3235803957
144.9175323895,-20.7485875032
145.27083333,-20.65222222
144.4917050081,-20.9791440874
148.1211111111,-21.2166666661
148.4174913715,-21.2485734828
148.54444444,-21.4077777794
146.9008333333,-21.5572222222
146.94,-21.6775
146.9708333333,-21.7658333333
149.17183847,-21.9184292393
149.42482278,-21.9466560593
149.4266666667,-21.9483333333
150.042473738,-22.1402314337
150.0841403032,-22.2485642654
150.2991666667,-22.439166666
150.3019163729,-22.8135653972
150.3345032157,-22.8457400658
150.3761111111,-22.7574999993
150.6301853327,-22.6973952487
150.7932898906,-22.6464579558
150.0483112272,-23.1088395908
150.9257991384,-23.0735585386
151.0258004162,-23.6568897749
151.250798511,-23.9152214969
151.3757968899,-23.9402209293
150.5841426631,-24.2485566748
151.3260756733,-24.0063320573
151.3833,-24.2167
151.5833,-24.4
151.5918775269,-24.4130150931
151.6257997287,-25.2235500069
151.7424655224,-25.3735491712
152.5102303648,-25.0754906264
152.5251074496,-25.3851331501
151.2508069067,-25.5818842085
151.2833,-25.5833
151.3667,-25.9667
152.03,-25.57
152.0424622972,-25.5735474352
152.9174523525,-26.0818758538
151.4,-27.45
152.63194444,-27.365
152.8757955256,-27.7068731251
153.059125249,-27.556872479
153.02,-29.35
150.536,-29.943
