"longitude","latitude"
132.551188174,-11.131925581
130.634534664,-11.748599457
131.067877278,-11.848596826
132.6667,-11.9667
132.667865622,-11.965257377
131.334530967,-12.248598631
132.301192813,-12.298595081
132.534527134,-12.398590083
132.951187868,-12.381920849
132.97029,-12.44017
134.251178847,-12.281914664
134.9283,-12.3267
135.001176984,-12.398581555
141.8567,-12
141.8592090833,-12.0069629765
130.9292,-12.4767
130.9292,-12.4767
130.9772,-12.5203
130.9772,-12.5202
131.251208348,-12.631925612
131.251208348,-12.631925612
131.251208348,-12.631925612
131.317,-12.65
131.317876198,-12.64859539
131.317876198,-12.64859539
131.317876198,-12.64859539
131.3333,-12.65
131.3333,-12.6
131.384536,-12.815267
131.4167,-12.8
131.417873481,-12.798590632
131.467876599,-12.681924805
132.517868023,-12.898588783
132.5333,-12.85
134.934507014,-12.648575496
136.234491205,-12.631899963
136.26683,-12.5739
130.284545157,-13.365263934
130.85,-13.2833
131.417882047,-13.065261975
141.750879069,-13.4152893495
130.717887059,-13.765264944
144.2508540917,-14.4152799301
125.85,-14.82
128.03333333,-14.68333333
128.0392,-14.6917
129.58003,-14.8987
133.117870071,-14.931906037
133.11953795,-14.92608188
133.4333,-14.8667
133.43333333,-14.86666667
133.434530384,-14.865250483
134.801181416,-14.731900021
134.8831,-14.7786
134.8831,-14.7786
134.8839,-14.7792
141.6167,-14.9
141.6167,-14.9
141.6875493533,-14.8686163768
141.687816156,-14.868531546
141.688,-14.869
133.117877011,-15.081909769
135.7,-15.1422
135.70027,-15.14246
144.301,-15.164
144.30111111,-15.16444444
144.4236666667,-15.2626666662
141.5425530224,-15.7569465814
145.01194444,-15.665
145.06388889,-15.67277778
136.201186996,-16.615226656
145.3883469002,-16.8538770868
145.75,-16.8833
145.7508333333,-16.8877777773
141.0381173724,-17.0236103534
141.0522838936,-17.0227769858
123.56666667,-17.66666667
140.7813888889,-17.8747222222
140.8333,-17.4833
141.067809338,-17.665193357
141.08,-17.75
141.0842303169,-17.7486081595
141.1167,-17.6667
141.128175,-17.665349
139.25116399,-18.63186717
144.2508658604,-18.7485954319
144.6758607265,-18.673594352
144.7,-18.6833
146.1333,-18.7333
146.15,-18.65
146.15,-18.65
146.2508418893,-18.5819232446
146.2508424374,-18.7485892827
146.0864,-19.1389
146.17,-19.1347
146.4833,-19.2
146.7667,-19.2167
146.7667,-19.2167
146.7861111111,-19.2908333327
142.2761584376,-19.5531509537
144.4175342459,-19.7485919063
144.6667,-19.9667
144.684435254,-19.965161265
144.75,-19.92
145.0683605744,-19.8983114838
145.4175225605,-19.7485885296
146.2333,-19.8833
147.08,-19.92
147.0841696969,-19.9152491381
147.1333,-19.8333
147.134397198,-19.83180769
147.1557564749,-19.531771216
147.2167,-19.5
