"longitude","latitude"
142.417535373,-10.9153018997
141.9291457615,-12.4270415101
143.2591953589,-12.7402904141
143.1258647739,-13.5402863928
143.191666667,-13.9666666666
143.25,-13.8333
143.25,-13.8333
143.25,-13.8333
143.2508641091,-13.9152842828
143.2591972118,-13.8402846423
143.2758635749,-13.7736182813
143.2833,-13.8833
143.2833,-13.8833
143.2833,-13.8833
143.2833,-13.8833
143.4167,-13.8667
143.4167,-13.8667
143.4167,-13.8667
143.4167,-13.8667
143.4167,-13.8667
143.4167,-13.6667
143.4175286594,-13.7486181605
143.4175289708,-13.9152839873
143.4258619783,-13.7902846007
145.225,-15.6583333328
145.2333,-15.8
145.2583333333,-15.4916666662
145.2583333333,-15.4916666662
145.2618548908,-15.4855740784
145.2619,-15.4855
145.2667,-15.75
145.2667,-15.4833
145.3281,-15.8481
145.3288762092,-15.8467515795
145.0808,-16.2864
145.0816822743,-16.284991457
145.0833,-16.3
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.0903,-16.2911
145.0925154966,-16.2902691852
145.0925154999,-16.2902691885
145.0925155393,-16.3069357772
145.25,-16
145.259179532,-16.0069367555
145.4467,-16.1033
145.3167,-16.6333
145.342513482,-16.623600429
145.5833,-16.9667
145.6480660861,-16.8513764421
145.65,-16.85
145.5,-17.3333
145.5667,-17.2833
145.5833,-17.1833
145.5833,-17.1833
145.5833,-17.1833
145.5833,-17.1333
145.5833,-17.1333
145.5833,-17.1333
145.5833,-17.1333
145.5925119794,-17.1402642235
145.6,-17.1833
145.7258434705,-17.0402643086
145.8510262658,-17.375739131
145.8667,-17.35
145.8833,-17.4333
145.8833,-17.4333
145.8833,-17.4333
145.9175089407,-17.4152622024
145.9833,-17.3833
145.9925079817,-17.3902621095
145.8896773439,-17.5210124052
145.920070611,-17.6425571797
145.9667,-17.6667
145.9667,-17.6667
145.9667,-17.6667
145.9758423399,-17.6735942993
145.9925105452,-18.240258648
146.2758429484,-18.9902549826
148.4758193577,-20.0402441748
148.5924853196,-20.2569096542
148.7424833961,-20.2569091662
148.7628725722,-20.283182603
148.2222992039,-21.0031762946
149.1091482737,-21.0402384402
149.1952777778,-21.4374999994
149.242480916,-21.3069037254
151.4662399301,-24.5273719282
151.4667,-24.5333
151.4667,-24.5333
151.4757983877,-24.5402189353
151.4963536125,-24.5316077612
151.500797806,-24.493274507
