"longitude","latitude"
142.08420642,-11.7486307735
132.79774,-12.82347
132.90119675,-12.7485848
132.9873047,-12.58025658
136.017829476,-12.565246753
141.88931632,-12.50166392
132.401198223,-13.19858329
132.4083,-13.2083
132.4083,-13.2083
132.45,-13.125
132.451196072,-13.115255341
132.451201846,-13.098586756
132.451202367,-13.123585201
134.55,-13.2
134.551183812,-13.198574165
132.3352,-13.9612
132.5498,-13.9241
132.627,-13.911
142.79277778,-13.65916667
142.79277778,-13.65916667
142.793,-13.659
143.15,-13.8333
143.15,-13.83
143.15,-13.83
143.1591982927,-13.84028482
143.1997222222,-13.9383333333
143.2,-13.9
130.5478,-14.2108
130.54793,-14.21087
132.4047,-14.0328
132.4469,-14.2319
132.6829,-14.3736
132.68792,-14.36702
132.6883,-14.3686
134.175,-14.1131
134.17511,-14.11312
136.501164,-14.081895
130.801218638,-14.731923208
130.884548719,-14.681925917
131.040942808,-14.918041933
131.134553301,-14.731916866
131.134553301,-14.731916866
131.1667,-14.8667
142.801889,-14.9015819995
130.75,-15.08
141.7592178147,-15.9069455033
141.8,-15.9
144.7247412452,-16.020271269
144.7248,-16.0203
143.6416080734,-16.4997276876
144.2988776327,-16.8910639817
137.134512207,-17.348554566
144.0669444444,-17.0288888884
144.55,-17.15
144.55,-17.15
144.55,-17.15
144.551088571,-17.14851003
144.558,-17.1583
144.5591906275,-17.1569335403
145.4175138589,-17.0819315923
145.1591870225,-18.2402610743
144.5,-18.9
144.5091964512,-18.9069271145
143.9525039091,-19.5429303245
148.7508291248,-23.2485665901
151.344,-24.1411
