"longitude","latitude"
142.225,-10.5749999997
142.2092038486,-10.5236377853
142.2455927123,-10.9116909695
142.408888889,-10.740833333
142.4089,-10.7408
130.667881016,-11.413896523
131.363981736,-11.268595023
132.143696954,-11.15526365
132.14696,-11.14898
132.17,-11.32
132.174195677,-11.322492993
132.26761,-11.26687
132.15119692,-11.13192943
132.20119341,-11.21526658
132.269253976,-11.220261345
132.37901,-11.24342
132.4164687,-11.24136122
132.51816,-11.40521
132.61058,-11.47476
132.522859185,-11.052763786
132.586456358,-11.340534572
132.592577519,-10.980267148
132.853970288,-11.052484807
132.867856987,-11.148594081
132.875353642,-11.163596214
132.875353642,-11.163596214
132.951188064,-11.398589342
132.951188064,-11.398589342
142.7925317231,-11.2069664474
142.9258636796,-11.2402994453
142.9258636796,-11.2402994453
130.2925,-11.7761
130.03394,-11.75743
130.03394,-11.75743
130.6187,-11.7398
130.634541298,-11.765269346
130.851202339,-11.848595938
130.867879529,-11.865271832
131.0667,-11.85
131.0667,-11.85
131.067877278,-11.848596826
132.63156,-11.52113
132.6424,-11.4956
133.360900136,-11.660524752
133.1333,-11.6667
133.134514284,-11.665264361
133.360900136,-11.660524752
142.0758732494,-11.8069637939
142.85,-11.63
142.85,-11.62
142.857,-11.6425
142.857,-11.6425
142.8583648402,-11.6411304775
142.8591981409,-11.6236305786
142.8591981637,-11.6402971481
142.9833,-11.9333
131.03453644,-12.44860044
131.0667,-12.45
131.071766952,-12.436369891
131.072316715,-12.462764625
131.084537087,-12.415268445
131.138143802,-12.449156371
131.484533084,-12.348594967
132.9,-12.4667
132.9,-12.4667
132.92,-12.06
132.9333,-12.35
132.934496001,-12.365253607
132.95,-12.4167
132.958975734,-12.411370436
132.92,-12.06
133.117861431,-12.448584147
133.134517759,-12.465258391
133.1833,-12.1
133.234518038,-12.281920923
133.29158,-12.29259
133.317855878,-12.33191911
133.317860964,-12.315259272
133.33451532,-12.33191287
133.15,-12.0333
133.317860964,-12.315259272
134.2667,-12
134.450338695,-12.130250786
134.251179582,-12.048582024
134.684507483,-12.331914437
134.8167,-12.2667
134.884502165,-12.065253717
134.917845594,-12.098580893
135.360333122,-12.097473088
135.366731116,-12.099137685
135.76607,-12.05543
135.566444614,-12.02692042
135.567833075,-12.031909275
136.14905,-12.04067
136.2667,-12.2167
136.2667,-12.2167
136.2667,-12.2167
136.267831628,-12.215242068
136.27641,-12.07743
136.760044651,-12.171631795
136.78223,-12.19694
136.784458192,-12.16523794
136.92226248,-12.3594001
136.692859252,-12.192968185
136.7844797,-12.18190616
136.885047509,-12.414678308
142.1667,-12.4167
143.0925296805,-12.1736271316
143.1667,-12.3667
143.1676,-12.3653
143.167753279,-12.365211749
143.284413259,-12.031873558
130.624106252,-12.717267213
130.67447,-12.6635
130.6756,-12.6639
130.9833,-12.6833
130.884514406,-12.565292113
131.001212549,-12.698594352
131.001212549,-12.698594352
131.0658,-12.6133
131.067874193,-12.498596793
131.088777778,-12.611722222
131.11235,-12.51221
131.11235,-12.51221
131.11396,-12.51338
131.1142,-12.5247
131.114661,-12.520625
131.11757,-12.52513
131.121944444,-12.513611111
131.122,-12.533
131.12256,-12.53338
131.14019,-12.51651
131.1833,-12.5333
131.034537086,-12.548594724
131.051212351,-12.615265189
131.1333,-12.85
131.151207333,-12.848592204
131.251208348,-12.631925612
131.3845357,-12.7985964
131.7833,-12.8667
131.7921,-12.6528
131.917870345,-12.84859478
131.93453151,-12.79858827
131.517876984,-12.531926548
131.58,-12.84
131.591944444,-12.901027777
131.5972,-12.8583
131.597222222,-12.860555556
131.634531744,-12.865261993
131.9917,-12.6636
132.366577933,-12.729191727
132.3833,-12.6667
132.401193839,-12.715259569
132.417866686,-12.581919323
132,-12.6667
132,-12.6667
132.001200635,-12.665262091
132.4,-12.6
132.417866686,-12.581919323
132.417866686,-12.581919323
132.567901534,-12.915286463
132.75,-12.8
132.75,-12.6333
132.75119301,-12.63191876
132.759493432,-12.765287041
132.815,-12.6884
132.817895716,-12.86528969
132.82,-12.6669
132.83,-12.83
132.834522039,-12.948584762
132.834522039,-12.948584762
132.840312724,-12.870843282
132.84259486,-12.70638918
132.851192268,-12.865257515
132.8667,-12.65
132.86786101,-12.88191338
132.867864859,-12.648583961
132.871840124,-12.625290701
132.879897864,-12.65246664
132.892611111,-12.487111111
132.8999,-12.7259
132.9,-12.7
132.9,-12.55
132.909495598,-12.808586152
132.917858614,-12.665255986
132.999491468,-12.818585433
132.52175993,-12.90552848
132.534531276,-12.915253627
132.7333,-12.7
132.7833,-12.8667
132.830014008,-12.674657162
132.897368937,-12.541445471
132.9,-12.4833
132.9011894,-12.5819178
132.911866887,-12.794606147
133.1361,-12.7508
133.15118554,-12.48191388
133.347321767,-12.532841563
133.01694478,-12.66346449
133.034524033,-12.748588413
133.3333,-12.75
133.4667,-12.7667
133.4667,-12.7667
133.8333,-12.85
133.8333,-12.85
133.91571,-12.63389
133.9475,-12.6536
133.6331,-12.9533
134.2544,-12.5536
134.82764,-12.95994
134.834505838,-12.965245286
135.0104,-12.7009
135.0104,-12.7009
136.484489769,-12.815242176
136.790873508,-12.510244334
141.85,-12.65
141.8592100172,-12.6569595735
141.8592100172,-12.6569595735
141.6583,-12.525
141.6592118763,-12.5236272137
142.667763773,-12.665213415
130.12177879,-13.16805064
130.367888921,-13.131925235
130.6667,-13.1167
130.6667,-13.1
130.6667,-13.1
130.66769,-13.115382
130.667879562,-13.098599521
130.667881199,-13.115267672
130.679333333,-13.187444444
130.73892,-13.21701
130.7393,-13.2165
130.7394,-13.2164
130.7394,-13.2164
130.782,-13.411
130.78218,-13.41151
130.685107739,-13.16248394
130.698431574,-13.102765909
130.841332276,-13.33530805
131,-13.1667
131,-13.05
131.676204912,-13.073591855
132.2833,-13.3
132.4167,-13.1667
132.4167,-13.1667
132.484532382,-13.44858978
132.16589,-13.04813
132.172167811,-13.07855937
132.2667,-13.3667
132.2667,-13.3667
132.2833,-13.3
