"longitude","latitude"
142.1594,-10.5694
142.1594,-10.5694
142.159444444,-10.569444444
142.2,-10.6
142.20146111,-10.6000194397
142.206666667,-10.606666667
142.2068,-10.5901
142.2167,-10.5833
142.2167,-10.5833
142.2167,-10.5833
142.2167,-10.5833
142.2167,-10.5833
142.2167,-10.5833
142.2169,-10.5553
142.217,-10.5553194397
142.217,-10.555
142.217754344,-10.581893605
142.217754344,-10.581893605
142.2192,-10.5792
142.2194,-10.5553
142.21944444,-10.55527778
142.22,-10.56
142.222222222,-10.540277778
142.2223,-10.5405
142.225,-10.58
142.225,-10.58
142.225,-10.5749999997
142.225,-10.5749999997
142.225,-10.5749999997
142.225,-10.5749999997
142.225,-10.5749999997
142.2258703567,-10.5403043364
142.2258703853,-10.5736374665
142.25,-10.5833
142.25,-10.5833
142.25625,-10.606183333
142.29075,-10.597041667
142.2908,-10.595
142.3287222222,-10.9035833329
142.3289,-10.9036
142.3289,-10.9036
142.3416666667,-10.9749999996
142.3667,-10.8833
142.3833,-10.8833
142.386666667,-10.883333333
142.3881,-10.8839
142.3925354515,-10.72363641
142.41,-10.7383
142.41101667,-10.73878333
142.4758680536,-10.8736354261
142.1833,-10.6167
142.1929374424,-10.6260538462
142.2167,-10.5833
142.2167,-10.5833
142.217754344,-10.581893605
142.225,-10.5749999997
142.3667,-10.9333
142.3739414467,-10.9265137207
142.2167,-10.5833
142.2167,-10.5833
142.2167,-10.5833
142.2167,-10.5833
142.2167,-10.5833
142.217754344,-10.581893605
142.217754344,-10.581893605
142.225,-10.5749999997
142.225,-10.5749999997
142.2258703567,-10.5403043364
142.2333,-10.5833
142.3641667,-10.8602778
142.3642,-10.8603
142.3650361968,-10.8589136174
130.68041091,-11.41248648
130.651205022,-11.365274114
130.667880099,-11.448602653
130.80896,-11.36374
130.86467,-11.34022
131.19181,-11.30402
131.4036,-11.2938
131.43125,-11.30747
132.101193325,-11.448599383
132.143692325,-11.362497153
132.155,-11.3853
132.156195933,-11.38386466
132.1642,-11.4075
132.165359768,-11.406094101
132.1868,-11.1616
132.20082,-11.22435
132.3167,-11.1167
132.32,-11.12
132.3333,-11.1167
132.334342,-11.115383
132.334520294,-11.121090941
132.36328,-11.36151
132.4164687,-11.24136122
132.151197272,-11.131893299
132.2,-11.3
132.144494113,-11.154196277
132.144494113,-11.154196277
132.15,-11.17
132.3167,-11.1167
132.32,-11.12
132.3333,-11.1167
132.334342,-11.115383
132.334520294,-11.121090941
132.5528,-11.2996
132.5528,-11.2996
132.553,-11.299
132.57878,-11.31422
132.87131,-11.149
132.95,-11.38
132.501191517,-11.331927542
132.519252654,-11.201095596
132.501191868,-11.165262528
132.5528,-11.2996
132.553,-11.299
132.586456358,-11.340534572
132.592577519,-10.980267148
132.867856987,-11.148594081
132.867856987,-11.148594081
132.95,-11.38
132.951188064,-11.398589342
132.951188064,-11.398589342
132.9536,-11.3981
132.954793038,-11.39664411
132.9667,-11.4
132.96762,-11.38197
132.983686952,-11.056396551
142.65,-11.05
142.6591996424,-11.0569674804
142.5092013018,-11.1403004643
130.42801,-11.79893
130.48454072,-11.51527235
130.534536039,-11.815267569
130.5495,-11.8186
130.567880062,-11.54860138
130.76494,-11.81352
130.89166667,-11.76944444
130.8917,-11.7694
130.8917,-11.7694
130.892870397,-11.768045961
130.90120423,-11.81527283
130.901204231,-11.748602063
130.91787157,-11.74859902
130.75,-11.82
130.534536039,-11.815267569
130.667878549,-11.665265889
130.667878549,-11.665265889
130.667881435,-11.631926306
130.71788031,-11.66526965
130.5494,-11.8183
130.634541298,-11.765269346
130.851202339,-11.848595938
131.05,-11.8167
131.05,-11.8167
131.051204492,-11.815268107
131.267870574,-11.715270895
131.075,-11.635
131.283333333,-11.733333333
131.284531816,-11.731928864
131.2667,-11.75
131.2667,-11.75
131.26787749,-11.73189298
131.26787749,-11.73189298
132.6424,-11.4956
132.667856998,-11.865259724
132.7175,-11.5423
132.751193738,-11.581918263
132.7669,-11.4833
132.767857811,-11.615259112
132.768143166,-11.481925801
132.8167,-11.6333
132.817862459,-11.631918216
132.8667,-11.6667
132.8667,-11.65
132.876,-11.605
132.93452126,-11.78192449
132.6424,-11.4956
132.667856998,-11.865259724
133,-11.75
133.034519394,-11.481917488
133.360900136,-11.660524752
133.398125902,-11.527200322
133.398125902,-11.527200322
133.401181912,-11.515256763
133.0667,-11.5667
133.06762,-11.56531
133.067859993,-11.515258653
133.0719,-11.5622
133.073139916,-11.56081342
133.101183126,-11.531920059
133.1394,-11.6886
133.140622335,-11.687196693
133.15,-11.72
133.2167,-11.7333
133.2167,-11.7167
133.351182121,-11.631920623
133.384512039,-11.648589728
142.0695093364,-11.7569675075
142.0842064233,-11.7486307735
142.1176,-11.9653
142.117766618,-11.965223719
142.12,-11.97
142.1258729443,-11.9736294825
142.4425357715,-11.5402981992
142.0662052133,-11.7639693456
142.08420642,-11.7486307735
142.45,-11.65
142.45,-11.6333
142.45,-11.63
142.45,-11.63
142.459202381,-11.6402976075
142.4592024009,-11.656964179
142.0672,-11.5392
142.06722222,-11.5391666696
142.0925398098,-11.8569634944
142.6592005805,-11.8902959515
142.85,-11.65
142.85919818,-11.6569637144
142.5,-11.8333
142.5,-11.8
142.50109185,-11.83187772
142.50109185,-11.83187772
142.5092020971,-11.8402964168
142.5092020971,-11.8402964168
142.5092020971,-11.8402964168
142.5258686339,-11.8736295387
142.9833,-11.9333
142.5758679631,-11.756963469
131,-12.1667
131.051211597,-12.465266551
131.0845339,-12.1652685
131.0845339,-12.1652685
131.0845339,-12.1652685
131.21666667,-12.41666667
131.2167,-12.4167
131.217685,-12.415382
131.217876184,-12.415267258
131.2333,-12.3667
131.234536733,-12.381929214
131.401203008,-12.348592565
131.42,-12.42
131.484533084,-12.348594967
131.301200198,-12.181928673
131.0167,-12.46
131.044261074,-12.226376746
131.258133877,-12.204253009
131.417874966,-12.348598653
131.467871109,-12.348592882
131.5,-12.3333
131.517874805,-12.348595905
132.384524286,-12.465259759
132.417868494,-12.431890664
132.317868189,-12.398594267
132.242659367,-12.177792104
132.242659367,-12.177792104
132.317868189,-12.398594267
132.3333,-12.3667
132.3833,-12.4
132.501193987,-12.46526287
132.56,-12.47
132.6167,-12.3167
132.617865852,-12.315255327
132.617865852,-12.315255327
132.684522577,-12.231917029
132.717866927,-12.415258262
132.72379,-12.42331
132.862488933,-12.420070739
132.9167,-12.45
132.95,-12.3083
132.95,-12.3083
132.95,-12.3
132.95118809,-12.46525801
132.95118809,-12.46525801
132.95118809,-12.46525801
132.951192461,-12.298592322
132.951192476,-12.306889047
132.958975734,-12.411370436
132.9667,-12.45
132.967864688,-12.415260231
132.968577691,-12.433969363
132.851189545,-12.473590104
132.862488933,-12.420070739
132.86789415,-12.46529084
132.5,-12.35
132.634525313,-12.465262523
132.7167,-12.15
132.825,-12.2333
132.826195322,-12.231890567
132.851193872,-12.465257837
132.9,-12.4667
132.91786188,-12.18191701
132.9333,-12.35
132.95,-12.4
132.95,-12.4
132.95118809,-12.46525801
132.95118809,-12.46525801
132.958975734,-12.411370436
132.9667,-12.4167
132.9667,-12.4167
132.967864041,-12.43191697
132.967864688,-12.415260231
132.9708,-12.4406
132.9708,-12.4406
132.970833333,-12.440555555
133.1167,-12.4667
133.15,-12.0333
133.2167,-12.4167
133.2167,-12.4167
133.2167,-12.25
133.2167,-12.25
133.217856285,-12.331916765
133.217856285,-12.331916765
133.217861066,-12.41525704
133.217861066,-12.41525704
133.22,-12.42
133.22,-12.25
133.22,-12.25
