longitude,latitude
129.4633,-28.5125
130.446111,-29.321667
130.446111,-29.321667
130.4861,-24.4161
131.9869,-25.0764
131.9869,-25.0764
131.9869,-25.0764
132.1667,-25.2
132.167962,-25.16525667
132.6,-25.1
132.6679596,-25.18190908
133.2508333,-24.55722222
133.4003,-23.8049
133.8054,-23.7731
133.884585,-23.18189361
133.884585,-23.18189361
134.6012428,-22.96522905
134.75,-27.9333
134.75,-27.9333
134.769444,-29.293056
135,-25
135,-25
135.1,-26
135.25,-24.55
135.25,-24.55
135.25,-24.55
135.25,-24.55
135.2512539,-24.54855553
135.2666667,-25.44444444
135.271111,-26.785556
135.3845888,-24.96522824
135.4,-27.6
135.4,-27.6
135.4012612,-24.99855361
135.4012701,-26.33188642
135.417719,-26.91538
135.478,-30.424
135.8,-31.5
136.323333,-29.843333
136.696389,-27.709722
137.834383,-29.315373
137.898611,-30.151667
138.371111,-28.989722
138.6,-30.2
138.661389,-29.066667
139.1036,-31.8651
139.67,-29.91
139.917222,-26.801111
140.6,-30.8
140.7,-30.1
140.836667,-28.238056
140.896389,-27.752222
140.900723,-26.762013
141.4594444,-32.19888889
141.7,-31.07
141.7167,-31.0667
142.8333,-30.05
142.8333,-30.05
132.4769,-22.2169
133.831892,-26.160108
134.3679295,-23.5318902
134.3679295,-23.5318902
134.37,-23.53
134.37,-23.53
134.37,-23.53
134.4569444,-23.63416667
134.4616667,-23.63583333
134.4845852,-23.63189456
134.4861,-23.6189
134.5012517,-23.63189484
134.6389,-23.5583
134.6401418,-23.55689302
134.8833,-23.55
134.8845805,-23.54855898
137.4667,-23.6167
137.88454,-22.69853893
139.115028,-20.83779367
139.5092585,-20.8236082
140.830721,-26.347291
140.873889,-26.487778
140.874167,-26.487222
141.5009124,-22.4985984
143.1759032,-24.27358964
143.37,-31.57
143.4,-30.77
143.4592287,-23.44025556
143.7509129,-26.91525346
144.334309,-28.26533
144.4925406,-21.49025409
144.5842112,-22.58191841
144.5842504,-28.91525046
144.6583327,-24.72038787
144.6592216,-24.72358231
145.009225,-26.00691336
145.0761408,-20.5527541
145.0841879,-18.2485946
145.15,-30.9333
145.2425418,-23.60691408
145.2425418,-23.60691408
145.417519,-18.74859181
145.52,-33.47
145.5425628,-27.69024405
145.6897,-30.5825
145.6897,-30.5825
145.69,-30.5825
145.83,-33.33
145.92,-33.58
146.0092199,-27.15690808
146.05,-23.6
146.2,-34.15
146.22,-30.2
146.25,-30.92
146.2758786,-26.44024014
146.2833,-31.55
146.2833,-31.55
146.2833,-31.55
146.5008644,-24.49857395
146.5370483,-20.15477585
146.67,-31.05
146.8186225,-21.22663485
146.88,-31.25
146.88,-30.58
147.0842014,-26.41523607
147.4353,-24.9511
147.4513792,-23.35402562
147.5277199,-21.2958709
147.55,-26.45
147.7508498,-24.74856794
147.8091669,-21.52357482
147.8091669,-21.52357482
147.8425043,-22.55690523
147.8591625,-20.57357764
147.86,-29.34
147.8873955,-24.30266106
148.0027778,-25.83138889
148.07,-24.12
148.0841753,-24.08190092
148.0841797,-24.91523286
148.0925129,-24.92356614
148.17,-29.47
148.2374424,-21.54960765
148.2425118,-25.07356524
148.2667,-24.7833
148.4174927,-21.58190577
148.4536097,-22.20633467
148.6758317,-23.59023277
148.7333333,-32.58333333
148.7333333,-32.58333333
148.7508421,-25.74856196
148.7591566,-21.95690338
148.9758464,-26.97355959
149.0841605,-23.74856406
149.12,-23.88
149.1667,-30.75
149.17,-31.45
149.2736,-25.0169
149.4258219,-23.60689632
149.5,-30.5
149.5491667,-30.29583333
149.5841691,-26.58189033
149.5841774,-27.91522256
149.6424854,-23.55689556
149.692505,-27.25688913
149.75,-30.82
149.765,-30.832
149.7667,-30.8333
149.78,-28.73
149.85,-27.9333
149.917493,-25.74855656
149.9175039,-27.58188774
149.9424885,-24.97355782
149.9424885,-24.97355782
150.0167,-30.3333
150.0667,-30.3667
150.084152,-24.74855766
150.1,-30.07
150.1166667,-31
150.1707808,-25.42907479
150.1911,-31.0086
150.22,-32.42
150.22,-31.15
150.2508275,-26.7485536
150.27,-33.1
150.27,-32.45
150.3,-32.41666667
150.3091526,-25.44022199
150.3164,-31.2364
150.3758226,-26.20688708
150.3886,-31.2522
150.4444122,-25.32433643
150.47,-32.4
150.47,-32.38
150.47,-32.32
150.5924758,-24.2235567
150.6,-32.34722222
150.6,-32.3472
150.65,-32.38
150.75,-32.02
150.7625,-29.99166667
150.8424793,-25.59021933
150.858,-28.92
150.8591486,-26.10688501
150.859241,-29.915293
150.8758084,-24.873554
150.8924729,-24.47355485
150.9174782,-25.58188568
150.924,-30.0261
150.9288889,-30.0325
150.93,-32.72
150.95,-31.08333333
150.95,-31.08333333
150.95,-31.08
150.9591435,-25.42355247
150.9667,-29.15
150.9667,-29.15
150.97,-29.15
150.97,-29.15
151.007761,-26.01962644
151.0167,-32.65
151.0267,-26.5967
151.0300245,-28.19141022
151.0333333,-29.63333333
151.0372142,-28.19021496
151.1,-32.75
151.1064351,-26.15751569
151.1301731,-28.75230296
151.1950802,-25.01656183
151.2833,-24.9167
151.2924695,-24.92355211
151.3261692,-25.99521642
151.3534722,-25.51338889
151.3591601,-29.10687942
151.3591601,-29.10687942
151.3621087,-25.42230293
151.3633333,-25.42361111
151.3802942,-25.95567353
151.4044468,-25.49341532
151.4480473,-29.05854565
151.4658889,-25.51011111
151.4976389,-25.52855555
151.5841555,-28.91521168
151.592472,-26.17354822
151.8151806,-26.69658921
151.872394,-26.80629183
151.88,-31.07
151.8833,-26.75
151.892471,-26.75687919
152.250805,-27.74854273
152.3424701,-27.72354232
152.7507966,-27.5818739
128.5661,-14.8944
128.5661,-14.8944
128.5661111,-14.89444444
128.5684444,-14.89941667
128.5908,-14.9117
128.5908333,-14.91166667
128.5925,-14.9136
128.7308,-15.6828
130.0379257,-13.51939678
130.0512201,-13.18192924
130.0512201,-13.18192924
130.1225,-13.0825
130.1262209,-13.08192467
130.3564,-12.7314
130.45,-13.4833
130.5893079,-12.45609583
130.5912153,-12.50329968
130.5912153,-12.50329968
130.5981,-11.3919
130.6059097,-12.49609814
130.6345413,-11.76526935
130.6578,-11.3431
130.6578,-11.3431
130.6678823,-11.76526607
130.6845431,-13.74859304
130.7,-11.8
130.7,-11.8
130.7012115,-12.4652674
130.7512098,-11.74860357
130.8167,-12.45
130.8214,-12.4078
130.8218055,-12.40529411
130.8223078,-12.41140102
130.8309052,-12.41390109
130.8345381,-12.4152685
130.8345381,-12.4152685
130.8345381,-12.4152685
130.8345381,-12.4152685
130.834542,-12.4485946
130.8667,-12.3667
130.8678753,-12.38192305
130.87,-12.35
130.8970115,-12.3319277
130.9178812,-12.34859331
130.9578,-12.4944
130.9589899,-12.49303897
131,-12.7
131,-12.7
131,-12.7
131,-12.7
131.0012125,-12.69859435
131.2512043,-12.91526458
131.3333,-12.6667
131.3333333,-12.65
131.3333333,-12.65
131.3345355,-12.83192633
131.3845357,-12.7985964
131.4667,-12.35
131.4678711,-12.34859288
132.1333,-11.2833
132.1958908,-11.28192166
132.2213258,-12.19835495
132.2667,-14.4667
132.41264,-12.12696
132.55,-11.1167
132.5678584,-11.14859742
132.667674,-11.515381
132.6678629,-11.51526367
132.93449,-11.36529297
132.9345166,-11.38192354
132.95,-12.4
132.95,-12.3833
132.95,-12.2833
132.95,-11.3833
132.95,-11.38
132.9511956,-12.39858657
132.9583,-12.4
132.9667,-12.95
132.9667,-12.95
132.9667,-12.45
132.9667,-12.45
132.9667,-12.45
132.9667,-12.4167
132.967674,-12.432045
132.9678631,-12.44859176
132.967864,-12.43191697
132.9678647,-12.41526023
132.9678647,-12.41526023
133.0011936,-12.49858534
133.034338,-11.465381
133.0345156,-11.46525912
135.0667,-12.3167
135.55,-14.22
135.55,-12.07
135.5511723,-14.21523903
135.5678412,-14.23189945
135.6167,-11.9667
135.6167,-11.9667
135.6178317,-11.96524787
135.7345102,-14.88189873
135.7511615,-12.58190539
135.884488,-11.81524428
135.9011702,-13.99856981
135.9178332,-13.19857036
136.1178332,-13.76523706
136.2178339,-12.1819065
136.4333,-14.0833
136.4344974,-14.08189398
136.4344985,-13.88189668
136.5178218,-11.43191045
136.6833,-15.7333
136.7,-11.1833
136.7178548,-11.18190336
136.8344789,-11.66524705
136.881431,-12.40024169
136.8844851,-12.24857039
136.8892575,-12.24966707
136.899,-12.2567
136.89940000000001,-12.2567
136.89940000000001,-12.2567
136.89940000000001,-12.2567
136.899444,-12.256667
136.9011621,-13.66523323
136.9511557,-13.63189405
137.0844993,-15.69855807
137.7511665,-16.26522098
137.8344965,-16.38188156
138.201158,-16.68187717
138.2092554,-16.69028598
139.0842482,-17.08194918
139.500909,-16.49861615
139.567631,-16.482022
139.5759083,-16.49028264
139.6139,-17.0956
139.6147431,-17.09408648
139.615,-17.094
139.6150482,-17.09413374
141.4925529,-15.49028103
141.5708,-9.5181
141.5833,-14.5
141.5833,-14.5
141.6167,-14.9014
141.6181021,-13.09001335
141.7,-13.45
141.7508791,-13.41528935
141.834488,-12.64640411
141.8417,-12.6367
141.8417,-12.6367
141.8652778,-12.63666667
142.1167,-10.1167
142.1167,-10.1167
142.1833,-10.65
142.2,-10.55
142.2,-10.55
142.25,-10.5833
142.25,-10.1667
142.25,-10.1667
142.25,-10.1667
142.5333333,-10.68333333
142.5333333,-10.68333333
142.5378,-9.4119
142.5378,-9.4119
142.542533,-9.423644591
142.5842001,-10.74863609
142.6758649,-9.390311417
143.0258629,-11.49029785
143.0758632,-12.17362715
143.0758632,-12.17362715
143.2436397,-12.53501379
143.2437,-12.535
143.2591954,-12.75695699
143.3,-12.7833
143.4083,-12.2883
143.4258572,-9.756975219
143.7639,-9.5864
144.0425173,-9.923640392
144.0833,-9.9667
145.2741667,-15.49
145.3,-16.25
145.3,-16.2167
145.3,-16.2167
145.3,-16.2167
145.3,-16.2167
145.3091794,-16.17360254
145.3425096,-14.99027488
145.3794444,-15.09388889
145.3833,-16.4667
145.3833,-16.4
145.3833,-16.4
145.3833,-16.4
145.3833333,-16.25
145.4,-16.25
145.4,-16.25
145.4,-16.25
145.4425085,-15.02360784
145.4461111,-14.69222222
145.45,-16.5
145.45,-16.2667
145.45,-16.2667
145.45,-16.2667
145.45,-16.1333
145.45,-16.0667
145.45,-16.0667
145.45,-14.6667
145.4583333,-14.675
145.4583333,-14.675
145.4591773,-16.05693606
145.4667,-14.6833
145.4667,-14.6667
145.4758407,-14.6736096
145.5008446,-16.4986006
145.5167,-16.6
145.5841768,-16.41526745
145.5841768,-16.41526745
145.5841768,-16.41526745
145.6333,-16.7167
145.6677364,-16.74850851
145.6758433,-16.75693235
145.7508428,-16.91526479
145.759176,-16.87359829
145.9333,-17.2667
145.9333,-17.2667
145.9333,-17.2667
145.9333,-17.2667
145.9333,-17.2667
145.9333,-17.2667
145.9425082,-17.27359607
145.9591747,-17.25692943
145.9744,-16.7594
146.0091763,-18.00692619
146.0167,-17.55
146.0167,-17.5333
146.0167,-17.5333
146.0167,-17.5333
146.0167,-17.35
146.0167,-17.35
146.0167,-17.35
146.0167,-17.35
146.0167,-17.35
146.0167,-17.35
146.0258436,-18.27359176
146.05,-17.3333
146.05,-17.3333
146.05,-17.3333
146.05,-17.3333
146.05,-17.3333
146.05,-17.3333
146.0591737,-17.34026215
146.0667,-17.5333
