"Longitude","Latitude"
1230140,-4179205
1270140,-4149205
1280140,-4159205
1310140,-4159204.99999999
1310140,-4169205
1350140,-4169205
1400140,-3859205
1450140,-3499205
1370140,-4169205
1370140,-4139205
1410140,-3979205
1380140,-4199204.99999999
1410140,-3959205.00000001
1410140,-4009205.00000001
1400140,-4119205
1390140,-4179205
1410140,-4079205
1460140,-3629205
1400140,-4189204.99999999
1420140,-4029205
1470140,-3619205
1440140,-3879205
1410140,-4169205
1430140,-3989205
1410140,-4179205
1430140,-3979205
1420140,-4109204.99999999
1440140,-3979205
1440140,-3969205
1430140,-4099205
1480140,-3669205
1480140,-3649205
1440140,-3999205
1440140,-4019205
1440140,-4009205
1450140,-3969205
1460140,-3879205
1480140,-3709205
1440140,-4059205
1490140,-3649205
1450140,-3979205
1470140,-3899205.00000001
1460140,-3989205
1470140,-3919205
1480140,-3799204.99999999
1500140,-3679205
1490140,-3719205
1470140,-3949205
1490140,-3749205
1470140,-3959205
1480140,-3879205
1480140,-3889205
1500140,-3719205.00000001
1510140,-3659205
1480140,-3849205
1490140,-3779205
1470140,-3979205
1500140,-3739205
1480140,-3899205
1480140,-3929205
1500140,-3759205
1500140,-3789205
1480140,-3969205
1510140,-3779204.99999999
1510140,-3759205.00000001
1480140,-3959205
1490140,-3879205
1490140,-3959205
1510140,-3809205
1500140,-3859205
1490140,-3949205
1500140,-3879205
1520140,-3759205
1510140,-3849205
1500140,-3929205
1510140,-3889205.00000001
1520140,-3779205
1530140,-3699205
1510140,-3869204.99999999
1520140,-3829205
1520140,-3799205
1530140,-3729205
1540140,-3679205
1520140,-3849205
1530140,-3759205
1520140,-3869205
1540140,-3699205
1540140,-3729205.00000001
1520140,-3889205
1530140,-3849205
1540140,-3819205
1540140,-3859205
1550140,-3829204.99999999
1560140,-3819205
1570140,-3779205.00000001
1690140,-3299205
1680140,-3509205
1690140,-3519205
1700140,-3469205
1730140,-3299205
1790140,-2879205
1730140,-3339205
1700140,-3569205
1690140,-3679205
1710140,-3519205
1740140,-3339205
1750140,-3339205
1760140,-3309205.00000001
1780140,-3179205
1730140,-3529205
1740140,-3449205
1760140,-3339205
1780140,-3199205
1730140,-3569205
1790140,-3189205
1750140,-3449205
1800140,-3179205
1780140,-3339205
1750140,-3579205
1810140,-3179205
1820140,-3149205
1780140,-3489205
1840140,-3209205
1850140,-3199205.00000001
1860140,-3229205
1860140,-3209205
1860140,-3249205.00000001
1870140,-3249205.00000001
1880140,-3199205
1890140,-3199204.99999999
1890140,-3259205
