"Longitude","Latitude"
740140.000000003,-4139205
750140,-4079205
750139.999999999,-4069205
760139.999999999,-4089205.00000001
760140,-4099205
810140,-4109205
910140,-4159205.00000001
1040140,-4189205
1070140,-4199205
1100140,-4199205
1120140,-4169205
1130140,-4149205
1140140,-4109205
1140140,-4099205
1150140,-4019205
1150140,-4079205
1150140,-4069205
1160140,-3999205
1190140,-4169205
1230140,-4019205
1230140,-4059204.99999999
1230140,-4069205
1240140,-3999205
1250140,-3929205
1240140,-4049205
1260140,-4119205.00000001
1260140,-4109205
1270140,-4129205
1290140,-3959205
1290140,-3969205
1300140,-3949205
1300140,-3979205
1320140,-3949205
1320140,-3909205
1330140,-3899205
1310140,-4119205
1310140,-4129205
1330140,-3919205
1330140,-3949205
1330140,-3939204.99999999
1340140,-3949205
1340140,-3939205
1340140,-3929205
1350140,-3939205
1350140,-3929205
1350140,-3959205
1370140,-3879205
1370140,-3929205
1380140,-3919204.99999999
1370140,-3989204.99999999
1360140,-4099205
1380140,-3979205
1370140,-4059205
1410140,-3729205
1380140,-4009205
1390140,-3919205
1390140,-3969205
1390140,-3939205
1400140,-3899205
1420140,-3759205
1390140,-4059205
1430140,-3749205
1440140,-3729205
1420140,-3899205
1420140,-3869205
1410140,-3989205
1430140,-3859205
1430140,-3879205
1440140,-3889205
1410140,-4179205
1440140,-3949205
1460140,-3769205
1420140,-4119205
1440140,-3959205
1460140,-3839205.00000001
1470140,-3859205
1500140,-3679205
1480140,-3839205
1490140,-3749205
1500140,-3749205
1530140,-3779205
1510140,-3939205
1520140,-3939205
1610140,-3459204.99999999
1740140,-3279205
