"Longitude","Latitude"
180140,-3759205
420140.000000001,-3699204.99999999
460140,-3719205
470140.000000003,-3799205
470140.000000001,-3899205
610140,-4069205
630140,-3999205
640140,-4099205
650140.000000002,-4019205
690139.999999999,-4039205
700140,-4029205.00000001
720140,-4009204.99999999
730140,-3979204.99999999
730139.999999999,-4019205
740140,-3999205
740140,-4039205.00000001
750140.000000001,-4049205
760139.999999999,-4029205
860140,-3999205
870140,-4049205
880140,-4059205
890140,-4039205
910140,-4199205
920140.000000001,-4189204.99999999
920140.000000001,-4159205
930140,-4149205.00000001
940139.999999999,-4169205
960140,-4119205
960140.000000002,-4179204.99999999
960140.000000003,-4159205
980140.000000001,-4209205
1010140,-4129205
1100140,-3789205.00000001
1090140,-4009205.00000001
1090140,-4019205.00000001
1070140,-4249205
1040140,-4549205
1120140,-3729205
1110140,-3909205
1120140,-4159205
1070140,-4699205
1120140,-4229205
1130140,-4219205
1090140,-4719205
1100140,-4629205
1090140,-4729205
1090140,-4779205
1210140,-3619205
1110140,-4619205.00000001
1120140,-4589205
1120140,-4629205
1110140,-4749205
1110140,-4799204.99999999
1120140,-4719205
1130140,-4599204.99999999
1120140,-4729205
1240140,-3589205
1120140,-4739205
1120140,-4769205
1120140,-4759205
1140140,-4629205
1130140,-4669205.00000001
1240140,-3639205
1120140,-4779205
1140140,-4739205
1140140,-4749205
1150140,-4649205
1140140,-4719205
1150140,-4759205
1260140,-3729205
1220140,-4109205
1160140,-4739205.00000001
1230140,-4099205
1230140,-4149205
1170140,-4719205
1230140,-4199205
1230140,-4209205
1170140,-4709205
1170140,-4729205
1210140,-4459205
1190140,-4659204.99999999
1190140,-4669205
1250140,-4169205
1220140,-4589205
1360140,-4119205
1390140,-3959205
1390140,-4089205
1400140,-4139205
1400140,-4109205
1420140,-4139205
1460140,-3859205
