"Longitude","Latitude"
610140.000000001,-4159205
620140,-4149205
640139.999999999,-3729204.99999999
650140,-4089205
650139.999999999,-4179205
700140,-4169205
790140.000000001,-4249205
820139.999999999,-4259205
830140.000000001,-4279205
840139.999999998,-4259205
840139.999999999,-4269205
860140,-4259205
880140,-4239205
870139.999999999,-4409205
940140,-4129205
960140,-4249205
940140,-4539205
950139.999999999,-4549205
1000140,-4129204.99999999
950139.999999999,-4699205
1000140,-4189205
1010140,-4179205
960140.000000001,-4709205
960139.999999999,-4719205.00000001
980140.000000001,-4579205
1020140,-4149205
1030140,-4159205
980140.000000001,-4669205
980139.999999999,-4679205
1030140,-4189205
990140.000000001,-4689205
1040140,-4179204.99999999
1040140,-4169205
990140.000000002,-4699205
1040140,-4139205
1040140,-4199204.99999999
1000140,-4709205
1060140,-4189205
1060140,-4199205
1050140,-4229205
1010140,-4699205
1080140,-4179204.99999999
1040140,-4599205
1080140,-4269205
1080140,-4309205
1050140,-4739205
1040140,-4779205
1090140,-4319205
1050140,-4749205
1050140,-4809205
1110140,-4259205
1050140,-4799205
1070140,-4619205
1060140,-4729204.99999999
1080140,-4609205
1080140,-4799204.99999999
1080140,-4779205
1090140,-4769205
1110140,-4739205
1120140,-4749205
1110140,-4799204.99999999
1160140,-4729205
1190140,-4719205
1210140,-4629205
1210140,-4619205
1280140,-4079205
1310140,-4149205.00000001
1310140,-4159204.99999999
1310140,-4169205
1320140,-4189205
1340140,-4149205
1510140,-3879205
