"Longitude","Latitude"
1030140,-4619205
1090140,-4189205
1050140,-4649204.99999999
1050140,-4639204.99999999
1050140,-4659205
1060140,-4619205
1070140,-4629205
1070140,-4649205
1080140,-4639205
1090140,-4659205
1090140,-4649205
1140140,-4159205
1140140,-4139205.00000001
1090140,-4629205
1090140,-4669205
1100140,-4639205
1110140,-4659205
1120140,-4669205
1120140,-4649205
1200140,-4139205
1150140,-4609205
1150140,-4659205
1160140,-4649205
1240140,-4139205
1200140,-4519205
1250140,-4119205
1250140,-4109205
1250140,-4129204.99999999
1200140,-4629205
1290140,-3979205
1280140,-4049205
1290140,-4039205.00000001
1300140,-4009205
1300140,-4019205
1310140,-3989205
1310140,-3999205
1320140,-3979205
1330140,-4009205
1340140,-3979205.00000001
1340140,-3969205
1350140,-3959205
1350140,-3989205
1350140,-3999205
1360140,-4129205
1380140,-4099205
1390140,-4079205
1650140,-3449205
1660140,-3429205
1680140,-3399205
1680140,-3419205
1690140,-3389205.00000001
1700140,-3389205
1750140,-3259205
