"Longitude","Latitude"
170140.000000002,-3789205.00000001
250140,-3909205
270140,-3829205
280140.000000001,-3899205
320140.000000002,-3819205
330140.000000001,-3819205
340139.999999999,-3829205
340140.000000002,-3809205
350140,-3819204.99999999
370140,-3589205
380139.999999999,-3589205
380139.999999999,-3569205.00000001
380140,-3609205
390140.000000001,-3579205
380140,-3899205
380140,-3889205
390140,-3639205.00000001
390140.000000002,-3879204.99999999
400140,-3879205
400140,-3869204.99999999
410140.000000001,-3859205
410140,-3839205
420140.000000001,-3429205
410139.999999999,-3899205
410140.000000001,-3849205
410140.000000001,-3879205
420140,-3839205
420140,-3829205
420140.000000001,-3859204.99999999
420140.000000001,-3879205
420140,-3849205
420140,-3709205
420140,-3819205
420139.999999999,-3809205
420139.999999999,-3889205.00000001
420139.999999999,-3869205
420140.000000001,-3739205
430140.000000001,-3829205
430140,-3839205
430140,-3849205
430140.000000001,-3719205
430140.000000003,-3819205
430140,-3809205
430140,-3789205
430139.999999999,-3869205
440139.999999999,-3809205
440140,-3779205.00000001
440140,-3719205
440139.999999999,-3829205
430140.000000002,-3859205
440140.000000001,-3819205
440140.000000001,-3799205
440139.999999999,-3849205
440140.000000001,-3869205
440140.000000002,-3739205
450140,-3819205
450139.999999999,-3719204.99999999
450140,-3739205
450140,-3769205
460140,-3719205
450140,-3799205
450140.000000001,-3839205
450140,-3809205
450140,-3829205
460139.999999999,-3779205
460140,-3849205
460140.000000001,-3799205
460140.000000002,-3809205
460140,-3839205
470140.000000001,-3779205
470140.000000001,-3839205
470140.000000002,-3889205
480140,-3799205
500140,-3899205
510140.000000001,-4049205
520140.000000001,-3989205.00000001
530139.999999999,-4059205
530140.000000001,-4029205
540140,-4039205
550140,-3999205
560140,-4049205
570140,-3999205
570140.000000001,-4059205
570140,-4039204.99999999
580139.999999999,-4009205
580140,-4089204.99999999
590140,-3979205
590140,-4079205
600139.999999999,-4069205
600140,-4059205
610140.000000002,-4049205
610139.999999999,-4119205
610139.999999999,-4099205.00000001
610140,-4079205
620140.000000001,-3979205
620140,-3989205
620140,-4169204.99999999
640140.000000001,-4079205
640139.999999999,-4129205
640140.000000003,-4059205
670140,-4169205
680139.999999999,-4199205
700139.999999999,-4039205
730140,-4069205
730140,-4139205.00000001
740139.999999999,-4199205
750139.999999999,-4069205
750140,-4129205
780139.999999999,-4139205
830140,-4199205
850140,-4079205.00000001
850139.999999999,-4189205
930140,-4149205.00000001
950140.000000003,-4149205
950140,-4179205
960139.999999999,-4169205
970139.999999999,-4229205
990140,-4219205
990140,-4169205
1070140,-4049205
1080140,-4029205
1100140,-4029205
1110140,-4149205
1130140,-3999205
1110140,-4229205
1130140,-4199205
1120140,-4239205
1130140,-4229205
1150140,-4219205
1160140,-4199205
1120140,-4609205
1120140,-4589205
1120140,-4619205
1130140,-4629205
1210140,-3979205
1140140,-4609205
1160140,-4629205
1230140,-4089205
1250140,-4149205
1290140,-3909205
1300140,-3919205
1320140,-3819205.00000001
1320140,-3899205.00000001
1330140,-3899205
1340140,-3909205
1340140,-3849205
1360140,-3959205
1370140,-3919205
1360140,-3949205
1370140,-3929205
1370140,-3949205
1370140,-3939205
1380140,-3899205
1420140,-3819205.00000001
1420140,-3839205
1440140,-3769205
1430140,-3939205
1420140,-3979205.00000001
1440140,-3849205
1440140,-3909205
1490140,-3479205
1410140,-4129204.99999999
1440140,-3939205
1460140,-3839205.00000001
1520140,-3539204.99999999
1580140,-3499205
1630140,-3349205
