"Longitude","Latitude"
-1859860,-3269205
-1809860,-3339205
-1799860,-3379205
-1799860,-3359205
-1789860,-3369205
-1789860,-3249205
-1759860,-3419205
-1769860,-3399205
-1779860,-3299205
-1779860,-3269205
-1699860,-3689205
-1749860,-3309205
-1689860,-3689205
-1699860,-3669205
-1699860,-3609204.99999999
-1659860,-3759205
-1699860,-3459205
-1689860,-3489205
-1669860,-3609205
-1629860,-3909205
-1699860,-3359205
-1689860,-3429205
-1699860,-3319204.99999999
-1699860,-3299205
-1679860,-3459205
-1649860,-3639205
-1679860,-3429205
-1619860,-3829205
-1669860,-3459205
-1659860,-3509205
-1649860,-3529205
-1649860,-3509205
-1669860,-3349205
-1659860,-3399205
-1649860,-3469205
-1639860,-3569205
-1639860,-3469205
-1629860,-3519205.00000001
-1619860,-3609205
-1589860,-3779205
-1569860,-3899205
-1609860,-3579205
-1629860,-3419205
-1569860,-3909205
-1649860,-3279205
-1599860,-3619205
-1619860,-3489204.99999999
-1609860,-3529205
-1609860,-3549205
-1609860,-3509205
-1579860,-3729205.00000001
-1639860,-3289205
-1589860,-3649205
-1559860,-3909205
-1589860,-3669204.99999999
-1639860,-3269205
-1579860,-3679205
-1559860,-3889205
-1589860,-3609205
-1609860,-3379205
-1599860,-3499205
-1589860,-3509205
-1579860,-3559205
-1569860,-3649205.00000001
-1559860,-3699205
-1549860,-3729205.00000001
-1579860,-3519205
-1539860,-3779205
-1519860,-3899205
-1569860,-3569205
-1579860,-3439205
-1549860,-3649205.00000001
-1539860,-3739205
-1539860,-3689205
-1549860,-3569205
-1519860,-3859205
-1529860,-3679205.00000001
-1529860,-3649205.00000001
-1539860,-3589205
-1519860,-3689205
-1529860,-3559205
-1519860,-3649205
-1539860,-3499205
-1519860,-3599205
-1519860,-3569205
-1509860,-3669205
-1539860,-3449205
-1529860,-3509205
-1499860,-3679205
-1529860,-3429205
-1519860,-3529205
-1469860,-3879205
-1509860,-3599205
-1569860,-3099205
-1509860,-3539204.99999999
-1459860,-3919205
-1499860,-3589205
-1479860,-3729205
-1509860,-3479205
-1469860,-3849205
-1479860,-3689205
-1489860,-3629205
-1469860,-3719205
-1499860,-3449205
-1479860,-3589205
-1489860,-3489205
-1469860,-3589205
-1469860,-3519205
-1489860,-3429205.00000001
-1459860,-3579205
-1429860,-3749205
-1429860,-3779205
-1419860,-3839205
-1449860,-3549205
