"Longitude","Latitude"
870140.000000001,-1349205
1020140,-1489205
1000140,-2079205
1150140,-1599205
1130140,-1999205
1180140,-1779205
1190140,-1789205
1190140,-1829205
1200140,-1799205
1190140,-1839205
1210140,-1739205
1210140,-1759205
1200140,-1859205
1210140,-1819205
1210140,-1809205
1210140,-1769205
1210140,-1889205
1230140,-1749205
1210140,-1929205
1220140,-1899205.00000001
1220140,-1919205
1220140,-1939205
1220140,-1909205
1230140,-1889205
1230140,-1879205
1230140,-1869205.00000001
1240140,-1859205
1240140,-1899205.00000001
1230140,-1929205
1230140,-1999205
1240140,-1849205.00000001
1230140,-2029205
1240140,-1999205
1250140,-1879205
1240140,-2039205
1250140,-2069205
1270140,-2019205
1270140,-2099205
1280140,-2089205
1350140,-2149205
1490140,-2359205
1490140,-2379205
1500140,-2369205
1520140,-2309205
1540140,-2349205
1560140,-2449205
1610140,-2579205
1670140,-2569205
1680140,-2629205
1700140,-2579205
1720140,-2679205
1740140,-2769205
1750140,-2769205
1750140,-2789205.00000001
1770140,-2729205
1790140,-2809204.99999999
1790140,-2849205
1790140,-2899205
1810140,-2889205
1740140,-3459205
1770140,-3219205
1810140,-2969205
1820140,-2969205
1780140,-3239205
1820140,-2989205
1830140,-2999205.00000001
1830140,-3019204.99999999
1830140,-3039205
1820140,-3099205
1810140,-3229205
1840140,-2999205
1830140,-3089205
1850140,-3049205
1860140,-3009204.99999999
1850140,-3029205
1850140,-3079205.00000001
1830140,-3219205
1870140,-3019205.00000001
1860140,-3139205
1850140,-3199205.00000001
1820140,-3409205
1860140,-3199205
1850140,-3249205
1860140,-3169205
1880140,-3229205
