"Longitude","Latitude"
-1869860,-2769205
-1569860,-3139205
370140.000000001,-3549205
370140.000000001,-3609205
370140.000000001,-3579205
380139.999999999,-3589205
400140.000000002,-3579205
410140,-3539205
410139.999999999,-3479205.00000001
410139.999999999,-3729205
450140.000000002,-3469205
460140.000000001,-3609204.99999999
460140,-3739204.99999999
500140.000000001,-3799205
580140.000000001,-3739204.99999999
630140.000000001,-3729205
640140,-3719205
660140,-3749205
670140.000000001,-3749205
690139.999999999,-3749205.00000001
750139.999999999,-3769205
770139.999999999,-3599205
780140,-3559205
770139.999999999,-3779205
790140.000000001,-3569205
790139.999999999,-3669205
840140.000000001,-3679205
820140.000000001,-3929205
990140,-3409205
1000140,-3379205
1020140,-3389205
980139.999999999,-3899205
1040140,-3379205
1020140,-3649205
1050140,-3369205
1050140,-3799205
1130140,-3319205
1140140,-3339205
1220140,-3309205
1230140,-3329204.99999999
1240140,-3329205
1250140,-3379205
1240140,-3509204.99999999
1250140,-3419205
1270140,-3309205
1300140,-3339205
1340140,-3269205
1330140,-3329205
1340140,-3289205
1340140,-3369205
1350140,-3319205
1320140,-3609205
1370140,-3229205.00000001
1390140,-3189205
1360140,-3449205.00000001
1400140,-3119205
1390140,-3289205
1400140,-3199205
1410140,-3129205
1400140,-3299205
1420140,-3129205
1410140,-3249205
1430140,-3129205
1430140,-3169205
1480140,-3399205
1500140,-3249204.99999999
