"Longitude","Latitude"
-1689860,-3499205
140.000000000209,-2599205
160139.999999999,-3769205
170139.999999999,-3759205.00000001
190140,-3749204.99999999
320139.999999999,-3839205
330140.000000001,-3819205
340139.999999999,-3829205
340140.000000002,-3809205
370139.999999999,-3529205
390140.000000001,-3579205
400140.000000001,-3619204.99999999
400140,-3879205
420140,-3839205
410139.999999999,-3899205
420140.000000002,-3749205
420140,-3709205
420140,-3829205
430140,-3699205
420140.000000001,-3859204.99999999
420139.999999999,-3889205.00000001
430139.999999999,-3869205
430140.000000003,-3819205
430140.000000002,-3859205
430140,-3809205
430140.000000001,-3829205
430140,-3849205
430139.999999999,-3879205
440140,-3779205.00000001
440140.000000001,-3819205
440139.999999999,-3829205
440140.000000001,-3869205
440140.000000001,-3799205
440139.999999999,-3809205
440140,-3749205
450140.000000003,-3669205
450140.000000001,-3839205
450140,-3799205
450140.000000001,-3729205
450140,-3809205
460140,-3719205
450140,-3819205
450140,-3769205
450140,-3829205
460139.999999999,-3779205
460140,-3819205
470140.000000003,-3799205
510140,-3949205
520140.000000002,-3919205
560140.000000002,-4069205.00000001
570140,-3999205
570140.000000003,-3959205
560140,-4159205
570140,-4039204.99999999
570139.999999999,-4019205.00000001
590140.000000003,-4069205
590139.999999999,-4139205
610140,-4009205
610139.999999999,-4039205
610139.999999999,-4119205
610140.000000001,-4109205
610140.000000001,-4169205
620140.000000001,-4079205
620140,-3989205
650140.000000002,-4029205
680140,-3989204.99999999
690140,-4049205
690140,-4199204.99999999
700139.999999999,-4039205
700140,-4179205
720140.000000001,-4019205
710140,-4169205.00000001
720140.000000002,-4219205
740140.000000001,-4109205
750139.999999999,-4069205
750140,-4079205
760140.000000003,-4039205
760139.999999998,-4109205
770139.999999999,-4089205
780140.000000001,-4079205
780140.000000003,-4249205
790140,-4169205
810140,-4049205
830140,-4039205
820140,-4219205
830139.999999999,-4079205
830140.000000001,-4279205
870139.999999999,-4159205
870140.000000002,-4129204.99999999
890140.000000001,-4099205
890140.000000003,-4199205
890139.999999999,-4239205
920140.000000001,-3989205
900140,-4229205
920140.000000001,-4059205
930139.999999999,-3979205
920139.999999999,-4099205
940140,-4029205
930140.000000001,-4159205
930140.000000001,-4219205
950139.999999999,-4159205
960140.000000001,-4039205
950140.000000001,-4169204.99999999
1180140,-1779205
1180140,-1789205.00000001
1180140,-1769205
1000140,-3909205
990140,-4169205
1200140,-1789205
1200140,-1799205
990140.000000001,-4159205
990140.000000001,-4149205
1020140,-3959205
1000140,-4189205
1000140,-4179205
1210140,-1909205
1000140,-4249205
1210140,-1919205
1010140,-4199205
1030140,-3999205
1220140,-1939205
1220140,-1929205
1230140,-1899205
1230140,-1909205
1050140,-4029205
1050140,-4039205
1070140,-4049205
1270140,-2109205
1270140,-2099205
1100140,-4029205
1120140,-3789205
1080140,-4309205
1100140,-4169205
1090140,-4219205
1110140,-4149205
1110140,-4159205
1140140,-3849205
1100140,-4279205.00000001
1200140,-3319205
1120140,-4139205
1120140,-4129205
1140140,-3949205
1120140,-4189205
1140140,-4019205
1070140,-4709205
1140140,-4069205
1080140,-4699205
1100140,-4549205
1130140,-4199205
1150140,-4039205
1150140,-4089205
1140140,-4189205
1160140,-4009205
1140140,-4239205
1150140,-4229205
1120140,-4579205.00000001
1130140,-4539205
1180140,-4119205
1120140,-4729205
1190140,-4009204.99999999
1120140,-4769205
1120140,-4739205
1180140,-4199205
1200140,-3989205
1310140,-2999205
1210140,-3929205
1130140,-4659205
1130140,-4749205
1140140,-4669205
1210140,-3999205
1130140,-4759205
1140140,-4739205
1150140,-4649205
1140140,-4729204.99999999
1170140,-4529205
1230140,-3939205
1150140,-4759205
1230140,-4009205
1150140,-4769205
1240140,-3999205
1170140,-4719205
1180140,-4619205
1250140,-4059204.99999999
1380140,-2949205
1190140,-4669205
1190140,-4719205
1210140,-4679205
1480140,-2349205
1480140,-2369205
1500140,-2319205
1310140,-3979205
1290140,-4119204.99999999
1490140,-2359205
1330140,-3809205
1330140,-3829205
1310140,-4049205
1340140,-3789205
1330140,-3899205
1310140,-4149205.00000001
1360140,-3729205
1340140,-3939205
1340140,-3969205
1350140,-3929205
1340140,-3959205
1360140,-3879205
1360140,-3859205
1350140,-3969205
1350140,-3979205
1360140,-3929205
1350140,-3959205
1360140,-3939205
1390140,-3709205
1360140,-3989205
1370140,-3939205
1380140,-3839205
1370140,-3929205
1410140,-3609205
1360140,-3999204.99999999
1360140,-4009204.99999999
1370140,-3979205
1370140,-3959205
1370140,-3949205
1380140,-3939204.99999999
1390140,-3929205
1360140,-4159205
1360140,-4149205
1370140,-4089205
1440140,-3659205
1410140,-3899205
1440140,-3789205
1400140,-4129205
1400140,-4189204.99999999
1500140,-3859205
1530140,-3819205
1600140,-3489205
1580140,-3679205
1610140,-3569205
1740140,-2809205
1720140,-3029205
1710140,-3159205
1740140,-3019205
1720140,-3149205.00000001
1730140,-3139205
1720140,-3179205
1750140,-3019205
1740140,-3099205
1740140,-3149205
1750140,-3119204.99999999
1760140,-3039205
1750140,-3149205
1760140,-3139205
1760140,-3179205
1770140,-3209204.99999999
1830140,-3029205
1840140,-2979205
1850140,-3099205
1870140,-3019205.00000001
1860140,-3159205
1880140,-3189205
