"Longitude","Latitude"
1130140,-2009205
1130140,-1999205
1140140,-2209204.99999999
1200140,-1659205
1210140,-1729205
1220140,-1719205
1190140,-2189205
1220140,-1899205.00000001
1220140,-1909205
1240140,-1869205
1240140,-1879205
1250140,-1849205
1260140,-1979205
1370140,-2749205
1380140,-2789205
1420140,-2619205
1490140,-2279204.99999999
1500140,-2319205
1490140,-2369205
1500140,-2369205
1520140,-2269205
1540140,-2329204.99999999
1550140,-2239205
1550140,-2339205
1580140,-2329205.00000001
1590140,-2599205
1670140,-2629205
1690140,-2769205
1710140,-2729205
1730140,-2779205
1610140,-3709205
1740140,-2769205
1750140,-2769205
1770140,-2729205
1670140,-3589204.99999999
1770140,-2879204.99999999
1750140,-3039205
1750140,-3119204.99999999
1690140,-3679205
1760140,-3189204.99999999
1810140,-2959205
1770140,-3219205
1810140,-2989205
1780140,-3199205
1820140,-2969205
1780140,-3239205
1810140,-3069205.00000001
1800140,-3179205
1760140,-3519205
1820140,-3109204.99999999
1800140,-3269205
1830140,-3109205
1860140,-2979205
1840140,-3089205
1810140,-3419205.00000001
1840140,-3219205
1850140,-3189205
1860140,-3189205
1850140,-3339205
1860140,-3279205.00000001
1880140,-3239205
1880140,-3269205
