"Longitude","Latitude"
-599860,-1869205.00000001
-239860.000000001,-2619205
-119860,-2549205
-109860.000000001,-2549205
-99859.9999999976,-2549205
480140,-3329205
490140,-3319205
500140.000000001,-3329205
510139.999999999,-3339204.99999999
690140,-4139205
840140,-3399205.00000001
820140.000000001,-4249204.99999999
840139.999999999,-4279205
840140.000000001,-4249205
900140,-4179205
960139.999999999,-4239205
970139.999999999,-4229205
1190140,-1789205
990140,-4169205
1200140,-1859205
1000140,-4199205
1210140,-1899205
1210140,-1889205
1220140,-1919205
1220140,-1909205
1230140,-1889205
1240140,-1879205
1240140,-1899205.00000001
1240140,-1999205
1240140,-2069205
1240140,-2049205.00000001
1030140,-4549205
1030140,-4559205
1270140,-2029205
1280140,-2099205
1120140,-3769205
1100140,-4269205
1140140,-4189205
1360140,-2149205
1120140,-4579205.00000001
1120140,-4549205
1120140,-4559205
1120140,-4589205
1180140,-4179205
1430140,-2239205
1440140,-2249205
1240140,-4169205
1390140,-2769205
1400140,-2759205.00000001
1420140,-2619205
1410140,-2789205
1260140,-4159205.00000001
1270140,-4169205
1270140,-4189205
1430140,-2799205
1490140,-2359205
1450140,-2809205
1300140,-4069205
1470140,-2859204.99999999
1550140,-2239205
1540140,-2349205
1410140,-3489205
1520140,-2669205
1430140,-3489205
1530140,-2659205
1510140,-2829205
1350140,-4159205
1560140,-2499205
1370140,-4149205
1370140,-4169205
1390140,-4039205
1410140,-3979205
1460140,-3509205.00000001
1400140,-4069205
1390140,-4189205
1430140,-3979205
1420140,-4099205
1470140,-3779205
1460140,-3839205.00000001
1470140,-3759205.00000001
1530140,-3389205
1470140,-3949205
1470140,-3889205
1490140,-3799205
1480140,-3879205
1480140,-3899205
1480140,-3889205
1490140,-3949205
1500140,-3879205
1510140,-3849205
1530140,-3719205
1510140,-3889205.00000001
1680140,-2569205
1520140,-3809205
1530140,-3779205
1520140,-3829205
1530140,-3809205
1530140,-3839205
1540140,-3749205
1530140,-3879205
1540140,-3819205
1530140,-3929204.99999999
1550140,-3809204.99999999
1610140,-3359205
1690140,-2749205
1680140,-2859205
1600140,-3429205
1570140,-3739205
1690140,-2789205
1560140,-3749205
1700140,-2749205
1580140,-3619205
1560140,-3779205
1570140,-3689205
1560140,-3829205
1570140,-3779205.00000001
1710140,-2729205
1630140,-3349205
1730140,-2659205
1580140,-3779205
1580140,-3809205
1600140,-3699205
1590140,-3749205
1600140,-3749205
1610140,-3719205
1750140,-2729205
1610140,-3759205
1740140,-2819205
1680140,-3299205
1630140,-3649205
1760140,-2779205
1690140,-3309205.00000001
1690140,-3289205
1650140,-3639205
1710140,-3239205
1780140,-2779205
1680140,-3479205
1670140,-3589204.99999999
1750140,-3099205
1670140,-3659205
1790140,-2889205
1760140,-3079205
1800140,-2849205
1760140,-3139205
1770140,-3079205
1700140,-3559204.99999999
1810140,-2829205
1720140,-3449205
1740140,-3329205
1730140,-3469205
1780140,-3089205
1810140,-2889205
1710140,-3599205
1810140,-2929205
1740140,-3439205
1770140,-3199205
1780140,-3169205
1810140,-2959205
1820140,-2929205
1770140,-3239204.99999999
1740140,-3499205
1820140,-2979205
1780140,-3239205
1730140,-3629205.00000001
1790140,-3219205
1840140,-2879205
1810140,-3069205.00000001
1830140,-2969205
1780140,-3309205
1780140,-3339205
1840140,-2969205
1840140,-2989205
1820140,-3089205
1830140,-3029205
1810140,-3209205
1780140,-3439205
1790140,-3379205
1850140,-2999205
1830140,-3109205
1830140,-3129205
1800140,-3379205
1840140,-3139205
1850140,-3019205
1840140,-3109205
1800140,-3359205.00000001
1840140,-3179205
1790140,-3499205
1850140,-3129205
1820140,-3359204.99999999
1840140,-3209205
1860140,-3139205
1860140,-3169205
1850140,-3199205.00000001
1860140,-3199205
1840140,-3319205
1850140,-3259205
1870140,-3149204.99999999
1860140,-3219205.00000001
1860140,-3249205.00000001
1870140,-3189205
1860140,-3269205
1870140,-3209204.99999999
1860140,-3299205
1880140,-3199205
1870140,-3289205.00000001
1870140,-3259205
1900140,-3079205
1880140,-3229205
1880140,-3269205
