"Longitude","Latitude"
-1349860,-3349205
-1299860,-3419205
-1229860,-3439205
-1219860,-3439204.99999999
-719860.000000001,-3509205
-199860,-3429205
-89859.9999999993,-3479205
-9859.99999999979,-3339205
110140.000000001,-3599205
140139.999999999,-3469205
140140.000000001,-3489205
150140.000000001,-3299205
150140.000000001,-3499205
150140,-3559205
160140,-3569205
160140,-3509205
170139.999999999,-3619205
180140,-3649205
180140.000000001,-3529205
190139.999999999,-3619205
220140.000000002,-3619205
230139.999999999,-3369205
280139.999999999,-3279205
290140.000000001,-3499205
290140.000000001,-3559205
300140.000000001,-3529205
320140,-3459205
330139.999999999,-3719205
350140.000000001,-3239205
350140,-3789205.00000001
360140,-3529205.00000001
360139.999999999,-3569205
360140,-3759205
360140.000000002,-3699205
370139.999999999,-3529205
380140.000000001,-3519205
380140,-3719205.00000001
400140,-3709205
400139.999999999,-3529205.00000001
410140.000000001,-3509204.99999999
410140,-3539205
420140.000000001,-3539205
430140,-3399205
410140,-3839205
420140,-3559205
430139.999999999,-3449205
430139.999999999,-3569205
440140,-3449205
450140.000000002,-3559204.99999999
450140.000000001,-3679205
460139.999999999,-3679205
460140,-3619205
480140,-3339205
480139.999999999,-3709205.00000001
480140,-3799205
490140,-3729204.99999999
490140.000000001,-3809205
490140.000000001,-3649205
500139.999999999,-3509205
510140.000000002,-3429205
490140.000000003,-3799204.99999999
500140.000000001,-3739205
500139.999999999,-3769205
510140,-3599204.99999999
520140,-3569205
520140.000000003,-3539205
510140.000000003,-3759205
520140,-3679205
560139.999999999,-3499205.00000001
570140,-3819205
600140,-3579205
600140.000000003,-3599205
610139.999999999,-3579204.99999999
610140.000000001,-3749205
630140.000000002,-3519204.99999999
650139.999999999,-3779205
670139.999999999,-3759205
680140,-3779205
690139.999999999,-3779205
700140.000000001,-3859204.99999999
730140.000000001,-3789205
730140,-3899205
730140.000000003,-3909205
750140.000000001,-3729204.99999999
750139.999999999,-3769205
760140,-3809205
810140.000000003,-3769205
830140,-3839205
870140,-3789205
1580140,-3349205
