"Longitude","Latitude"
-1299860,-2189205
-1199860,-1949205
-1149860,-2029205
-769860,-1869205
-729860,-1739205
-709860.000000001,-1709205
-709860,-1699204.99999999
-599860.000000001,-1769205
-549860,-2029205
-489859.999999999,-2279205
-469859.999999999,-2669205
-469859.999999999,-2369205
-429859.999999999,-2199205
-419859.999999999,-1999205
-409860,-2179205.00000001
-409859.999999999,-2169205
-389860,-1999205
-369859.999999999,-2249204.99999999
-369860.000000001,-2069204.99999999
-319860.000000001,-2399205
-269859.999999999,-2449205
-269859.999999997,-2109205.00000001
-269859.999999999,-1999205
-259860.000000001,-2529205
-249859.999999999,-2159205
-219859.999999999,-2509205.00000001
-229859.999999998,-2169205
-129860,-1639205
-69859.9999999999,-1759205
-59860,-2359205
-29859.9999999996,-1899205
-29860,-1929205
10140.0000000009,-2039205.00000001
30139.9999999992,-2189205
30140.0000000013,-2029205
60140.0000000006,-2359205
90139.999999999,-2269205
130140.000000001,-2189205
160140.000000001,-2169205
170140,-2339205
190139.999999999,-1519205
190140,-1509205
190140,-1579205
290139.999999999,-1999204.99999999
330139.999999999,-1999205
340140.000000002,-2259205
470140.000000001,-1989205
480140.000000001,-1959205
510140.000000001,-1929204.99999999
600139.999999999,-2019205
740139.999999999,-1919205
750140.000000001,-1839205
760139.999999999,-1929205
790140.000000003,-1919205
840139.999999999,-1869205
880140,-1669204.99999999
890139.999999999,-1939204.99999999
900139.999999999,-1879205.00000001
900140,-2049205
920140,-2109205
910140.000000001,-2689205
990140.000000003,-2049205.00000001
1070140,-1679205.00000001
1070140,-1669205
1060140,-1849205
1110140,-1689205
1070140,-2169205
1130140,-1699205
1140140,-1559205
1140140,-1709205
1120140,-1989205
1100140,-2229205
1100140,-2409205.00000001
1180140,-1669205
1130140,-2279205
1200140,-1669205
1180140,-1969205.00000001
1180140,-1979205
1210140,-1699205
1210140,-1689205
1160140,-2279205
1200140,-1979205.00000001
1220140,-1879205
1150140,-2599205.00000001
1230140,-2189205
1200140,-2599205
1220140,-2379204.99999999
1260140,-2179205
1280140,-2189205.00000001
1180140,-3349205
1280140,-2319205.00000001
1290140,-2219205
1280140,-2369205
1230140,-3119205
1330140,-2129205
1340140,-2269205
1310140,-2899205
1330140,-2759205
1380140,-2359205
1400140,-2269205
1360140,-2779205
1370140,-2759204.99999999
1390140,-2769205
1400140,-2789205
1450140,-2399205
1450140,-2509205.00000001
1450140,-2919205
1480140,-2879205
1420140,-3399205
1510140,-2699204.99999999
1440140,-3389205
1530140,-2929205
1470140,-3399205
1490140,-3389205
1540140,-3009205
1580140,-3069205
1590140,-3029205
1600140,-3019205
1630140,-2829205
1620140,-2959205
1620140,-3029205
1620140,-3009205
1640140,-2979205
1610140,-3229205
1700140,-2639205
1620140,-3199205
1650140,-2979205
1650140,-3149205
1590140,-3659205
1670140,-3079205
1640140,-3359205
1750140,-2909205
1790140,-3109205
1800140,-3269205
1810140,-3289205
1840140,-3139205
